model,batchsize,blocknum,threadnum,iteration,total_avg,total_avg_filter,total_fluctuation(%),data_avg,data_avg_filter,data_fluctuation(%),train_avg,train_avg_filter,train_fluctuation(%)
resnet18,128,1,128,2001,0.054445,0.0542541,0.351929,0.00860446,0.00860876,-0.049975,0.0458556,0.0456665,0.414003
resnet18,16,1,16,2001,0.0243638,0.0241837,0.7447,0.00809459,0.00809864,-0.049975,0.0202981,0.0201178,0.896188
resnet18,256,1,256,2001,0.0934951,0.0933015,0.207446,0.0154461,0.0154538,-0.049975,0.0780617,0.0778687,0.247868
resnet18,32,1,32,2001,0.0240323,0.0238333,0.834923,0.00867774,0.00868208,-0.049975,0.020061,0.0198625,0.999554
resnet18,64,1,64,2001,0.0333915,0.0332327,0.477699,0.00451148,0.00451374,-0.049975,0.0290503,0.0288923,0.546918
