dir_name,thread_num,total_read_time(ms),total_read_time(s),
/mnt/beegfs/test_dir_4KB_10428,4,3090,3.09
/mnt/beegfs/test_dir_4KB_10428,8,1635,1.635
/mnt/beegfs/test_dir_4KB_10428,16,744,0.744
/mnt/beegfs/test_dir_4KB_10428,32,471,0.471
/mnt/beegfs/test_dir_4KB_10428,64,293,0.293
/mnt/beegfs/test_dir_4KB_10428,128,705,0.705
/mnt/beegfs/test_dir_4KB_10428,256,1525,1.525
/mnt/beegfs/test_dir_4KB_10428,512,3318,3.318
/mnt/beegfs/test_dir_4KB_10428,1024,8235,8.235
/mnt/beegfs/test_dir_4KB_10428,1,9257,9.257
/mnt/beegfs/test_dir_4KB_10428,2,5281,5.281
/mnt/beegfs/test_dir_4KB_10428,4,3085,3.085
/mnt/beegfs/test_dir_4KB_10428,8,1636,1.636
/mnt/beegfs/test_dir_4KB_10428,16,560,0.56
/mnt/beegfs/test_dir_4KB_10428,32,473,0.473
/mnt/beegfs/test_dir_4KB_10428,64,418,0.418
/mnt/beegfs/test_dir_4KB_10428,128,753,0.753
/mnt/beegfs/test_dir_4KB_10428,256,1507,1.507
/mnt/beegfs/test_dir_4KB_10428,512,3258,3.258
/mnt/beegfs/test_dir_4KB_10428,1024,6669,6.669
/mnt/beegfs/test_dir_4KB_10428,1,8474,8.474
/mnt/beegfs/test_dir_4KB_10428,2,5654,5.654
/mnt/beegfs/test_dir_4KB_10428,4,3124,3.124
/mnt/beegfs/test_dir_4KB_10428,8,1516,1.516
/mnt/beegfs/test_dir_4KB_10428,16,755,0.755
/mnt/beegfs/test_dir_4KB_10428,32,435,0.435
/mnt/beegfs/test_dir_4KB_10428,64,396,0.396
/mnt/beegfs/test_dir_4KB_10428,128,678,0.678
/mnt/beegfs/test_dir_4KB_10428,256,1515,1.515
/mnt/beegfs/test_dir_4KB_10428,512,3025,3.025
/mnt/beegfs/test_dir_4KB_10428,1024,6845,6.845
/mnt/beegfs/test_dir_4KB_10428,1,9294,9.294
/mnt/beegfs/test_dir_4KB_10428,2,5985,5.985
/mnt/beegfs/test_dir_4KB_10428,4,3138,3.138
/mnt/beegfs/test_dir_4KB_10428,8,1539,1.539
/mnt/beegfs/test_dir_4KB_10428,16,560,0.56
/mnt/beegfs/test_dir_4KB_10428,32,328,0.328
/mnt/beegfs/test_dir_4KB_10428,64,276,0.276
/mnt/beegfs/test_dir_4KB_10428,128,696,0.696
/mnt/beegfs/test_dir_4KB_10428,256,1491,1.491
/mnt/beegfs/test_dir_4KB_10428,512,3056,3.056
/mnt/beegfs/test_dir_4KB_10428,1024,7620,7.62
/mnt/beegfs/test_dir_4KB_10428,1,9335,9.335
/mnt/beegfs/test_dir_4KB_10428,2,6075,6.075
/mnt/beegfs/test_dir_4KB_10428,4,3074,3.074
/mnt/beegfs/test_dir_4KB_10428,8,1521,1.521
/mnt/beegfs/test_dir_4KB_10428,16,539,0.539
/mnt/beegfs/test_dir_4KB_10428,32,313,0.313
/mnt/beegfs/test_dir_4KB_10428,64,281,0.281
/mnt/beegfs/test_dir_4KB_10428,128,682,0.682
/mnt/beegfs/test_dir_4KB_10428,256,1426,1.426
/mnt/beegfs/test_dir_4KB_10428,512,3007,3.007
/mnt/beegfs/test_dir_4KB_10428,1024,7996,7.996
/mnt/beegfs/test_dir_4KB_10428,1,9858,9.858
/mnt/beegfs/test_dir_4KB_10428,2,5942,5.942
/mnt/beegfs/test_dir_4KB_10428,4,3084,3.084
/mnt/beegfs/test_dir_4KB_10428,8,1574,1.574
/mnt/beegfs/test_dir_4KB_10428,16,773,0.773
/mnt/beegfs/test_dir_4KB_10428,32,456,0.456
/mnt/beegfs/test_dir_4KB_10428,64,435,0.435
/mnt/beegfs/test_dir_4KB_10428,128,744,0.744
/mnt/beegfs/test_dir_4KB_10428,256,1482,1.482
/mnt/beegfs/test_dir_4KB_10428,512,3170,3.17
/mnt/beegfs/test_dir_4KB_10428,1024,7403,7.403
/mnt/beegfs/test_dir_4KB_10428,1,9117,9.117
/mnt/beegfs/test_dir_4KB_10428,2,6088,6.088
/mnt/beegfs/test_dir_4KB_10428,4,2946,2.946
/mnt/beegfs/test_dir_4KB_10428,8,1265,1.265
/mnt/beegfs/test_dir_4KB_10428,16,820,0.82
/mnt/beegfs/test_dir_4KB_10428,32,506,0.506
/mnt/beegfs/test_dir_4KB_10428,64,409,0.409
/mnt/beegfs/test_dir_4KB_10428,128,737,0.737
/mnt/beegfs/test_dir_4KB_10428,256,1446,1.446
/mnt/beegfs/test_dir_4KB_10428,512,3209,3.209
/mnt/beegfs/test_dir_4KB_10428,1024,7381,7.381
/mnt/beegfs/test_dir_4KB_10428,1,9552,9.552
