Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 1.820575(1.820575),data_time: 1.376313(1.376313),train_time: 0.444262(0.444262)
 1 th batch,total_time: 1.347764(1.584169),data_time: 1.218369(1.297341),train_time: 0.129395(0.286828)
 2 th batch,total_time: 1.220683(1.463007),data_time: 1.173017(1.255900),train_time: 0.047666(0.207108)
 3 th batch,total_time: 1.134088(1.380777),data_time: 1.087731(1.213857),train_time: 0.046357(0.166920)
 4 th batch,total_time: 1.097370(1.324096),data_time: 1.054642(1.182014),train_time: 0.042728(0.142081)
 5 th batch,total_time: 1.120469(1.290158),data_time: 1.077203(1.164546),train_time: 0.043266(0.125612)
 6 th batch,total_time: 1.093529(1.262068),data_time: 1.047842(1.147874),train_time: 0.045687(0.114194)
 7 th batch,total_time: 1.093404(1.240985),data_time: 1.044074(1.134899),train_time: 0.049330(0.106086)
 8 th batch,total_time: 1.117390(1.227252),data_time: 1.067861(1.127450),train_time: 0.049529(0.099802)
 9 th batch,total_time: 1.090820(1.213609),data_time: 1.041447(1.118850),train_time: 0.049372(0.094759)
 10 th batch,total_time: 1.094030(1.202738),data_time: 1.044877(1.112125),train_time: 0.049153(0.090613)
 11 th batch,total_time: 1.102658(1.194398),data_time: 1.055908(1.107440),train_time: 0.046749(0.086958)
 12 th batch,total_time: 1.087081(1.186143),data_time: 1.037666(1.102073),train_time: 0.049415(0.084070)
 13 th batch,total_time: 1.113409(1.180948),data_time: 1.068808(1.099697),train_time: 0.044601(0.081251)
 14 th batch,total_time: 1.092777(1.175070),data_time: 1.047636(1.096226),train_time: 0.045140(0.078843)
 15 th batch,total_time: 1.092244(1.169893),data_time: 1.043731(1.092945),train_time: 0.048513(0.076948)
 16 th batch,total_time: 1.065193(1.163734),data_time: 1.017040(1.088480),train_time: 0.048153(0.075254)
 17 th batch,total_time: 1.052464(1.157553),data_time: 1.002939(1.083728),train_time: 0.049525(0.073825)
 18 th batch,total_time: 1.066826(1.152777),data_time: 1.020813(1.080417),train_time: 0.046012(0.072361)
 19 th batch,total_time: 1.062207(1.148249),data_time: 1.015360(1.077164),train_time: 0.046848(0.071085)
 20 th batch,total_time: 1.068625(1.144457),data_time: 1.023125(1.074591),train_time: 0.045499(0.069867)
 21 th batch,total_time: 1.089772(1.141972),data_time: 1.044279(1.073213),train_time: 0.045493(0.068759)
 22 th batch,total_time: 1.034404(1.137295),data_time: 0.992365(1.069698),train_time: 0.042038(0.067597)
 23 th batch,total_time: 1.039765(1.133231),data_time: 0.991139(1.066424),train_time: 0.048626(0.066807)
 24 th batch,total_time: 1.071562(1.130764),data_time: 1.022542(1.064669),train_time: 0.049020(0.066095)
 25 th batch,total_time: 1.043555(1.127410),data_time: 0.999349(1.062157),train_time: 0.044206(0.065253)
 26 th batch,total_time: 1.066161(1.125142),data_time: 1.016963(1.060483),train_time: 0.049198(0.064659)
 27 th batch,total_time: 1.044914(1.122276),data_time: 1.000605(1.058344),train_time: 0.044309(0.063932)
 28 th batch,total_time: 1.041991(1.119508),data_time: 0.999270(1.056307),train_time: 0.042721(0.063200)
 29 th batch,total_time: 1.024341(1.116336),data_time: 0.979809(1.053757),train_time: 0.044532(0.062578)
 30 th batch,total_time: 1.061447(1.114565),data_time: 1.012814(1.052437),train_time: 0.048633(0.062128)
 31 th batch,total_time: 1.007767(1.111228),data_time: 0.959065(1.049519),train_time: 0.048702(0.061709)
 32 th batch,total_time: 1.006802(1.108063),data_time: 0.959251(1.046783),train_time: 0.047550(0.061280)
 33 th batch,total_time: 1.067072(1.106858),data_time: 1.019887(1.045992),train_time: 0.047185(0.060865)
 34 th batch,total_time: 1.063723(1.105625),data_time: 1.016428(1.045148),train_time: 0.047295(0.060477)
 35 th batch,total_time: 1.031353(1.103562),data_time: 0.982898(1.043419),train_time: 0.048455(0.060143)
 36 th batch,total_time: 1.019553(1.101291),data_time: 0.972540(1.041503),train_time: 0.047013(0.059789)
 37 th batch,total_time: 1.061831(1.100253),data_time: 1.014501(1.040792),train_time: 0.047330(0.059461)
 38 th batch,total_time: 1.075858(1.099628),data_time: 1.027961(1.040463),train_time: 0.047897(0.059164)
 39 th batch,total_time: 1.073400(1.098972),data_time: 1.024483(1.040064),train_time: 0.048916(0.058908)
 40 th batch,total_time: 1.089667(1.098745),data_time: 1.041189(1.040091),train_time: 0.048478(0.058654)
 41 th batch,total_time: 1.072621(1.098123),data_time: 1.024143(1.039712),train_time: 0.048478(0.058411)
 42 th batch,total_time: 1.080817(1.097720),data_time: 1.032307(1.039539),train_time: 0.048510(0.058181)
 43 th batch,total_time: 1.072740(1.097153),data_time: 1.023235(1.039169),train_time: 0.049504(0.057984)
 44 th batch,total_time: 1.055289(1.096222),data_time: 1.007555(1.038466),train_time: 0.047733(0.057756)
 45 th batch,total_time: 1.071087(1.095676),data_time: 1.023168(1.038134),train_time: 0.047919(0.057542)
 46 th batch,total_time: 1.080241(1.095348),data_time: 1.031732(1.037997),train_time: 0.048510(0.057350)
 47 th batch,total_time: 1.064918(1.094714),data_time: 1.015896(1.037537),train_time: 0.049022(0.057177)
 48 th batch,total_time: 1.072581(1.094262),data_time: 1.024038(1.037262),train_time: 0.048543(0.057000)
 49 th batch,total_time: 1.090712(1.094191),data_time: 1.042579(1.037368),train_time: 0.048133(0.056823)
 50 th batch,total_time: 1.061516(1.093550),data_time: 1.013243(1.036895),train_time: 0.048273(0.056655)
 51 th batch,total_time: 1.106023(1.093790),data_time: 1.058715(1.037314),train_time: 0.047308(0.056476)
 52 th batch,total_time: 1.063377(1.093216),data_time: 1.014062(1.036876),train_time: 0.049315(0.056341)
 53 th batch,total_time: 1.070517(1.092796),data_time: 1.021997(1.036600),train_time: 0.048520(0.056196)
 54 th batch,total_time: 1.046918(1.091962),data_time: 0.998206(1.035902),train_time: 0.048712(0.056060)
 55 th batch,total_time: 1.050999(1.091230),data_time: 1.001567(1.035289),train_time: 0.049432(0.055941)
 56 th batch,total_time: 1.063550(1.090745),data_time: 1.016906(1.034966),train_time: 0.046644(0.055778)
 57 th batch,total_time: 1.043942(1.089938),data_time: 0.996347(1.034301),train_time: 0.047595(0.055637)
 58 th batch,total_time: 1.021208(1.088773),data_time: 0.972439(1.033252),train_time: 0.048769(0.055521)
 59 th batch,total_time: 1.042313(1.087998),data_time: 0.992466(1.032572),train_time: 0.049847(0.055426)
 60 th batch,total_time: 1.076710(1.087813),data_time: 1.027368(1.032487),train_time: 0.049341(0.055326)
 61 th batch,total_time: 1.110894(1.088186),data_time: 1.062723(1.032975),train_time: 0.048171(0.055211)
 62 th batch,total_time: 1.058182(1.087709),data_time: 1.011180(1.032629),train_time: 0.047003(0.055081)
 63 th batch,total_time: 1.024704(1.086725),data_time: 0.975807(1.031741),train_time: 0.048897(0.054984)
 64 th batch,total_time: 1.056172(1.086255),data_time: 1.007170(1.031363),train_time: 0.049001(0.054892)
 65 th batch,total_time: 1.050059(1.085706),data_time: 1.001518(1.030911),train_time: 0.048540(0.054796)
 66 th batch,total_time: 1.046561(1.085122),data_time: 0.998359(1.030425),train_time: 0.048202(0.054697)
 67 th batch,total_time: 1.066160(1.084843),data_time: 1.016708(1.030223),train_time: 0.049451(0.054620)
 68 th batch,total_time: 1.056474(1.084432),data_time: 1.009272(1.029920),train_time: 0.047202(0.054513)
 69 th batch,total_time: 1.085796(1.084452),data_time: 1.037499(1.030028),train_time: 0.048297(0.054424)
 70 th batch,total_time: 1.079946(1.084388),data_time: 1.032847(1.030068),train_time: 0.047099(0.054321)
 71 th batch,total_time: 1.051496(1.083931),data_time: 1.003572(1.029700),train_time: 0.047924(0.054232)
 72 th batch,total_time: 1.044724(1.083394),data_time: 0.996873(1.029250),train_time: 0.047850(0.054144)
 73 th batch,total_time: 1.061126(1.083093),data_time: 1.011957(1.029016),train_time: 0.049169(0.054077)
 74 th batch,total_time: 1.048419(1.082631),data_time: 1.000420(1.028635),train_time: 0.047999(0.053996)
 75 th batch,total_time: 1.051516(1.082222),data_time: 1.003224(1.028301),train_time: 0.048292(0.053921)
 76 th batch,total_time: 1.058754(1.081917),data_time: 1.010181(1.028065),train_time: 0.048573(0.053852)
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 1.850152(1.850152),data_time: 1.414027(1.414027),train_time: 0.436125(0.436125)
 1 th batch,total_time: 1.348350(1.599251),data_time: 1.230815(1.322421),train_time: 0.117535(0.276830)
 2 th batch,total_time: 1.224694(1.474399),data_time: 1.176369(1.273737),train_time: 0.048325(0.200662)
 3 th batch,total_time: 1.132900(1.389024),data_time: 1.081601(1.225703),train_time: 0.051299(0.163321)
 4 th batch,total_time: 1.131782(1.337576),data_time: 1.085103(1.197583),train_time: 0.046679(0.139993)
 5 th batch,total_time: 1.108439(1.299386),data_time: 1.065109(1.175504),train_time: 0.043330(0.123882)
 6 th batch,total_time: 1.073935(1.267179),data_time: 1.032389(1.155059),train_time: 0.041546(0.112120)
 7 th batch,total_time: 1.089020(1.244909),data_time: 1.025301(1.138839),train_time: 0.063719(0.106070)
 8 th batch,total_time: 1.107886(1.229684),data_time: 1.051134(1.129094),train_time: 0.056752(0.100590)
 9 th batch,total_time: 1.101228(1.216839),data_time: 1.010497(1.117235),train_time: 0.090731(0.099604)
 10 th batch,total_time: 1.093167(1.205596),data_time: 1.029322(1.109242),train_time: 0.063844(0.096353)
 11 th batch,total_time: 1.103905(1.197121),data_time: 1.029658(1.102610),train_time: 0.074247(0.094511)
 12 th batch,total_time: 1.086115(1.188582),data_time: 1.017418(1.096057),train_time: 0.068697(0.092525)
 13 th batch,total_time: 1.124992(1.184040),data_time: 1.077918(1.094762),train_time: 0.047075(0.089279)
 14 th batch,total_time: 1.082280(1.177256),data_time: 1.033205(1.090658),train_time: 0.049076(0.086599)
 15 th batch,total_time: 1.091023(1.171867),data_time: 1.034719(1.087162),train_time: 0.056304(0.084705)
 16 th batch,total_time: 1.067275(1.165714),data_time: 1.007092(1.082452),train_time: 0.060183(0.083263)
 17 th batch,total_time: 1.042447(1.158866),data_time: 0.989867(1.077308),train_time: 0.052580(0.081558)
