Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 1
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 1
@@ 非dummy数据集加载
 0 th batch,total_time: 3.932075(3.932075),data_time: 3.451375(3.451375),train_time: 0.480700(0.480700)
 1 th batch,total_time: 0.053096(1.992586),data_time: 0.001938(1.726656),train_time: 0.051158(0.265929)
 2 th batch,total_time: 0.283397(1.422856),data_time: 0.251031(1.234781),train_time: 0.032366(0.188075)
 3 th batch,total_time: 0.300369(1.142234),data_time: 0.261414(0.991439),train_time: 0.038954(0.150795)
 4 th batch,total_time: 0.295861(0.972959),data_time: 0.246527(0.842457),train_time: 0.049334(0.130503)
 5 th batch,total_time: 0.293540(0.859723),data_time: 0.233235(0.740920),train_time: 0.060305(0.118803)
 6 th batch,total_time: 0.291523(0.778551),data_time: 0.236465(0.668855),train_time: 0.055058(0.109696)
 7 th batch,total_time: 0.286003(0.716983),data_time: 0.234020(0.614501),train_time: 0.051983(0.102482)
 8 th batch,total_time: 0.288119(0.669331),data_time: 0.236363(0.572485),train_time: 0.051756(0.096846)
 9 th batch,total_time: 0.294434(0.631842),data_time: 0.235151(0.538752),train_time: 0.059283(0.093090)
 10 th batch,total_time: 0.289809(0.600748),data_time: 0.236630(0.511286),train_time: 0.053180(0.089462)
 11 th batch,total_time: 0.291021(0.574937),data_time: 0.237067(0.488435),train_time: 0.053953(0.086503)
 12 th batch,total_time: 0.286883(0.552779),data_time: 0.231221(0.468649),train_time: 0.055662(0.084130)
 13 th batch,total_time: 0.297206(0.534524),data_time: 0.232818(0.451804),train_time: 0.064388(0.082720)
 14 th batch,total_time: 0.315984(0.519955),data_time: 0.246440(0.438113),train_time: 0.069544(0.081842)
 15 th batch,total_time: 0.291366(0.505668),data_time: 0.213912(0.424100),train_time: 0.077454(0.081567)
 16 th batch,total_time: 0.294314(0.493235),data_time: 0.218006(0.411977),train_time: 0.076308(0.081258)
 17 th batch,total_time: 0.290755(0.481986),data_time: 0.211354(0.400831),train_time: 0.079401(0.081155)
 18 th batch,total_time: 0.290218(0.471893),data_time: 0.216542(0.391132),train_time: 0.073676(0.080761)
 19 th batch,total_time: 0.281173(0.462357),data_time: 0.214615(0.382306),train_time: 0.066557(0.080051)
 20 th batch,total_time: 0.287777(0.454044),data_time: 0.213025(0.374245),train_time: 0.074752(0.079799)
 21 th batch,total_time: 0.284666(0.446345),data_time: 0.199348(0.366295),train_time: 0.085318(0.080050)
 22 th batch,total_time: 0.290519(0.439570),data_time: 0.189866(0.358624),train_time: 0.100652(0.080945)
 23 th batch,total_time: 0.286767(0.433203),data_time: 0.186396(0.351448),train_time: 0.100371(0.081755)
 24 th batch,total_time: 0.298294(0.427807),data_time: 0.179229(0.344560),train_time: 0.119066(0.083247)
 25 th batch,total_time: 0.280172(0.422128),data_time: 0.165981(0.337691),train_time: 0.114192(0.084437)
 26 th batch,total_time: 0.291085(0.417275),data_time: 0.160974(0.331146),train_time: 0.130111(0.086129)
 27 th batch,total_time: 0.273951(0.412156),data_time: 0.144845(0.324492),train_time: 0.129107(0.087664)
 28 th batch,total_time: 0.278870(0.407560),data_time: 0.168344(0.319108),train_time: 0.110526(0.088452)
 29 th batch,total_time: 0.294039(0.403776),data_time: 0.186229(0.314679),train_time: 0.107810(0.089097)
 30 th batch,total_time: 0.288559(0.400059),data_time: 0.181110(0.310370),train_time: 0.107449(0.089689)
 31 th batch,total_time: 0.290754(0.396644),data_time: 0.180669(0.306317),train_time: 0.110085(0.090327)
 32 th batch,total_time: 0.274626(0.392946),data_time: 0.173599(0.302295),train_time: 0.101026(0.090651)
 33 th batch,total_time: 0.278843(0.389590),data_time: 0.188596(0.298951),train_time: 0.090246(0.090639)
 34 th batch,total_time: 0.286434(0.386643),data_time: 0.198415(0.296079),train_time: 0.088019(0.090564)
 35 th batch,total_time: 0.289794(0.383953),data_time: 0.188986(0.293104),train_time: 0.100808(0.090849)
