Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
 0 th batch,total_time: 9.093620(9.093620),data_time: 8.351992(8.351992),train_time: 0.741628(0.741628)
 1 th batch,total_time: 0.233321(4.663471),data_time: 0.012336(4.182164),train_time: 0.220985(0.481306)
 2 th batch,total_time: 1.551109(3.626017),data_time: 1.280442(3.214923),train_time: 0.270667(0.411093)
 3 th batch,total_time: 0.492040(2.842522),data_time: 0.403061(2.511958),train_time: 0.088979(0.330565)
 4 th batch,total_time: 1.695420(2.613102),data_time: 1.175462(2.244659),train_time: 0.519958(0.368443)
 5 th batch,total_time: 0.455117(2.253438),data_time: 0.199455(1.903791),train_time: 0.255662(0.349646)
 6 th batch,total_time: 1.719563(2.177170),data_time: 1.024766(1.778216),train_time: 0.694797(0.398954)
 7 th batch,total_time: 0.349605(1.948724),data_time: 0.161332(1.576106),train_time: 0.188273(0.372619)
 8 th batch,total_time: 1.837859(1.936406),data_time: 0.961816(1.507851),train_time: 0.876043(0.428555)
 9 th batch,total_time: 0.236082(1.766373),data_time: 0.152937(1.372360),train_time: 0.083145(0.394014)
 10 th batch,total_time: 1.907418(1.779196),data_time: 0.897363(1.329178),train_time: 1.010056(0.450017)
 11 th batch,total_time: 0.232983(1.650345),data_time: 0.152198(1.231097),train_time: 0.080785(0.419248)
 12 th batch,total_time: 1.960692(1.674218),data_time: 0.788813(1.197075),train_time: 1.171879(0.477143)
 13 th batch,total_time: 0.235591(1.571459),data_time: 0.153680(1.122547),train_time: 0.081911(0.448912)
 14 th batch,total_time: 2.054163(1.603639),data_time: 0.600157(1.087721),train_time: 1.454006(0.515918)
 15 th batch,total_time: 0.231248(1.517864),data_time: 0.149892(1.029106),train_time: 0.081357(0.488758)
 16 th batch,total_time: 1.916055(1.541287),data_time: 0.367060(0.990162),train_time: 1.548995(0.551125)
 17 th batch,total_time: 0.233617(1.468639),data_time: 0.153028(0.943655),train_time: 0.080589(0.524984)
 18 th batch,total_time: 1.716422(1.481680),data_time: 0.209583(0.905020),train_time: 1.506839(0.576661)
 19 th batch,total_time: 0.232677(1.419230),data_time: 0.151378(0.867338),train_time: 0.081298(0.551893)
 20 th batch,total_time: 1.829442(1.438764),data_time: 0.245193(0.837712),train_time: 1.584249(0.601052)
 21 th batch,total_time: 0.232624(1.383939),data_time: 0.150878(0.806492),train_time: 0.081745(0.577447)
 22 th batch,total_time: 1.731645(1.399057),data_time: 0.151038(0.777994),train_time: 1.580608(0.621063)
 23 th batch,total_time: 0.226902(1.350217),data_time: 0.153035(0.751954),train_time: 0.073867(0.598263)
 24 th batch,total_time: 2.078385(1.379344),data_time: 0.158322(0.728209),train_time: 1.920063(0.651135)
 25 th batch,total_time: 0.126256(1.331148),data_time: 0.044922(0.701928),train_time: 0.081334(0.629220)
 26 th batch,total_time: 2.040303(1.357413),data_time: 0.151167(0.681530),train_time: 1.889135(0.675883)
 27 th batch,total_time: 0.233188(1.317262),data_time: 0.152375(0.662631),train_time: 0.080813(0.654631)
 28 th batch,total_time: 1.655853(1.328938),data_time: 0.151715(0.645014),train_time: 1.504138(0.683924)
 29 th batch,total_time: 0.232591(1.292393),data_time: 0.152364(0.628592),train_time: 0.080227(0.663801)
 30 th batch,total_time: 1.713861(1.305989),data_time: 0.151548(0.613203),train_time: 1.562312(0.692785)
 31 th batch,total_time: 0.233631(1.272478),data_time: 0.151890(0.598787),train_time: 0.081741(0.673690)
 32 th batch,total_time: 1.725792(1.286214),data_time: 0.150544(0.585204),train_time: 1.575248(0.701010)
 33 th batch,total_time: 0.231873(1.255204),data_time: 0.151770(0.572456),train_time: 0.080103(0.682748)
 34 th batch,total_time: 1.701994(1.267970),data_time: 0.152216(0.560449),train_time: 1.549778(0.707520)
 35 th batch,total_time: 0.232054(1.239194),data_time: 0.151764(0.549097),train_time: 0.080289(0.690097)
 36 th batch,total_time: 1.630115(1.249760),data_time: 0.151647(0.538355),train_time: 1.478468(0.711405)
 37 th batch,total_time: 0.233313(1.223011),data_time: 0.152804(0.528209),train_time: 0.080509(0.694802)
 38 th batch,total_time: 1.712562(1.235564),data_time: 0.151877(0.518559),train_time: 1.560684(0.717004)
 39 th batch,total_time: 0.232937(1.210498),data_time: 0.151844(0.509392),train_time: 0.081092(0.701106)
 40 th batch,total_time: 1.688393(1.222154),data_time: 0.150743(0.500644),train_time: 1.537649(0.721510)
 41 th batch,total_time: 0.232662(1.198595),data_time: 0.152270(0.492349),train_time: 0.080392(0.706245)
 42 th batch,total_time: 1.703436(1.210335),data_time: 0.151644(0.484426),train_time: 1.551792(0.725909)
 43 th batch,total_time: 0.234016(1.188146),data_time: 0.152109(0.476873),train_time: 0.081908(0.711273)
 44 th batch,total_time: 1.820277(1.202193),data_time: 0.150214(0.469614),train_time: 1.670063(0.732579)
 45 th batch,total_time: 0.232871(1.181121),data_time: 0.151946(0.462708),train_time: 0.080925(0.718413)
 46 th batch,total_time: 1.914642(1.196728),data_time: 0.151244(0.456082),train_time: 1.763398(0.740646)
 47 th batch,total_time: 0.233046(1.176651),data_time: 0.152293(0.449753),train_time: 0.080754(0.726899)
 48 th batch,total_time: 1.880702(1.191020),data_time: 0.151165(0.443659),train_time: 1.729536(0.747361)
 49 th batch,total_time: 0.237752(1.171954),data_time: 0.156916(0.437924),train_time: 0.080836(0.734030)
 50 th batch,total_time: 1.932037(1.186858),data_time: 0.151216(0.432302),train_time: 1.780821(0.754555)
 51 th batch,total_time: 0.231565(1.168487),data_time: 0.150278(0.426879),train_time: 0.081287(0.741608)
 52 th batch,total_time: 1.945095(1.183140),data_time: 0.151260(0.421679),train_time: 1.793835(0.761461)
 53 th batch,total_time: 0.233065(1.165546),data_time: 0.152317(0.416690),train_time: 0.080748(0.748856)
 54 th batch,total_time: 1.748905(1.176152),data_time: 0.151359(0.411866),train_time: 1.597547(0.764286)
 55 th batch,total_time: 0.232929(1.159309),data_time: 0.152007(0.407226),train_time: 0.080922(0.752083)
 56 th batch,total_time: 1.682673(1.168491),data_time: 0.151038(0.402731),train_time: 1.531635(0.765760)
 57 th batch,total_time: 0.234024(1.152379),data_time: 0.153139(0.398428),train_time: 0.080885(0.753952)
 58 th batch,total_time: 1.669821(1.161150),data_time: 0.151015(0.394235),train_time: 1.518806(0.766915)
 59 th batch,total_time: 0.234056(1.145698),data_time: 0.153004(0.390214),train_time: 0.081052(0.755484)
 60 th batch,total_time: 1.773475(1.155990),data_time: 0.151338(0.386298),train_time: 1.622137(0.769692)
 61 th batch,total_time: 0.232442(1.141094),data_time: 0.151607(0.382513),train_time: 0.080835(0.758581)
 62 th batch,total_time: 1.650393(1.149178),data_time: 0.151089(0.378839),train_time: 1.499304(0.770338)
 63 th batch,total_time: 0.232682(1.134858),data_time: 0.152587(0.375304),train_time: 0.080095(0.759553)
 64 th batch,total_time: 1.683552(1.143299),data_time: 0.151809(0.371866),train_time: 1.531743(0.771433)
 65 th batch,total_time: 0.233820(1.129519),data_time: 0.152909(0.368548),train_time: 0.080911(0.760971)
 66 th batch,total_time: 1.672638(1.137625),data_time: 0.151404(0.365307),train_time: 1.521235(0.772318)
 67 th batch,total_time: 0.233573(1.124330),data_time: 0.152190(0.362173),train_time: 0.081383(0.762157)
 68 th batch,total_time: 1.709037(1.132804),data_time: 0.150479(0.359105),train_time: 1.558558(0.773699)
 69 th batch,total_time: 0.233044(1.119951),data_time: 0.161637(0.356284),train_time: 0.071407(0.763666)
 70 th batch,total_time: 1.662991(1.127599),data_time: 0.160355(0.353525),train_time: 1.502635(0.774075)
 71 th batch,total_time: 0.233731(1.115184),data_time: 0.161620(0.350859),train_time: 0.072110(0.764325)
 72 th batch,total_time: 1.715646(1.123410),data_time: 0.160214(0.348248),train_time: 1.555431(0.775162)
 73 th batch,total_time: 0.231874(1.111362),data_time: 0.160990(0.345717),train_time: 0.070883(0.765645)
 74 th batch,total_time: 1.709287(1.119334),data_time: 0.160886(0.343253),train_time: 1.548401(0.776082)
 75 th batch,total_time: 0.233274(1.107676),data_time: 0.161332(0.340859),train_time: 0.071942(0.766817)
 76 th batch,total_time: 1.579518(1.113803),data_time: 0.160522(0.338517),train_time: 1.418996(0.775286)
