Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 0.895609(0.895609),data_time: 0.501734(0.501734),train_time: 0.393875(0.393875)
 1 th batch,total_time: 0.362746(0.629178),data_time: 0.317031(0.409383),train_time: 0.045715(0.219795)
 2 th batch,total_time: 0.293164(0.517173),data_time: 0.270488(0.363084),train_time: 0.022676(0.154089)
 3 th batch,total_time: 0.291582(0.460775),data_time: 0.267081(0.339083),train_time: 0.024501(0.121692)
 4 th batch,total_time: 0.300910(0.428802),data_time: 0.273873(0.326041),train_time: 0.027037(0.102761)
 5 th batch,total_time: 0.294192(0.406367),data_time: 0.268564(0.316462),train_time: 0.025629(0.089906)
 6 th batch,total_time: 0.315466(0.393381),data_time: 0.292120(0.312984),train_time: 0.023346(0.080397)
 7 th batch,total_time: 0.282997(0.379583),data_time: 0.258448(0.306167),train_time: 0.024549(0.073416)
 8 th batch,total_time: 0.294846(0.370168),data_time: 0.268600(0.301993),train_time: 0.026246(0.068175)
 9 th batch,total_time: 0.345473(0.367699),data_time: 0.322139(0.304008),train_time: 0.023334(0.063691)
 10 th batch,total_time: 0.283720(0.360064),data_time: 0.257938(0.299819),train_time: 0.025782(0.060245)
 11 th batch,total_time: 0.268617(0.352444),data_time: 0.242191(0.295017),train_time: 0.026426(0.057426)
 12 th batch,total_time: 0.284442(0.347213),data_time: 0.256996(0.292092),train_time: 0.027445(0.055120)
 13 th batch,total_time: 0.281973(0.342553),data_time: 0.253722(0.289352),train_time: 0.028251(0.053201)
 14 th batch,total_time: 0.292772(0.339234),data_time: 0.261853(0.287518),train_time: 0.030919(0.051715)
 15 th batch,total_time: 0.285680(0.335887),data_time: 0.256187(0.285560),train_time: 0.029493(0.050327)
 16 th batch,total_time: 0.285225(0.332907),data_time: 0.259101(0.284004),train_time: 0.026124(0.048903)
 17 th batch,total_time: 0.276103(0.329751),data_time: 0.252110(0.282232),train_time: 0.023992(0.047519)
 18 th batch,total_time: 0.282634(0.327271),data_time: 0.258126(0.280963),train_time: 0.024507(0.046308)
 19 th batch,total_time: 0.264523(0.324134),data_time: 0.240792(0.278955),train_time: 0.023732(0.045179)
 20 th batch,total_time: 0.325703(0.324208),data_time: 0.296919(0.279810),train_time: 0.028784(0.044398)
 21 th batch,total_time: 0.286015(0.322472),data_time: 0.260442(0.278930),train_time: 0.025573(0.043543)
 22 th batch,total_time: 0.285811(0.320878),data_time: 0.257893(0.278015),train_time: 0.027917(0.042863)
 23 th batch,total_time: 0.299561(0.319990),data_time: 0.278208(0.278023),train_time: 0.021353(0.041967)
 24 th batch,total_time: 0.275085(0.318194),data_time: 0.250203(0.276910),train_time: 0.024882(0.041284)
 25 th batch,total_time: 0.288516(0.317052),data_time: 0.265063(0.276455),train_time: 0.023453(0.040598)
 26 th batch,total_time: 0.274976(0.315494),data_time: 0.252984(0.275585),train_time: 0.021992(0.039909)
 27 th batch,total_time: 0.283193(0.314340),data_time: 0.258326(0.274969),train_time: 0.024867(0.039371)
 28 th batch,total_time: 0.302556(0.313934),data_time: 0.277313(0.275050),train_time: 0.025243(0.038884)
 29 th batch,total_time: 0.283554(0.312921),data_time: 0.256559(0.274433),train_time: 0.026995(0.038488)
 30 th batch,total_time: 0.271143(0.311574),data_time: 0.244798(0.273477),train_time: 0.026345(0.038096)
 31 th batch,total_time: 0.282893(0.310677),data_time: 0.255713(0.272922),train_time: 0.027180(0.037755)
 32 th batch,total_time: 0.278204(0.309693),data_time: 0.253569(0.272336),train_time: 0.024634(0.037358)
 33 th batch,total_time: 0.306047(0.309586),data_time: 0.283895(0.272676),train_time: 0.022152(0.036910)
 34 th batch,total_time: 0.291784(0.309077),data_time: 0.268298(0.272551),train_time: 0.023485(0.036527)
 35 th batch,total_time: 0.277985(0.308214),data_time: 0.251715(0.271972),train_time: 0.026270(0.036242)
 36 th batch,total_time: 0.266592(0.307089),data_time: 0.243237(0.271195),train_time: 0.023355(0.035894)
 37 th batch,total_time: 0.272412(0.306176),data_time: 0.247138(0.270562),train_time: 0.025274(0.035614)
 38 th batch,total_time: 0.263798(0.305090),data_time: 0.237696(0.269720),train_time: 0.026103(0.035370)
 39 th batch,total_time: 0.278086(0.304415),data_time: 0.249742(0.269220),train_time: 0.028344(0.035195)
 40 th batch,total_time: 0.279539(0.303808),data_time: 0.252394(0.268810),train_time: 0.027145(0.034998)
 41 th batch,total_time: 0.280717(0.303258),data_time: 0.254068(0.268459),train_time: 0.026649(0.034799)
 42 th batch,total_time: 0.291398(0.302982),data_time: 0.261858(0.268305),train_time: 0.029541(0.034677)
 43 th batch,total_time: 0.277406(0.302401),data_time: 0.250055(0.267890),train_time: 0.027351(0.034511)
 44 th batch,total_time: 0.299795(0.302343),data_time: 0.267076(0.267872),train_time: 0.032719(0.034471)
 45 th batch,total_time: 0.279954(0.301856),data_time: 0.256782(0.267631),train_time: 0.023172(0.034225)
 46 th batch,total_time: 0.284281(0.301482),data_time: 0.258340(0.267434),train_time: 0.025941(0.034049)
 47 th batch,total_time: 0.300426(0.301460),data_time: 0.275677(0.267605),train_time: 0.024749(0.033855)
 48 th batch,total_time: 0.349255(0.302436),data_time: 0.323966(0.268756),train_time: 0.025289(0.033680)
 49 th batch,total_time: 0.295078(0.302289),data_time: 0.269265(0.268766),train_time: 0.025813(0.033523)
 50 th batch,total_time: 0.282159(0.301894),data_time: 0.258125(0.268557),train_time: 0.024034(0.033337)
 51 th batch,total_time: 0.298263(0.301824),data_time: 0.272588(0.268635),train_time: 0.025675(0.033190)
 52 th batch,total_time: 0.293594(0.301669),data_time: 0.266263(0.268590),train_time: 0.027331(0.033079)
 53 th batch,total_time: 0.300284(0.301643),data_time: 0.272532(0.268663),train_time: 0.027752(0.032980)
 54 th batch,total_time: 0.284530(0.301332),data_time: 0.255721(0.268428),train_time: 0.028809(0.032905)
 55 th batch,total_time: 0.293731(0.301196),data_time: 0.262763(0.268326),train_time: 0.030968(0.032870)
 56 th batch,total_time: 0.289415(0.300990),data_time: 0.259873(0.268178),train_time: 0.029542(0.032812)
 57 th batch,total_time: 0.291785(0.300831),data_time: 0.263264(0.268093),train_time: 0.028521(0.032738)
 58 th batch,total_time: 0.289891(0.300646),data_time: 0.260935(0.267972),train_time: 0.028957(0.032674)
 59 th batch,total_time: 0.293935(0.300534),data_time: 0.263406(0.267896),train_time: 0.030529(0.032638)
 60 th batch,total_time: 0.287708(0.300323),data_time: 0.257133(0.267719),train_time: 0.030575(0.032604)
 61 th batch,total_time: 0.279935(0.299995),data_time: 0.250897(0.267448),train_time: 0.029038(0.032546)
 62 th batch,total_time: 0.292588(0.299877),data_time: 0.263337(0.267383),train_time: 0.029251(0.032494)
 63 th batch,total_time: 0.297473(0.299840),data_time: 0.268006(0.267393),train_time: 0.029467(0.032447)
 64 th batch,total_time: 0.276440(0.299480),data_time: 0.246737(0.267075),train_time: 0.029704(0.032405)
 65 th batch,total_time: 0.285212(0.299263),data_time: 0.256831(0.266920),train_time: 0.028380(0.032344)
 66 th batch,total_time: 0.283051(0.299021),data_time: 0.253345(0.266717),train_time: 0.029706(0.032304)
 67 th batch,total_time: 0.280678(0.298752),data_time: 0.252390(0.266506),train_time: 0.028288(0.032245)
 68 th batch,total_time: 0.282719(0.298519),data_time: 0.256691(0.266364),train_time: 0.026029(0.032155)
 69 th batch,total_time: 0.273119(0.298156),data_time: 0.247736(0.266098),train_time: 0.025383(0.032058)
 70 th batch,total_time: 0.287880(0.298012),data_time: 0.262130(0.266042),train_time: 0.025750(0.031970)
 71 th batch,total_time: 0.273471(0.297671),data_time: 0.248398(0.265797),train_time: 0.025073(0.031874)
 72 th batch,total_time: 0.303079(0.297745),data_time: 0.275362(0.265928),train_time: 0.027718(0.031817)
 73 th batch,total_time: 0.277912(0.297477),data_time: 0.252611(0.265748),train_time: 0.025301(0.031729)
 74 th batch,total_time: 0.284445(0.297303),data_time: 0.252241(0.265568),train_time: 0.032204(0.031735)
 75 th batch,total_time: 0.271994(0.296970),data_time: 0.249348(0.265355),train_time: 0.022646(0.031616)
 76 th batch,total_time: 0.273684(0.296668),data_time: 0.250868(0.265166),train_time: 0.022816(0.031501)
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 0.911536(0.911536),data_time: 0.486956(0.486956),train_time: 0.424581(0.424581)
 1 th batch,total_time: 0.379066(0.645301),data_time: 0.337404(0.412180),train_time: 0.041662(0.233121)
 2 th batch,total_time: 0.297606(0.529403),data_time: 0.275161(0.366507),train_time: 0.022446(0.162896)
 3 th batch,total_time: 0.285070(0.468320),data_time: 0.256091(0.338903),train_time: 0.028979(0.129417)
 4 th batch,total_time: 0.299486(0.434553),data_time: 0.266615(0.324445),train_time: 0.032871(0.110108)
 5 th batch,total_time: 0.299120(0.411981),data_time: 0.275175(0.316233),train_time: 0.023946(0.095747)
 6 th batch,total_time: 0.314448(0.398048),data_time: 0.264052(0.308779),train_time: 0.050397(0.089269)
 7 th batch,total_time: 0.297541(0.385484),data_time: 0.268941(0.303799),train_time: 0.028600(0.081685)
 8 th batch,total_time: 0.290778(0.374961),data_time: 0.267236(0.299737),train_time: 0.023542(0.075225)
 9 th batch,total_time: 0.542326(0.391698),data_time: 0.515374(0.321300),train_time: 0.026953(0.070398)
 10 th batch,total_time: 0.287630(0.382237),data_time: 0.257090(0.315463),train_time: 0.030540(0.066774)
 11 th batch,total_time: 0.300009(0.375385),data_time: 0.272571(0.311889),train_time: 0.027438(0.063496)
 12 th batch,total_time: 0.278352(0.367921),data_time: 0.252970(0.307357),train_time: 0.025382(0.060564)
 13 th batch,total_time: 0.286701(0.362119),data_time: 0.259049(0.303906),train_time: 0.027652(0.058213)
 14 th batch,total_time: 0.285530(0.357013),data_time: 0.255700(0.300692),train_time: 0.029830(0.056321)
 15 th batch,total_time: 0.288989(0.352762),data_time: 0.261298(0.298230),train_time: 0.027690(0.054532)
 16 th batch,total_time: 0.287031(0.348895),data_time: 0.263210(0.296170),train_time: 0.023821(0.052725)
 17 th batch,total_time: 0.281278(0.345139),data_time: 0.258729(0.294090),train_time: 0.022549(0.051049)
 18 th batch,total_time: 0.262017(0.340764),data_time: 0.235111(0.290986),train_time: 0.026906(0.049778)
 19 th batch,total_time: 0.325899(0.340021),data_time: 0.301273(0.291500),train_time: 0.024626(0.048520)
 20 th batch,total_time: 0.290018(0.337640),data_time: 0.263399(0.290162),train_time: 0.026618(0.047477)
 21 th batch,total_time: 0.283980(0.335201),data_time: 0.256544(0.288634),train_time: 0.027436(0.046567)
 22 th batch,total_time: 0.279751(0.332790),data_time: 0.252720(0.287073),train_time: 0.027031(0.045717)
 23 th batch,total_time: 0.276785(0.330456),data_time: 0.250490(0.285548),train_time: 0.026295(0.044908)
 24 th batch,total_time: 0.284020(0.328599),data_time: 0.257128(0.284411),train_time: 0.026892(0.044187)
 25 th batch,total_time: 0.278220(0.326661),data_time: 0.251507(0.283146),train_time: 0.026713(0.043515)
 26 th batch,total_time: 0.282693(0.325033),data_time: 0.257126(0.282182),train_time: 0.025567(0.042850)
 27 th batch,total_time: 0.289247(0.323755),data_time: 0.262313(0.281473),train_time: 0.026933(0.042282)
 28 th batch,total_time: 0.302200(0.323011),data_time: 0.275219(0.281257),train_time: 0.026981(0.041754)
 29 th batch,total_time: 0.281871(0.321640),data_time: 0.254066(0.280351),train_time: 0.027805(0.041289)
 30 th batch,total_time: 0.293165(0.320721),data_time: 0.264145(0.279828),train_time: 0.029020(0.040894)
 31 th batch,total_time: 0.284989(0.319605),data_time: 0.257617(0.279134),train_time: 0.027371(0.040471)
 32 th batch,total_time: 0.282982(0.318495),data_time: 0.256447(0.278446),train_time: 0.026536(0.040049)
 33 th batch,total_time: 0.282000(0.317422),data_time: 0.256542(0.277802),train_time: 0.025458(0.039620)
 34 th batch,total_time: 0.287137(0.316556),data_time: 0.261806(0.277345),train_time: 0.025331(0.039211)
 35 th batch,total_time: 0.275044(0.315403),data_time: 0.247914(0.276528),train_time: 0.027129(0.038876)
 36 th batch,total_time: 0.277767(0.314386),data_time: 0.251715(0.275857),train_time: 0.026052(0.038529)
 37 th batch,total_time: 0.275316(0.313358),data_time: 0.249123(0.275153),train_time: 0.026193(0.038204)
 38 th batch,total_time: 0.279794(0.312497),data_time: 0.253279(0.274593),train_time: 0.026514(0.037905)
 39 th batch,total_time: 0.281198(0.311715),data_time: 0.254265(0.274084),train_time: 0.026933(0.037630)
 40 th batch,total_time: 0.275413(0.310829),data_time: 0.249420(0.273483),train_time: 0.025994(0.037347)
 41 th batch,total_time: 0.287634(0.310277),data_time: 0.261794(0.273204),train_time: 0.025840(0.037073)
 42 th batch,total_time: 0.285724(0.309706),data_time: 0.259922(0.272896),train_time: 0.025802(0.036811)
 43 th batch,total_time: 0.295941(0.309393),data_time: 0.269712(0.272823),train_time: 0.026229(0.036570)
 44 th batch,total_time: 0.281438(0.308772),data_time: 0.255553(0.272439),train_time: 0.025885(0.036333)
 45 th batch,total_time: 0.291096(0.308388),data_time: 0.264723(0.272272),train_time: 0.026374(0.036116)
 46 th batch,total_time: 0.302144(0.308255),data_time: 0.273748(0.272303),train_time: 0.028396(0.035952)
 47 th batch,total_time: 0.350803(0.309141),data_time: 0.325579(0.273413),train_time: 0.025224(0.035728)
 48 th batch,total_time: 0.294955(0.308852),data_time: 0.269493(0.273333),train_time: 0.025463(0.035519)
 49 th batch,total_time: 0.286033(0.308395),data_time: 0.259243(0.273051),train_time: 0.026790(0.035344)
 50 th batch,total_time: 0.298478(0.308201),data_time: 0.269101(0.272974),train_time: 0.029378(0.035227)
 51 th batch,total_time: 0.293426(0.307917),data_time: 0.260408(0.272732),train_time: 0.033019(0.035185)
 52 th batch,total_time: 0.296509(0.307702),data_time: 0.269819(0.272677),train_time: 0.026690(0.035025)
 53 th batch,total_time: 0.284952(0.307280),data_time: 0.256607(0.272379),train_time: 0.028345(0.034901)
 54 th batch,total_time: 0.289588(0.306959),data_time: 0.259788(0.272151),train_time: 0.029800(0.034808)
 55 th batch,total_time: 0.292862(0.306707),data_time: 0.266175(0.272044),train_time: 0.026687(0.034663)
 56 th batch,total_time: 0.281921(0.306272),data_time: 0.257309(0.271785),train_time: 0.024612(0.034487)
 57 th batch,total_time: 0.287513(0.305949),data_time: 0.260500(0.271591),train_time: 0.027014(0.034358)
 58 th batch,total_time: 0.280309(0.305514),data_time: 0.253558(0.271285),train_time: 0.026751(0.034229)
 59 th batch,total_time: 0.305007(0.305506),data_time: 0.275928(0.271363),train_time: 0.029078(0.034143)
 60 th batch,total_time: 0.292700(0.305296),data_time: 0.260708(0.271188),train_time: 0.031992(0.034108)
 61 th batch,total_time: 0.284060(0.304953),data_time: 0.257430(0.270966),train_time: 0.026630(0.033987)
 62 th batch,total_time: 0.283238(0.304609),data_time: 0.256881(0.270742),train_time: 0.026357(0.033866)
 63 th batch,total_time: 0.284186(0.304289),data_time: 0.256118(0.270514),train_time: 0.028068(0.033776)
 64 th batch,total_time: 0.273843(0.303821),data_time: 0.246025(0.270137),train_time: 0.027817(0.033684)
 65 th batch,total_time: 0.304657(0.303834),data_time: 0.279951(0.270286),train_time: 0.024707(0.033548)
 66 th batch,total_time: 0.292939(0.303671),data_time: 0.265493(0.270214),train_time: 0.027446(0.033457)
 67 th batch,total_time: 0.286764(0.303422),data_time: 0.258888(0.270048),train_time: 0.027876(0.033375)
 68 th batch,total_time: 0.275369(0.303016),data_time: 0.246232(0.269703),train_time: 0.029138(0.033313)
 69 th batch,total_time: 0.278847(0.302671),data_time: 0.252401(0.269455),train_time: 0.026447(0.033215)
 70 th batch,total_time: 0.276174(0.302297),data_time: 0.249615(0.269176),train_time: 0.026559(0.033121)
 71 th batch,total_time: 0.283507(0.302036),data_time: 0.251172(0.268926),train_time: 0.032335(0.033111)
 72 th batch,total_time: 0.275225(0.301669),data_time: 0.246350(0.268617),train_time: 0.028876(0.033053)
 73 th batch,total_time: 0.285605(0.301452),data_time: 0.256178(0.268449),train_time: 0.029427(0.033004)
 74 th batch,total_time: 0.279126(0.301154),data_time: 0.251146(0.268218),train_time: 0.027980(0.032937)
 75 th batch,total_time: 0.277574(0.300844),data_time: 0.249291(0.267969),train_time: 0.028283(0.032875)
 76 th batch,total_time: 0.289096(0.300692),data_time: 0.263332(0.267909),train_time: 0.025764(0.032783)
 77 th batch,total_time: 0.282705(0.296489),data_time: 0.256508(0.265055),train_time: 0.026197(0.031433)
 78 th batch,total_time: 0.270523(0.296160),data_time: 0.247133(0.264829),train_time: 0.023390(0.031331)
 79 th batch,total_time: 0.294595(0.296140),data_time: 0.265067(0.264832),train_time: 0.029528(0.031309)
 80 th batch,total_time: 0.283613(0.295986),data_time: 0.261437(0.264790),train_time: 0.022177(0.031196)
 81 th batch,total_time: 0.295580(0.295981),data_time: 0.268244(0.264832),train_time: 0.027336(0.031149)
 82 th batch,total_time: 0.276839(0.295750),data_time: 0.249467(0.264647),train_time: 0.027372(0.031104)
 83 th batch,total_time: 0.268455(0.295425),data_time: 0.242391(0.264382),train_time: 0.026064(0.031044)
 84 th batch,total_time: 0.294226(0.295411),data_time: 0.267232(0.264415),train_time: 0.026994(0.030996)
 85 th batch,total_time: 0.308888(0.295568),data_time: 0.280968(0.264608),train_time: 0.027920(0.030960)
 86 th batch,total_time: 0.289440(0.295497),data_time: 0.266488(0.264629),train_time: 0.022952(0.030868)
 87 th batch,total_time: 0.295058(0.295492),data_time: 0.265960(0.264644),train_time: 0.029099(0.030848)
 88 th batch,total_time: 0.272460(0.295234),data_time: 0.243804(0.264410),train_time: 0.028656(0.030823)
 89 th batch,total_time: 0.280473(0.295070),data_time: 0.255509(0.264311),train_time: 0.024964(0.030758)
