Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 59 th batch,total_time: 4.093330(4.216917),data_time: 3.950625(4.058331),train_time: 0.142705(0.158586)
 60 th batch,total_time: 4.074482(4.214582),data_time: 3.931639(4.056254),train_time: 0.142843(0.158328)
 61 th batch,total_time: 4.042190(4.211802),data_time: 3.898187(4.053705),train_time: 0.144003(0.158097)
 62 th batch,total_time: 4.117263(4.210301),data_time: 3.973903(4.052438),train_time: 0.143360(0.157863)
 63 th batch,total_time: 4.154401(4.209428),data_time: 4.010781(4.051787),train_time: 0.143620(0.157640)
 64 th batch,total_time: 4.143628(4.208415),data_time: 3.997099(4.050946),train_time: 0.146529(0.157469)
 65 th batch,total_time: 4.138701(4.207359),data_time: 3.995528(4.050106),train_time: 0.143173(0.157253)
 66 th batch,total_time: 4.114553(4.205974),data_time: 3.971728(4.048936),train_time: 0.142825(0.157037)
 67 th batch,total_time: 4.153953(4.205209),data_time: 4.010703(4.048374),train_time: 0.143251(0.156835)
 68 th batch,total_time: 4.098374(4.203661),data_time: 3.955218(4.047024),train_time: 0.143156(0.156636)
 69 th batch,total_time: 4.093644(4.202089),data_time: 3.949950(4.045637),train_time: 0.143693(0.156452)
 70 th batch,total_time: 4.153192(4.201400),data_time: 4.010067(4.045136),train_time: 0.143126(0.156264)
 71 th batch,total_time: 4.490020(4.205409),data_time: 4.346811(4.049326),train_time: 0.143208(0.156083)
 72 th batch,total_time: 4.149772(4.204647),data_time: 4.006884(4.048745),train_time: 0.142889(0.155902)
 73 th batch,total_time: 4.271538(4.205551),data_time: 4.128670(4.049825),train_time: 0.142869(0.155726)
 74 th batch,total_time: 4.373724(4.207793),data_time: 4.228287(4.052204),train_time: 0.145437(0.155589)
 75 th batch,total_time: 4.296959(4.208966),data_time: 4.150824(4.053502),train_time: 0.146134(0.155464)
 76 th batch,total_time: 4.278024(4.209863),data_time: 4.134496(4.054554),train_time: 0.143528(0.155309)
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 5.697870(5.697870),data_time: 4.979283(4.979283),train_time: 0.718587(0.718587)
 1 th batch,total_time: 5.332212(5.515041),data_time: 4.831477(4.905380),train_time: 0.500736(0.609662)
 2 th batch,total_time: 4.158943(5.063009),data_time: 4.015938(4.608899),train_time: 0.143006(0.454110)
 3 th batch,total_time: 4.346231(4.883814),data_time: 4.088224(4.478730),train_time: 0.258007(0.405084)
 4 th batch,total_time: 4.220829(4.751217),data_time: 4.076979(4.398380),train_time: 0.143850(0.352837)
 5 th batch,total_time: 4.435757(4.698641),data_time: 4.293090(4.380832),train_time: 0.142668(0.317809)
 6 th batch,total_time: 4.126394(4.616891),data_time: 3.961734(4.320961),train_time: 0.164660(0.295930)
 7 th batch,total_time: 4.027977(4.543277),data_time: 3.801335(4.256007),train_time: 0.226641(0.287269)
 8 th batch,total_time: 4.154567(4.500087),data_time: 4.009769(4.228648),train_time: 0.144798(0.271439)
 9 th batch,total_time: 4.137223(4.463801),data_time: 3.993324(4.205115),train_time: 0.143900(0.258685)
 10 th batch,total_time: 4.126065(4.433097),data_time: 3.966428(4.183416),train_time: 0.159638(0.249681)
 11 th batch,total_time: 4.174750(4.411568),data_time: 3.989386(4.167247),train_time: 0.185364(0.244321)
 12 th batch,total_time: 4.160370(4.392245),data_time: 4.011310(4.155252),train_time: 0.149060(0.236993)
 13 th batch,total_time: 4.146751(4.374710),data_time: 4.002010(4.144306),train_time: 0.144741(0.230404)
 14 th batch,total_time: 4.147933(4.359592),data_time: 4.002580(4.134858),train_time: 0.145353(0.224734)
 15 th batch,total_time: 4.276508(4.354399),data_time: 4.131531(4.134650),train_time: 0.144977(0.219749)
 16 th batch,total_time: 4.241625(4.347765),data_time: 4.098237(4.132508),train_time: 0.143387(0.215257)
 17 th batch,total_time: 4.217271(4.340515),data_time: 4.073009(4.129202),train_time: 0.144262(0.211313)
 18 th batch,total_time: 4.392568(4.343255),data_time: 4.248325(4.135472),train_time: 0.144243(0.207783)
 19 th batch,total_time: 4.288510(4.340518),data_time: 4.145306(4.135964),train_time: 0.143204(0.204554)
 20 th batch,total_time: 4.292409(4.338227),data_time: 4.148841(4.136577),train_time: 0.143568(0.201650)
 21 th batch,total_time: 4.090745(4.326978),data_time: 3.946513(4.127938),train_time: 0.144232(0.199040)
 22 th batch,total_time: 4.075780(4.316056),data_time: 3.931612(4.119402),train_time: 0.144168(0.196654)
 23 th batch,total_time: 4.220772(4.312086),data_time: 4.068154(4.117266),train_time: 0.152618(0.194819)
