Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 32
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 32
@@ 非dummy数据集加载
 0 th batch,total_time: 94.308570(94.308570),data_time: 93.817002(93.817002),train_time: 0.491569(0.491569)
 1 th batch,total_time: 0.029082(47.168826),data_time: 0.001019(46.909010),train_time: 0.028064(0.259816)
 2 th batch,total_time: 0.022946(31.453533),data_time: 0.000937(31.272986),train_time: 0.022008(0.180547)
 3 th batch,total_time: 0.028466(23.597266),data_time: 0.005219(23.456044),train_time: 0.023247(0.141222)
 4 th batch,total_time: 0.029012(18.883615),data_time: 0.004622(18.765760),train_time: 0.024390(0.117856)
 5 th batch,total_time: 0.036509(15.742431),data_time: 0.004248(15.638841),train_time: 0.032261(0.103590)
 6 th batch,total_time: 0.033912(13.498357),data_time: 0.001637(13.404955),train_time: 0.032275(0.093402)
 7 th batch,total_time: 0.035036(11.815442),data_time: 0.002707(11.729674),train_time: 0.032329(0.085768)
 8 th batch,total_time: 0.032377(10.506212),data_time: 0.002576(10.426663),train_time: 0.029802(0.079549)
 9 th batch,total_time: 0.036199(9.459211),data_time: 0.003960(9.384393),train_time: 0.032239(0.074818)
 10 th batch,total_time: 0.030577(8.602063),data_time: 0.002729(8.531514),train_time: 0.027848(0.070548)
 11 th batch,total_time: 0.033864(7.888046),data_time: 0.004560(7.820935),train_time: 0.029303(0.067111)
 12 th batch,total_time: 0.031943(7.283730),data_time: 0.004886(7.219700),train_time: 0.027056(0.064030)
 13 th batch,total_time: 0.035711(6.766015),data_time: 0.006181(6.704449),train_time: 0.029530(0.061566)
 14 th batch,total_time: 0.035057(6.317284),data_time: 0.007457(6.257983),train_time: 0.027600(0.059301)
 15 th batch,total_time: 0.030042(5.924331),data_time: 0.002956(5.867043),train_time: 0.027086(0.057288)
 16 th batch,total_time: 0.041622(5.578290),data_time: 0.005493(5.522246),train_time: 0.036129(0.056043)
 17 th batch,total_time: 0.031420(5.270130),data_time: 0.002562(5.215597),train_time: 0.028858(0.054533)
 18 th batch,total_time: 0.034234(4.994557),data_time: 0.003350(4.941268),train_time: 0.030884(0.053288)
 19 th batch,total_time: 0.030999(4.746379),data_time: 0.002192(4.694315),train_time: 0.028807(0.052064)
 20 th batch,total_time: 0.033211(4.521942),data_time: 0.004507(4.470990),train_time: 0.028705(0.050952)
 21 th batch,total_time: 0.032321(4.317869),data_time: 0.003836(4.267938),train_time: 0.028485(0.049931)
 22 th batch,total_time: 0.030143(4.131446),data_time: 0.002794(4.082497),train_time: 0.027350(0.048949)
 23 th batch,total_time: 0.031451(3.960613),data_time: 0.004170(3.912567),train_time: 0.027280(0.048046)
 24 th batch,total_time: 0.033426(3.803525),data_time: 0.003960(3.756222),train_time: 0.029465(0.047303)
 25 th batch,total_time: 0.033429(3.658521),data_time: 0.003984(3.611906),train_time: 0.029444(0.046616)
 26 th batch,total_time: 0.031929(3.524203),data_time: 0.003183(3.478249),train_time: 0.028746(0.045954)
 27 th batch,total_time: 0.034089(3.399556),data_time: 0.004014(3.354169),train_time: 0.030075(0.045387)
 28 th batch,total_time: 0.031496(3.283416),data_time: 0.002269(3.238587),train_time: 0.029227(0.044830)
 29 th batch,total_time: 0.030849(3.174997),data_time: 0.003966(3.130766),train_time: 0.026883(0.044232)
 30 th batch,total_time: 0.033904(3.073672),data_time: 0.005246(3.029943),train_time: 0.028658(0.043729)
 31 th batch,total_time: 0.036653(2.978765),data_time: 0.004722(2.935405),train_time: 0.031930(0.043360)
 32 th batch,total_time: 0.036803(2.889615),data_time: 0.003625(2.846563),train_time: 0.033178(0.043052)
 33 th batch,total_time: 0.038702(2.805764),data_time: 0.002033(2.762900),train_time: 0.036669(0.042864)
 34 th batch,total_time: 0.031523(2.726500),data_time: 0.001404(2.684000),train_time: 0.030119(0.042500)
 35 th batch,total_time: 0.033518(2.651695),data_time: 0.002915(2.609526),train_time: 0.030603(0.042170)
 36 th batch,total_time: 0.035577(2.580989),data_time: 0.008122(2.539217),train_time: 0.027455(0.041772)
 37 th batch,total_time: 0.034678(2.513981),data_time: 0.005675(2.472545),train_time: 0.029003(0.041436)
 38 th batch,total_time: 0.035108(2.450420),data_time: 0.004872(2.409272),train_time: 0.030236(0.041149)
 39 th batch,total_time: 0.033529(2.389998),data_time: 0.002943(2.349113),train_time: 0.030586(0.040885)
 40 th batch,total_time: 0.032828(2.332506),data_time: 0.001639(2.291858),train_time: 0.031189(0.040648)
 41 th batch,total_time: 0.035375(2.277812),data_time: 0.004909(2.237407),train_time: 0.030467(0.040406)
 42 th batch,total_time: 0.033150(2.225611),data_time: 0.003396(2.185453),train_time: 0.029754(0.040158)
 43 th batch,total_time: 0.034001(2.175802),data_time: 0.003911(2.135872),train_time: 0.030091(0.039929)
 44 th batch,total_time: 0.031087(2.128141),data_time: 0.005504(2.088531),train_time: 0.025584(0.039610)
 45 th batch,total_time: 0.030066(2.082531),data_time: 0.005941(2.043257),train_time: 0.024125(0.039274)
 46 th batch,total_time: 0.032783(2.038919),data_time: 0.009707(1.999990),train_time: 0.023076(0.038929)
 47 th batch,total_time: 0.035492(1.997181),data_time: 0.013797(1.958611),train_time: 0.021695(0.038570)
 48 th batch,total_time: 0.032604(1.957088),data_time: 0.010663(1.918857),train_time: 0.021941(0.038231)
 49 th batch,total_time: 0.034681(1.918640),data_time: 0.010343(1.880687),train_time: 0.024338(0.037953)
 50 th batch,total_time: 0.034559(1.881697),data_time: 0.009625(1.843999),train_time: 0.024934(0.037698)
 51 th batch,total_time: 0.029939(1.846086),data_time: 0.008621(1.808704),train_time: 0.021318(0.037383)
 52 th batch,total_time: 0.033406(1.811885),data_time: 0.012315(1.774809),train_time: 0.021091(0.037075)
 53 th batch,total_time: 0.030623(1.778898),data_time: 0.009968(1.742127),train_time: 0.020655(0.036771)
 54 th batch,total_time: 0.032727(1.747150),data_time: 0.012189(1.710674),train_time: 0.020538(0.036476)
 55 th batch,total_time: 0.031400(1.716511),data_time: 0.011074(1.680324),train_time: 0.020326(0.036188)
 56 th batch,total_time: 0.030316(1.686929),data_time: 0.009117(1.651004),train_time: 0.021199(0.035925)
 57 th batch,total_time: 0.031933(1.658395),data_time: 0.011113(1.622730),train_time: 0.020820(0.035664)
 58 th batch,total_time: 0.034147(1.630865),data_time: 0.009991(1.595396),train_time: 0.024156(0.035469)
 59 th batch,total_time: 0.031440(1.604208),data_time: 0.007347(1.568928),train_time: 0.024094(0.035280)
 60 th batch,total_time: 0.035932(1.578498),data_time: 0.008984(1.543356),train_time: 0.026948(0.035143)
 61 th batch,total_time: 0.032141(1.553557),data_time: 0.006173(1.518562),train_time: 0.025968(0.034995)
 62 th batch,total_time: 0.029370(1.529364),data_time: 0.006827(1.494566),train_time: 0.022543(0.034797)
 63 th batch,total_time: 0.033439(1.505990),data_time: 0.009143(1.471357),train_time: 0.024296(0.034633)
 64 th batch,total_time: 0.030845(1.483295),data_time: 0.008063(1.448844),train_time: 0.022782(0.034451)
 65 th batch,total_time: 0.032121(1.461308),data_time: 0.010512(1.427052),train_time: 0.021609(0.034256)
 66 th batch,total_time: 0.030825(1.439957),data_time: 0.009164(1.405889),train_time: 0.021661(0.034068)
 67 th batch,total_time: 0.032510(1.419260),data_time: 0.011062(1.385377),train_time: 0.021448(0.033883)
 68 th batch,total_time: 0.031703(1.399150),data_time: 0.010528(1.365452),train_time: 0.021175(0.033699)
 69 th batch,total_time: 0.030839(1.379603),data_time: 0.010087(1.346089),train_time: 0.020752(0.033514)
 70 th batch,total_time: 0.030632(1.360603),data_time: 0.010206(1.327274),train_time: 0.020426(0.033329)
 71 th batch,total_time: 0.031765(1.342147),data_time: 0.011124(1.308994),train_time: 0.020641(0.033153)
 72 th batch,total_time: 0.034062(1.324228),data_time: 0.013065(1.291242),train_time: 0.020997(0.032987)
 73 th batch,total_time: 0.033038(1.306780),data_time: 0.012466(1.273961),train_time: 0.020572(0.032819)
 74 th batch,total_time: 0.034351(1.289814),data_time: 0.012953(1.257147),train_time: 0.021398(0.032667)
 75 th batch,total_time: 0.038821(1.273354),data_time: 0.017192(1.240832),train_time: 0.021628(0.032521)
 76 th batch,total_time: 0.033973(1.257258),data_time: 0.012183(1.224876),train_time: 0.021789(0.032382)
 0 th batch,total_time: 94.293265(94.293265),data_time: 93.434809(93.434809),train_time: 0.858455(0.858455)
 1 th batch,total_time: 0.042335(47.167800),data_time: 0.000961(46.717885),train_time: 0.041374(0.449915)
 2 th batch,total_time: 0.021335(31.452311),data_time: 0.000935(31.145568),train_time: 0.020399(0.306743)
 3 th batch,total_time: 0.028848(23.596446),data_time: 0.007993(23.361175),train_time: 0.020854(0.235271)
 4 th batch,total_time: 0.028308(18.882818),data_time: 0.006938(18.690327),train_time: 0.021371(0.192491)
 5 th batch,total_time: 0.030378(15.740745),data_time: 0.007145(15.576464),train_time: 0.023233(0.164281)
 6 th batch,total_time: 0.034825(13.497042),data_time: 0.010466(13.352750),train_time: 0.024359(0.144292)
 7 th batch,total_time: 0.034277(11.814196),data_time: 0.010319(11.684946),train_time: 0.023958(0.129251)
 8 th batch,total_time: 0.037629(10.505689),data_time: 0.011147(10.387857),train_time: 0.026482(0.117832)
 9 th batch,total_time: 0.032440(9.458364),data_time: 0.007168(9.349788),train_time: 0.025272(0.108576)
 10 th batch,total_time: 0.039008(8.602059),data_time: 0.009489(8.500670),train_time: 0.029518(0.101389)
 11 th batch,total_time: 0.032394(7.887920),data_time: 0.002971(7.792528),train_time: 0.029423(0.095392)
 12 th batch,total_time: 0.035374(7.283878),data_time: 0.004449(7.193445),train_time: 0.030925(0.090433)
 13 th batch,total_time: 0.034913(6.766095),data_time: 0.001593(6.679742),train_time: 0.033320(0.086353)
 14 th batch,total_time: 0.031534(6.317124),data_time: 0.003325(6.234647),train_time: 0.028209(0.082477)
 15 th batch,total_time: 0.031255(5.924257),data_time: 0.001997(5.845107),train_time: 0.029258(0.079151)
 16 th batch,total_time: 0.030152(5.577545),data_time: 0.002924(5.501449),train_time: 0.027228(0.076096)
 17 th batch,total_time: 0.039967(5.269902),data_time: 0.010747(5.196410),train_time: 0.029219(0.073492)
 18 th batch,total_time: 0.031756(4.994210),data_time: 0.002755(4.923060),train_time: 0.029001(0.071151)
 19 th batch,total_time: 0.035680(4.746284),data_time: 0.003724(4.677093),train_time: 0.031955(0.069191)
 20 th batch,total_time: 0.030370(4.521716),data_time: 0.001362(4.454439),train_time: 0.029008(0.067277)
 21 th batch,total_time: 0.029957(4.317545),data_time: 0.002857(4.252094),train_time: 0.027100(0.065451)
 22 th batch,total_time: 0.031956(4.131215),data_time: 0.003659(4.067380),train_time: 0.028297(0.063836)
 23 th batch,total_time: 0.030183(3.960339),data_time: 0.003028(3.898032),train_time: 0.027155(0.062307)
 24 th batch,total_time: 0.033043(3.803247),data_time: 0.003638(3.742256),train_time: 0.029405(0.060991)
 25 th batch,total_time: 0.030895(3.658157),data_time: 0.003570(3.598460),train_time: 0.027325(0.059696)
 26 th batch,total_time: 0.034737(3.523956),data_time: 0.005044(3.465371),train_time: 0.029693(0.058585)
 27 th batch,total_time: 0.032010(3.399244),data_time: 0.002869(3.341710),train_time: 0.029140(0.057534)
 28 th batch,total_time: 0.033535(3.283185),data_time: 0.002556(3.226567),train_time: 0.030980(0.056618)
 29 th batch,total_time: 0.030986(3.174778),data_time: 0.001951(3.119080),train_time: 0.029036(0.055698)
 30 th batch,total_time: 0.033872(3.073459),data_time: 0.002727(3.018552),train_time: 0.031145(0.054906)
 31 th batch,total_time: 0.034367(2.978487),data_time: 0.001884(2.924281),train_time: 0.032483(0.054206)
 32 th batch,total_time: 0.033180(2.889235),data_time: 0.002508(2.835743),train_time: 0.030671(0.053493)
 33 th batch,total_time: 0.036692(2.805337),data_time: 0.003852(2.752452),train_time: 0.032840(0.052885)
 34 th batch,total_time: 0.033907(2.726153),data_time: 0.004624(2.673942),train_time: 0.029283(0.052211)
 35 th batch,total_time: 0.039376(2.651520),data_time: 0.003626(2.599767),train_time: 0.035750(0.051753)
 36 th batch,total_time: 0.032825(2.580745),data_time: 0.002911(2.529582),train_time: 0.029914(0.051163)
 37 th batch,total_time: 0.033440(2.513711),data_time: 0.002878(2.463089),train_time: 0.030562(0.050621)
 38 th batch,total_time: 0.031668(2.450068),data_time: 0.003015(2.400011),train_time: 0.028653(0.050058)
 39 th batch,total_time: 0.031617(2.389607),data_time: 0.003974(2.340110),train_time: 0.027643(0.049497)
 40 th batch,total_time: 0.035860(2.332199),data_time: 0.004523(2.283144),train_time: 0.031337(0.049055)
 41 th batch,total_time: 0.035343(2.277512),data_time: 0.004256(2.228885),train_time: 0.031087(0.048627)
 42 th batch,total_time: 0.034124(2.225340),data_time: 0.002057(2.177098),train_time: 0.032068(0.048242)
 43 th batch,total_time: 0.031212(2.175473),data_time: 0.001802(2.127660),train_time: 0.029410(0.047814)
 44 th batch,total_time: 0.033120(2.127865),data_time: 0.005410(2.080499),train_time: 0.027710(0.047367)
 45 th batch,total_time: 0.033231(2.082330),data_time: 0.003542(2.035347),train_time: 0.029688(0.046983)
 46 th batch,total_time: 0.036367(2.038799),data_time: 0.003237(1.992111),train_time: 0.033130(0.046688)
 47 th batch,total_time: 0.031472(1.996979),data_time: 0.003400(1.950679),train_time: 0.028072(0.046300)
 48 th batch,total_time: 0.032424(1.956887),data_time: 0.003838(1.910948),train_time: 0.028586(0.045938)
 49 th batch,total_time: 0.033202(1.918413),data_time: 0.003452(1.872798),train_time: 0.029750(0.045615)
 50 th batch,total_time: 0.033535(1.881454),data_time: 0.003545(1.836146),train_time: 0.029991(0.045308)
