Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 4
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 4
@@ 非dummy数据集加载
 0 th batch,total_time: 13.974682(13.974682),data_time: 13.257389(13.257389),train_time: 0.717293(0.717293)
 1 th batch,total_time: 0.127136(7.050909),data_time: 0.006148(6.631768),train_time: 0.120989(0.419141)
 2 th batch,total_time: 0.055994(4.719271),data_time: 0.006123(4.423220),train_time: 0.049871(0.296051)
 3 th batch,total_time: 0.123743(3.570389),data_time: 0.074111(3.335943),train_time: 0.049632(0.234446)
 4 th batch,total_time: 0.143926(2.885096),data_time: 0.091750(2.687104),train_time: 0.052176(0.197992)
 5 th batch,total_time: 0.719737(2.524203),data_time: 0.667688(2.350535),train_time: 0.052049(0.173668)
 6 th batch,total_time: 0.139922(2.183591),data_time: 0.088322(2.027362),train_time: 0.051600(0.156230)
 7 th batch,total_time: 0.129344(1.926811),data_time: 0.078700(1.783779),train_time: 0.050644(0.143032)
 8 th batch,total_time: 0.124013(1.726500),data_time: 0.073198(1.593714),train_time: 0.050815(0.132785)
 9 th batch,total_time: 0.622405(1.616090),data_time: 0.569366(1.491279),train_time: 0.053040(0.124811)
 10 th batch,total_time: 0.124141(1.480459),data_time: 0.073147(1.362358),train_time: 0.050995(0.118100)
 11 th batch,total_time: 0.124376(1.367452),data_time: 0.074176(1.255010),train_time: 0.050200(0.112442)
 12 th batch,total_time: 0.184368(1.276445),data_time: 0.131397(1.168578),train_time: 0.052971(0.107867)
 13 th batch,total_time: 0.645520(1.231379),data_time: 0.592006(1.127394),train_time: 0.053514(0.103985)
 14 th batch,total_time: 0.126063(1.157691),data_time: 0.075878(1.057293),train_time: 0.050184(0.100398)
 15 th batch,total_time: 0.124095(1.093092),data_time: 0.074106(0.995844),train_time: 0.049989(0.097248)
 16 th batch,total_time: 0.273851(1.044901),data_time: 0.223594(0.950418),train_time: 0.050257(0.094483)
 17 th batch,total_time: 0.513051(1.015354),data_time: 0.459106(0.923122),train_time: 0.053945(0.092231)
 18 th batch,total_time: 0.124033(0.968442),data_time: 0.072803(0.878369),train_time: 0.051231(0.090073)
 19 th batch,total_time: 0.122672(0.926154),data_time: 0.072757(0.838088),train_time: 0.049916(0.088066)
 20 th batch,total_time: 0.352037(0.898815),data_time: 0.301679(0.812545),train_time: 0.050359(0.086270)
 21 th batch,total_time: 0.459712(0.878856),data_time: 0.406770(0.794101),train_time: 0.052942(0.084755)
 22 th batch,total_time: 0.123992(0.846035),data_time: 0.072796(0.762739),train_time: 0.051197(0.083296)
 23 th batch,total_time: 0.122324(0.815881),data_time: 0.072736(0.733989),train_time: 0.049588(0.081891)
