model,batchsize,blocknum,threadnum,iteration,total_avg,total_avg_filter,total_fluctuation(%),data_avg,data_avg_filter,data_fluctuation(%),train_avg,train_avg_filter,train_fluctuation(%)
resnet18,128,1,128,2001,0.0581066,0.0579641,0.245775,0.00756257,0.00756635,-0.049975,0.0505603,0.0504173,0.283681
resnet18,16,1,16,2001,0.0167958,0.0166371,0.954003,0.00196742,0.0019684,-0.049975,0.0148477,0.01469,1.07345
resnet18,256,1,256,2001,0.122071,0.121843,0.187595,0.0142881,0.0142952,-0.049975,0.107798,0.107605,0.178625
resnet18,32,1,32,2001,0.022774,0.0226226,0.669531,0.00237849,0.00237968,-0.049975,0.0204141,0.0202638,0.74138
resnet18,64,1,64,2001,0.0317439,0.031588,0.493764,0.00399427,0.00399626,-0.049975,0.0277695,0.0276147,0.560639
