model\bs,16,32,64,128,256
mobilenet_v2,70.58,85.20,91.70,93.77,94.48
shufflenet_v2_x1_0,68.24,83.53,92.24,96.16,97.48
resnet18,84.53,91.87,94.49,95.94,96.55
resnet50,66.36,76.35,82.16,85.00,86.38
