model\bs,16,32,64,128,256
mobilenet_v2,3.22,4.98,6.44,8.27,9.17
shufflenet_v2_x1_0,2.69,4.74,36.25,66.65,75.69
resnet18,5.67,14.45,26.34,35.79,45.54
resnet50,2.47,3.09,3.75,4.24,4.51
