batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,training_time,data_todevice_time
256,0,1,0,104.64767718315125,100.20383048057556,4.443846702575684,1.3476572036743164
256,0,1,1,85.76395511627197,81.9216685295105,3.8422865867614746,1.3452284336090088
256,0,1,2,84.5169324874878,80.67865824699402,3.8382742404937744,1.3578481674194336
256,0,1,3,82.84783458709717,79.00729656219482,3.8405380249023438,1.347839117050171
256,0,1,4,82.642329454422,78.80087971687317,3.841449737548828,1.3624045848846436
256,0,1,5,83.64676022529602,79.80562400817871,3.8411362171173096,1.3426480293273926
256,0,1,6,84.35134863853455,80.5126588344574,3.8386898040771484,1.3335702419281006
256,0,1,7,85.17100882530212,81.33210897445679,3.838899850845337,1.4211280345916748
256,0,1,8,85.97369313240051,82.13182377815247,3.841869354248047,1.4736049175262451
256,0,1,9,85.45208740234375,81.61179876327515,3.8402886390686035,1.4435105323791504
256,0,1,10,85.39563369750977,81.55612564086914,3.839508056640625,1.3815171718597412
