ThreadNum,OUR,GDS,POSIX
1,8905.006719,1623.117005,3034.97
2,14616.63824,3256.06441,3771.64
4,18109.83916,6573.968589,12219.57
8,18041.51014,12933.03153,12626.39
16,33989.87093,23754.49313,15238.1
32,43379.52475,30373.55049,14442.88
64,49429.66231,24083.05277,15657.49
128,56129.17089,14121.84292,15538.69
256,58636.22292,8989.034268,14862.12
512,62157.94088,,15238.1
1024,63717.00094,,1447.96
