batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,training_time,data_todevice_time
16,1,5,0,7.294252634048462,5.639615535736084,1.654637098312378,0.045119285583496094
16,1,6,0,7.039621829986572,5.409154891967773,1.6304669380187988,0.04507279396057129
16,1,7,0,7.132301568984985,5.482008695602417,1.6502928733825684,0.0449979305267334
16,1,8,0,7.075556993484497,5.479444742202759,1.5961122512817383,0.04539084434509277
16,2,5,0,3.781461715698242,2.098900318145752,1.6825613975524902,0.04436302185058594
16,2,6,0,3.653024911880493,2.0134599208831787,1.6395649909973145,0.04403257369995117
16,2,7,0,3.7074646949768066,2.0826900005340576,1.624774694442749,0.04393649101257324
16,2,8,0,3.5873613357543945,1.9069905281066895,1.680370807647705,0.04395151138305664
16,4,5,0,2.2284834384918213,0.5186102390289307,1.7098731994628906,0.04583287239074707
16,4,6,0,2.1925554275512695,0.4549582004547119,1.7375972270965576,0.042763471603393555
16,4,7,0,2.2571041584014893,0.4739041328430176,1.7832000255584717,0.04317903518676758
16,4,8,0,2.3745107650756836,0.49008989334106445,1.8844208717346191,0.043723344802856445
16,8,5,0,2.5126922130584717,0.6166403293609619,1.8960518836975098,0.04395341873168945
16,8,6,0,2.6091206073760986,0.5639433860778809,2.0451772212982178,0.04326939582824707
16,8,7,0,2.6226625442504883,0.48378419876098633,2.138878345489502,0.04364943504333496
16,8,8,0,2.776522159576416,0.619659423828125,2.156862735748291,0.04335188865661621
16,16,5,0,2.9999101161956787,0.6670725345611572,2.3328375816345215,0.04375123977661133
16,16,6,0,3.065009832382202,0.7275252342224121,2.33748459815979,0.04333853721618652
16,16,7,0,3.400794267654419,0.6116509437561035,2.7891433238983154,0.044495344161987305
16,16,8,0,3.46012806892395,0.706317663192749,2.753810405731201,0.04410982131958008
16,32,5,0,3.909874439239502,0.9362647533416748,2.973609685897827,0.04389667510986328
16,32,6,0,4.075154781341553,0.9782986640930176,3.096856117248535,0.045040130615234375
16,32,7,0,4.026995420455933,0.8435349464416504,3.1834604740142822,0.04484224319458008
16,32,8,0,3.9794633388519287,0.9638190269470215,3.0156443119049072,0.044405221939086914
32,1,5,0,13.112122297286987,11.437204360961914,1.6749179363250732,0.08395981788635254
32,1,6,0,12.992175817489624,11.36577582359314,1.6263999938964844,0.08347892761230469
32,1,7,0,13.994821071624756,12.336079597473145,1.6587414741516113,0.08324527740478516
32,1,8,0,12.912579536437988,11.272922277450562,1.6396572589874268,0.08413052558898926
32,2,5,0,6.335600137710571,4.647151947021484,1.688448190689087,0.08276581764221191
32,2,6,0,6.482541799545288,4.787353515625,1.695188283920288,0.08159136772155762
32,2,7,0,6.551294326782227,4.889915943145752,1.6613783836364746,0.0827784538269043
32,2,8,0,6.583234786987305,4.843233585357666,1.7400012016296387,0.0824131965637207
32,4,5,0,3.120558738708496,1.295121192932129,1.8254375457763672,0.0810384750366211
32,4,6,0,3.1305084228515625,1.370682954788208,1.7598254680633545,0.08013916015625
32,4,7,0,3.0712392330169678,1.2065794467926025,1.8646597862243652,0.08101606369018555
32,4,8,0,3.0194883346557617,1.2224159240722656,1.797072410583496,0.08017730712890625
32,8,5,0,3.0906319618225098,0.6632778644561768,2.427354097366333,0.0801551342010498
32,8,6,0,3.145284414291382,0.7045278549194336,2.4407565593719482,0.08003878593444824
32,8,7,0,3.388190507888794,0.7210848331451416,2.6671056747436523,0.08007645606994629
32,8,8,0,3.2867343425750732,0.8043413162231445,2.4823930263519287,0.08044743537902832
32,16,5,0,3.6039650440216064,0.8042364120483398,2.7997286319732666,0.080902099609375
32,16,6,0,3.8009557723999023,1.0386550426483154,2.762300729751587,0.08153152465820312
32,16,7,0,4.010832786560059,1.1135239601135254,2.897308826446533,0.08101940155029297
32,16,8,0,4.0605621337890625,0.973562479019165,3.0869996547698975,0.0824737548828125
32,32,5,0,4.566376686096191,1.1367137432098389,3.4296629428863525,0.08265495300292969
32,32,6,0,4.593081712722778,1.1314527988433838,3.4616289138793945,0.08272409439086914
