IOSize (KB),Threads,Throughput (GiB/sec),IOPS
4,1,0.00782,2049.96608
4,2,0.014966,3923.247104
4,4,0.027799,7287.341056
4,8,0.060795,15937.04448
4,16,0.101695,26658.73408
4,32,0.104834,27481.604096
4,64,0.092563,24264.835072
4,128,0.08094,21217.93536
4,256,0.043512,11406.409728
