IOSize (KB),Threads,Throughput (GiB/sec),IOPS
32,1,0.061404,2012.086272
64,1,0.124598,2041.413632
128,1,0.235798,1931.657216
256,1,0.39612,1622.50752
512,1,0.541117,1108.207616
1024,1,0.567067,580.676608
2048,1,0.651317,333.474304
4096,1,0.589013,150.787328
8192,1,0.579501,74.176128
16384,1,1.072432,68.635648
32768,1,1.955229,62.567328
65536,1,2.053076,32.849216
0.5,1,0.000938,1967.128576
1,1,0.001742,1826.619392
2,1,0.003568,1870.659584
4,1,0.008271,2168.193024
8,1,0.016281,2133.983232
16,1,0.033939,2224.226304
0.5,1,0.001045,2191.52384
0.5,1,0.000232,486.539264
