batch_size,worker_num,prefetch_factor,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
256,8,1,0.2895648717880249,0.011921405792236328,3.5981667041778564,0.01200711727142334,3.2536777758598303,0.10643649101257324,0.07464385032653809,0.5556726455688477,0.07542264461517334,0.49110708951950033,0.011918485164642334,0.011834144592285156,0.012614011764526367,0.011849522590637207,0.012513401508331298
256,8,1,0.31065940856933594,0.011952877044677734,3.587831497192383,0.012080192565917969,3.3027505469322187,0.10373954772949219,0.06949591636657715,0.5492727756500244,0.07535243034362793,0.4859308505058284,0.01193084716796875,0.011850357055664062,0.012790203094482422,0.011875510215759277,0.012641711235046385
256,8,1,0.2974714255332947,0.01191091537475586,3.766092538833618,0.012157917022705078,2.727349383831024,0.08149470090866089,0.07500314712524414,0.6801676750183105,0.07589185237884521,0.16381780862808032,0.01201112151145935,0.011831045150756836,0.02381420135498047,0.011886835098266602,0.012909119129180892
256,8,1,0.311386251449585,0.011911153793334961,3.906230926513672,0.012118101119995117,2.7829740118980384,0.07963188409805298,0.07468891143798828,0.49993228912353516,0.07635712623596191,0.08524765253066896,0.01191572904586792,0.011829853057861328,0.01274418830871582,0.011882305145263672,0.01226858377456665
//接下来，进入测试2：原生beegfs的测试
32,0,1,0.20778303749767352,0.17144179344177246,0.26793742179870605,0.2077254056930542,0.23823881387710572,0.028952894387421785,0.022653818130493164,0.5460262298583984,0.027267098426818848,0.036299977302551266,0.005484559653717794,0.0037581920623779297,0.014096975326538086,0.00538945198059082,0.009093761444091788
64,0,1,0.48211392760276794,0.4101674556732178,0.5564568042755127,0.4813021421432495,0.5295549535751343,0.0390990674495697,0.030032634735107422,0.5480072498321533,0.035845160484313965,0.04993106842041006,0.008616559207439423,0.007642269134521484,0.01909947395324707,0.008574604988098145,0.01114378452301025
16,0,1,0.10749105354885996,0.0798029899597168,0.14826440811157227,0.10760974884033203,0.12355518579483032,0.03021685061631379,0.01825237274169922,0.5399718284606934,0.029380202293395996,0.0356380558013916,0.0029470821221669516,0.0019698143005371094,0.005219221115112305,0.0029603242874145508,0.003599715232849121
512,0,1,3.29844491481781,2.941845417022705,3.9790730476379395,3.2349036931991577,3.974886736869812,0.19571094512939452,0.14441490173339844,0.8549559116363525,0.14577627182006836,0.7743554544448847,0.06024490594863892,0.058240652084350586,0.0680854320526123,0.058926939964294434,0.06806858062744141
//0714 测试
256,8,1,0.25341218113899233,0.011985540390014648,3.5079188346862793,0.01207590103149414,2.9296865272521964,0.09171378016471862,0.07509279251098633,0.5750195980072021,0.0755012035369873,0.43495595932006814,0.011907362937927246,0.011853218078613281,0.01282501220703125,0.011865854263305664,0.012500686645507813
256,8,1,0.2343333661556244,0.01196742057800293,3.241405725479126,0.012099981307983398,2.7311324548721307,0.09080491065979004,0.07500815391540527,0.5359208583831787,0.07560384273529053,0.4117557740211485,0.011913681030273437,0.011858224868774414,0.012852668762207031,0.011872529983520508,0.012568418979644775
256,16,1,0.27615779638290405,0.011924505233764648,4.130706310272217,0.011977314949035645,3.3910836338996875,0.090559321641922,0.07469058036804199,0.542724609375,0.07502079010009766,0.4158106613159178,0.011890465021133423,0.011839151382446289,0.012811899185180664,0.011847853660583496,0.012534995079040528
256,16,1,0.22621147632598876,0.011928081512451172,3.8031246662139893,0.011968851089477539,2.138321690559396,0.08201153993606568,0.07439732551574707,0.6187126636505127,0.07483136653900146,0.22153334140777792,0.011881308555603027,0.011844396591186523,0.012802362442016602,0.011853814125061035,0.012095675468444828
256,8,1,3.80686417222023,2.3581244945526123,4.262036323547363,3.8496509790420532,4.22537284374237,0.12420344948768616,0.07539725303649902,1.4140748977661133,0.08588731288909912,0.9539350318908685,0.012211984395980835,0.012068748474121094,0.013138055801391602,0.012193679809570312,0.012829816341400147
256,8,1,3.6183855831623077,2.8048503398895264,3.9924075603485107,3.625919461250305,3.9843857097625732,0.10846224427223206,0.08260703086853027,0.7851903438568115,0.0877763032913208,0.5678504681587216,0.01214665174484253,0.012023687362670898,0.013404369354248047,0.01210010051727295,0.012987246513366699
16,8,1,0.2427003159199232,0.17531514167785645,0.6104552745819092,0.24308133125305176,0.30727246522903434,0.039014709216577036,0.024686574935913086,0.7346527576446533,0.03789949417114258,0.04539539813995361,0.001097053657343358,0.0008656978607177734,0.0029904842376708984,0.0010602474212646484,0.0016591811180114734
16,8,1,0.24281715390122968,0.1491687297821045,0.5540909767150879,0.24194836616516113,0.2963087511062622,0.03717753379433243,0.016221284866333008,0.8085534572601318,0.03692960739135742,0.04352161884307862,0.0010939803388383654,0.0008547306060791016,0.00714564323425293,0.0010440349578857422,0.0017434430122375512
16,8,1,0.0022960771749049058,0.0009114742279052734,0.41501355171203613,0.0011718273162841797,0.002729866504669194,0.034051665626926186,0.021467924118041992,0.7932934761047363,0.03354525566101074,0.040536293983459495,0.0008669834078094106,0.0007846355438232422,0.005270481109619141,0.0008504390716552734,0.0011618471145629905
