batch_size,worker_num,batchnum,prefetch_factor,data_time,training_time
16,16,2000,1,0.0017979948119125862,0.07181967680958258
32,16,2000,1,0.0019153298764512396,0.0722887998578073
128,16,2000,1,0.11520703812350874,0.07908091504594078
256,16,2000,1,0.27043084166515835,0.07659591382172988
512,16,2000,1,0.6192524050665402,0.09172423108704741
64,16,2000,1,0.026701779677711802,0.0738507064207383
