batch_size,worker_num,prefetch_factor,batch_idx,data_time,training_time
512,16,1,1,0.016450881958007812,1.2257487773895264
512,16,1,2,0.004669666290283203,0.18195581436157227
512,16,1,3,0.37773633003234863,0.09032177925109863
512,16,1,4,0.6029884815216064,0.09088969230651855
512,16,1,5,0.6153783798217773,0.08888030052185059
512,16,1,6,0.712949275970459,0.08933687210083008
512,16,1,7,0.5833892822265625,0.08975815773010254
512,16,1,8,0.6674561500549316,0.0885775089263916
512,16,1,9,0.6862258911132812,0.08856606483459473
512,16,1,10,0.6558287143707275,0.09001278877258301
512,16,1,11,0.6401402950286865,0.08981823921203613
512,16,1,12,0.6697006225585938,0.08778524398803711
512,16,1,13,0.6795487403869629,0.08696460723876953
512,16,1,14,0.6768021583557129,0.08917355537414551
512,16,1,15,0.5810348987579346,0.08787083625793457
512,16,1,16,0.6038777828216553,0.09046292304992676
512,16,1,17,0.619149923324585,0.09019088745117188
512,16,1,18,0.6372323036193848,0.08985424041748047
512,16,1,19,0.62388014793396,0.08995389938354492
512,16,1,20,0.6727006435394287,0.08847379684448242
512,16,1,21,0.7222375869750977,0.08909082412719727
512,16,1,22,0.6180393695831299,0.08867835998535156
512,16,1,23,0.6252906322479248,0.08958840370178223
512,16,1,24,0.6652519702911377,0.08965373039245605
512,16,1,25,0.6364517211914062,0.08971095085144043
512,16,1,26,0.5901978015899658,0.0884695053100586
512,16,1,27,0.639136791229248,0.08866739273071289
512,16,1,28,0.6126127243041992,0.08909964561462402
512,16,1,29,0.6433513164520264,0.09093952178955078
512,16,1,30,0.587510347366333,0.08855223655700684
512,16,1,31,0.564159631729126,0.08931636810302734
512,16,1,32,0.634136438369751,0.08896708488464355
512,16,1,33,0.6446042060852051,0.0889737606048584
512,16,1,34,0.6329247951507568,0.0930781364440918
512,16,1,35,0.603950023651123,0.08977556228637695
512,16,1,36,0.6529197692871094,0.09102582931518555
512,16,1,37,0.6468815803527832,0.09050130844116211
512,16,1,38,0.6186139583587646,0.09151744842529297
512,16,1,39,0.6597073078155518,0.09154605865478516
512,16,1,40,0.6346099376678467,0.0910942554473877
512,16,1,41,0.6932084560394287,0.09107708930969238
512,16,1,42,0.6114151477813721,0.08934521675109863
512,16,1,43,0.6746516227722168,0.09182095527648926
512,16,1,44,0.6956360340118408,0.09119176864624023
512,16,1,45,0.6874229907989502,0.08999848365783691
512,16,1,46,0.6327824592590332,0.09024620056152344
512,16,1,47,0.6448743343353271,0.08886456489562988
512,16,1,48,0.6696326732635498,0.08874297142028809
512,16,1,49,0.6193206310272217,0.08972287178039551
512,16,1,50,0.6559650897979736,0.0916893482208252
512,16,1,51,0.6398136615753174,0.08987641334533691
512,16,1,52,0.5932226181030273,0.0896461009979248
512,16,1,53,0.6433084011077881,0.08941030502319336
512,16,1,54,0.533240795135498,0.08951401710510254
512,16,1,55,0.621605396270752,0.08986806869506836
512,16,1,56,0.6065859794616699,0.09172940254211426
512,16,1,57,0.6323072910308838,0.08927154541015625
512,16,1,58,0.6582353115081787,0.08931446075439453
512,16,1,59,0.6425061225891113,0.0902092456817627
512,16,1,60,0.6498768329620361,0.08983254432678223
512,16,1,61,0.6361744403839111,0.0909416675567627
512,16,1,62,0.515702486038208,0.09010934829711914
512,16,1,63,0.6263666152954102,0.08929014205932617
512,16,1,64,0.7339456081390381,0.09251928329467773
512,16,1,65,0.6985962390899658,0.09007644653320312
512,16,1,66,0.6860611438751221,0.0907125473022461
512,16,1,67,0.6140885353088379,0.0897972583770752
512,16,1,68,0.6858594417572021,0.09068942070007324
512,16,1,69,0.6769394874572754,0.09086275100708008
512,16,1,70,0.7040379047393799,0.09190082550048828
512,16,1,71,0.6981370449066162,0.09172320365905762
512,16,1,72,0.7408261299133301,0.0914161205291748
512,16,1,73,0.7787139415740967,0.08949613571166992
512,16,1,74,0.482471227645874,0.09048223495483398
512,16,1,75,0.518836498260498,0.09117603302001953
512,16,1,76,0.6154727935791016,0.08835363388061523
512,16,1,77,0.6842498779296875,0.08939766883850098
512,16,1,78,0.6612823009490967,0.08919858932495117
