batch_size,worker_num,prefetch_factor,batch_idx,data_time,training_time
64,16,1,1,0.021203994750976562,1.157393217086792
64,16,1,2,0.0015256404876708984,0.0861053466796875
64,16,1,3,0.00209808349609375,0.06948256492614746
64,16,1,4,0.002559185028076172,0.07321333885192871
64,16,1,5,0.0025272369384765625,0.0723123550415039
64,16,1,6,0.003220796585083008,0.06963014602661133
64,16,1,7,0.0025014877319335938,0.07305073738098145
64,16,1,8,0.002499103546142578,0.07001328468322754
64,16,1,9,0.0028786659240722656,0.06921792030334473
64,16,1,10,0.0027887821197509766,0.07564258575439453
64,16,1,11,0.010905981063842773,0.07845139503479004
64,16,1,12,0.016141891479492188,0.07569074630737305
64,16,1,13,0.018236875534057617,0.07419228553771973
64,16,1,14,0.022837400436401367,0.07398414611816406
64,16,1,15,0.03241539001464844,0.07476544380187988
64,16,1,16,0.012363910675048828,0.0747225284576416
64,16,1,17,0.025779247283935547,0.07116842269897461
64,16,1,18,0.029690265655517578,0.07515072822570801
64,16,1,19,0.026850223541259766,0.07227277755737305
64,16,1,20,0.026026487350463867,0.07512259483337402
64,16,1,21,0.01691603660583496,0.07614326477050781
64,16,1,22,0.02490854263305664,0.07153654098510742
64,16,1,23,0.02568793296813965,0.07426667213439941
64,16,1,24,0.03082728385925293,0.07647490501403809
64,16,1,25,0.026826858520507812,0.07723212242126465
64,16,1,26,0.023989200592041016,0.07370233535766602
64,16,1,27,0.02213001251220703,0.07163023948669434
64,16,1,28,0.014803886413574219,0.0751192569732666
64,16,1,29,0.003972768783569336,0.07321739196777344
64,16,1,30,0.006498813629150391,0.07442641258239746
64,16,1,31,0.00785064697265625,0.07349419593811035
64,16,1,32,0.01951289176940918,0.0755150318145752
64,16,1,33,0.018113374710083008,0.07489705085754395
64,16,1,34,0.005304813385009766,0.07282257080078125
64,16,1,35,0.007941722869873047,0.07079386711120605
64,16,1,36,0.011040687561035156,0.07363581657409668
64,16,1,37,0.008597612380981445,0.07417464256286621
64,16,1,38,0.016947269439697266,0.0733640193939209
64,16,1,39,0.013991355895996094,0.07698345184326172
64,16,1,40,0.010137081146240234,0.07813334465026855
64,16,1,41,0.03138089179992676,0.07517170906066895
64,16,1,42,0.015922069549560547,0.0766916275024414
64,16,1,43,0.020389318466186523,0.0760648250579834
64,16,1,44,0.0204315185546875,0.07436227798461914
64,16,1,45,0.011583089828491211,0.07354140281677246
64,16,1,46,0.023433208465576172,0.07486367225646973
64,16,1,47,0.027489900588989258,0.07672977447509766
