Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 4
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 4
@@ 非dummy数据集加载
 0 th batch,total_time: 12.843994(12.843994),data_time: 12.327476(12.327476),train_time: 0.516517(0.516517)
 1 th batch,total_time: 0.083547(6.463770),data_time: 0.014520(6.170998),train_time: 0.069027(0.292772)
 2 th batch,total_time: 0.048560(4.325367),data_time: 0.014684(4.118894),train_time: 0.033876(0.206473)
 3 th batch,total_time: 0.072333(3.262109),data_time: 0.037969(3.098662),train_time: 0.034364(0.163446)
 4 th batch,total_time: 0.071581(2.624003),data_time: 0.037781(2.486486),train_time: 0.033800(0.137517)
 5 th batch,total_time: 0.290299(2.235052),data_time: 0.254725(2.114526),train_time: 0.035575(0.120527)
 6 th batch,total_time: 0.084483(1.927828),data_time: 0.050079(1.819605),train_time: 0.034404(0.108223)
 7 th batch,total_time: 0.072398(1.695900),data_time: 0.037957(1.596899),train_time: 0.034442(0.099001)
 8 th batch,total_time: 0.072509(1.515523),data_time: 0.037911(1.423678),train_time: 0.034598(0.091845)
 9 th batch,total_time: 0.271030(1.391074),data_time: 0.234318(1.304742),train_time: 0.036712(0.086332)
 10 th batch,total_time: 0.070178(1.270992),data_time: 0.035671(1.189372),train_time: 0.034507(0.081620)
 11 th batch,total_time: 0.094852(1.172980),data_time: 0.060740(1.095319),train_time: 0.034112(0.077661)
 12 th batch,total_time: 0.104171(1.090764),data_time: 0.068980(1.016370),train_time: 0.035191(0.074394)
 13 th batch,total_time: 0.223576(1.028822),data_time: 0.188844(0.957261),train_time: 0.034732(0.071561)
 14 th batch,total_time: 0.099849(0.966891),data_time: 0.064681(0.897756),train_time: 0.035168(0.069135)
 15 th batch,total_time: 0.082269(0.911602),data_time: 0.048124(0.844654),train_time: 0.034145(0.066948)
 16 th batch,total_time: 0.099135(0.863810),data_time: 0.064676(0.798773),train_time: 0.034460(0.065037)
