Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
 0 th batch,total_time: 28.373654(28.373654),data_time: 27.554206(27.554206),train_time: 0.819448(0.819448)
 1 th batch,total_time: 0.525299(14.449476),data_time: 0.087103(13.820654),train_time: 0.438196(0.628822)
 2 th batch,total_time: 0.242939(9.713964),data_time: 0.094894(9.245401),train_time: 0.148045(0.468563)
 3 th batch,total_time: 0.484995(7.406722),data_time: 0.337401(7.018401),train_time: 0.147594(0.388321)
 4 th batch,total_time: 0.473992(6.020176),data_time: 0.338866(5.682494),train_time: 0.135125(0.337682)
 5 th batch,total_time: 0.490332(5.098535),data_time: 0.354651(4.794520),train_time: 0.135680(0.304015)
 6 th batch,total_time: 0.506024(4.442462),data_time: 0.358201(4.160760),train_time: 0.147824(0.281702)
 7 th batch,total_time: 0.487513(3.948093),data_time: 0.338660(3.682998),train_time: 0.148853(0.265096)
 8 th batch,total_time: 0.480651(3.562822),data_time: 0.336207(3.311132),train_time: 0.144444(0.251690)
 9 th batch,total_time: 0.496473(3.256187),data_time: 0.350676(3.015087),train_time: 0.145797(0.241101)
 10 th batch,total_time: 0.498808(3.005516),data_time: 0.353323(2.773108),train_time: 0.145485(0.232408)
 11 th batch,total_time: 0.493129(2.796151),data_time: 0.348067(2.571021),train_time: 0.145062(0.225130)
 12 th batch,total_time: 0.489411(2.618709),data_time: 0.344445(2.399746),train_time: 0.144966(0.218963)
 13 th batch,total_time: 0.496318(2.467110),data_time: 0.351652(2.253454),train_time: 0.144666(0.213656)
 14 th batch,total_time: 0.488434(2.335198),data_time: 0.343813(2.126144),train_time: 0.144621(0.209054)
 15 th batch,total_time: 0.502418(2.220649),data_time: 0.357770(2.015621),train_time: 0.144649(0.205028)
 16 th batch,total_time: 0.484085(2.118499),data_time: 0.339638(1.917034),train_time: 0.144447(0.201465)
 17 th batch,total_time: 0.490455(2.028052),data_time: 0.346257(1.829768),train_time: 0.144198(0.198283)
 18 th batch,total_time: 0.500078(1.947632),data_time: 0.355962(1.752200),train_time: 0.144116(0.195432)
 19 th batch,total_time: 0.501142(1.875308),data_time: 0.355590(1.682369),train_time: 0.145552(0.192938)
 20 th batch,total_time: 0.490905(1.809384),data_time: 0.346689(1.618765),train_time: 0.144216(0.190618)
 21 th batch,total_time: 0.489456(1.749387),data_time: 0.343338(1.560791),train_time: 0.146118(0.188596)
 22 th batch,total_time: 0.487777(1.694534),data_time: 0.342140(1.507806),train_time: 0.145638(0.186728)
 23 th batch,total_time: 0.497706(1.644666),data_time: 0.351203(1.459615),train_time: 0.146502(0.185052)
 24 th batch,total_time: 0.497404(1.598776),data_time: 0.352634(1.415335),train_time: 0.144769(0.183441)
 25 th batch,total_time: 0.488952(1.556090),data_time: 0.345105(1.374173),train_time: 0.143847(0.181918)
 26 th batch,total_time: 0.498633(1.516925),data_time: 0.353698(1.336377),train_time: 0.144936(0.180548)
 27 th batch,total_time: 0.503708(1.480739),data_time: 0.358647(1.301458),train_time: 0.145061(0.179281)
 28 th batch,total_time: 0.496267(1.446792),data_time: 0.351898(1.268715),train_time: 0.144369(0.178077)
 29 th batch,total_time: 0.484828(1.414726),data_time: 0.339700(1.237748),train_time: 0.145128(0.176978)
 30 th batch,total_time: 0.491583(1.384947),data_time: 0.341522(1.208837),train_time: 0.150062(0.176110)
 31 th batch,total_time: 0.492644(1.357063),data_time: 0.346124(1.181877),train_time: 0.146520(0.175185)
 32 th batch,total_time: 0.501821(1.331146),data_time: 0.354129(1.156794),train_time: 0.147692(0.174352)
 33 th batch,total_time: 0.490427(1.306419),data_time: 0.345084(1.132920),train_time: 0.145343(0.173499)
 34 th batch,total_time: 0.498039(1.283323),data_time: 0.353262(1.110644),train_time: 0.144777(0.172678)
 35 th batch,total_time: 0.494623(1.261415),data_time: 0.349488(1.089501),train_time: 0.145135(0.171913)
 36 th batch,total_time: 0.500980(1.240862),data_time: 0.351676(1.069560),train_time: 0.149304(0.171302)
 37 th batch,total_time: 0.474674(1.220699),data_time: 0.336722(1.050275),train_time: 0.137952(0.170425)
 38 th batch,total_time: 0.494298(1.202074),data_time: 0.349957(1.032318),train_time: 0.144340(0.169756)
 39 th batch,total_time: 0.507549(1.184711),data_time: 0.362136(1.015563),train_time: 0.145413(0.169147)
 40 th batch,total_time: 0.498452(1.167973),data_time: 0.353279(0.999410),train_time: 0.145173(0.168562)
 41 th batch,total_time: 0.495670(1.151965),data_time: 0.348844(0.983920),train_time: 0.146826(0.168045)
 42 th batch,total_time: 0.500440(1.136814),data_time: 0.355533(0.969307),train_time: 0.144907(0.167507)
 43 th batch,total_time: 0.501578(1.122376),data_time: 0.354770(0.955340),train_time: 0.146808(0.167036)
 44 th batch,total_time: 0.500509(1.108557),data_time: 0.352466(0.941943),train_time: 0.148044(0.166614)
 45 th batch,total_time: 0.474508(1.094773),data_time: 0.337304(0.928798),train_time: 0.137204(0.165975)
 46 th batch,total_time: 0.496500(1.082044),data_time: 0.351647(0.916519),train_time: 0.144852(0.165526)
 47 th batch,total_time: 0.495646(1.069828),data_time: 0.350453(0.904726),train_time: 0.145193(0.165102)
 48 th batch,total_time: 0.498912(1.058176),data_time: 0.354397(0.893494),train_time: 0.144515(0.164682)
 49 th batch,total_time: 0.495434(1.046921),data_time: 0.349187(0.882608),train_time: 0.146247(0.164313)
 50 th batch,total_time: 0.492083(1.036042),data_time: 0.348256(0.872131),train_time: 0.143827(0.163911)
