Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
 0 th batch,total_time: 24.212029(24.212029),data_time: 23.805421(23.805421),train_time: 0.406608(0.406608)
 1 th batch,total_time: 0.032096(12.122063),data_time: 0.003127(11.904274),train_time: 0.028969(0.217788)
 2 th batch,total_time: 0.028414(8.090847),data_time: 0.006990(7.938513),train_time: 0.021425(0.152334)
 3 th batch,total_time: 0.028648(6.075297),data_time: 0.006152(5.955423),train_time: 0.022496(0.119874)
 4 th batch,total_time: 0.030225(4.866283),data_time: 0.005835(4.765505),train_time: 0.024390(0.100778)
 5 th batch,total_time: 0.031880(4.060549),data_time: 0.005557(3.972180),train_time: 0.026323(0.088368)
 6 th batch,total_time: 0.036432(3.485675),data_time: 0.006829(3.405702),train_time: 0.029603(0.079973)
 7 th batch,total_time: 0.036170(3.054487),data_time: 0.007716(2.980953),train_time: 0.028455(0.073534)
 8 th batch,total_time: 0.036708(2.719178),data_time: 0.008330(2.650662),train_time: 0.028378(0.068516)
 9 th batch,total_time: 0.040893(2.451350),data_time: 0.012103(2.386806),train_time: 0.028790(0.064544)
 10 th batch,total_time: 0.041291(2.232253),data_time: 0.010701(2.170796),train_time: 0.030590(0.061457)
 11 th batch,total_time: 0.035169(2.049163),data_time: 0.009137(1.990658),train_time: 0.026032(0.058505)
 12 th batch,total_time: 0.032150(1.894008),data_time: 0.008385(1.838176),train_time: 0.023764(0.055832)
 13 th batch,total_time: 0.032629(1.761052),data_time: 0.007351(1.707402),train_time: 0.025278(0.053650)
 14 th batch,total_time: 0.034318(1.645937),data_time: 0.008298(1.594129),train_time: 0.026020(0.051808)
 15 th batch,total_time: 0.030624(1.544980),data_time: 0.006632(1.494910),train_time: 0.023992(0.050070)
 16 th batch,total_time: 0.035508(1.456187),data_time: 0.009435(1.407529),train_time: 0.026073(0.048658)
 17 th batch,total_time: 0.031652(1.377047),data_time: 0.007321(1.329740),train_time: 0.024331(0.047306)
 18 th batch,total_time: 0.032629(1.306288),data_time: 0.007562(1.260152),train_time: 0.025067(0.046136)
 19 th batch,total_time: 0.033015(1.242624),data_time: 0.011024(1.197695),train_time: 0.021991(0.044929)
 20 th batch,total_time: 0.028711(1.184819),data_time: 0.005728(1.140935),train_time: 0.022983(0.043884)
 21 th batch,total_time: 0.031212(1.132382),data_time: 0.007002(1.089393),train_time: 0.024210(0.042989)
 22 th batch,total_time: 0.032985(1.084582),data_time: 0.008893(1.042414),train_time: 0.024093(0.042168)
 23 th batch,total_time: 0.033620(1.040792),data_time: 0.009335(0.999369),train_time: 0.024285(0.041423)
 24 th batch,total_time: 0.032703(1.000468),data_time: 0.008379(0.959730),train_time: 0.024323(0.040739)
 25 th batch,total_time: 0.030383(0.963157),data_time: 0.007312(0.923098),train_time: 0.023071(0.040059)
 26 th batch,total_time: 0.031208(0.928641),data_time: 0.008129(0.889211),train_time: 0.023079(0.039430)
 27 th batch,total_time: 0.031467(0.896599),data_time: 0.007229(0.857711),train_time: 0.024239(0.038888)
 28 th batch,total_time: 0.034917(0.866886),data_time: 0.008914(0.828442),train_time: 0.026004(0.038443)
 29 th batch,total_time: 0.031114(0.839027),data_time: 0.007809(0.801088),train_time: 0.023305(0.037939)
 30 th batch,total_time: 0.030139(0.812934),data_time: 0.007531(0.775489),train_time: 0.022608(0.037444)
 31 th batch,total_time: 0.030870(0.788494),data_time: 0.007450(0.751488),train_time: 0.023420(0.037006)
 32 th batch,total_time: 0.035049(0.765662),data_time: 0.008700(0.728979),train_time: 0.026349(0.036683)
 33 th batch,total_time: 0.033566(0.744130),data_time: 0.009103(0.707806),train_time: 0.024463(0.036324)
 34 th batch,total_time: 0.030381(0.723737),data_time: 0.007837(0.687807),train_time: 0.022544(0.035930)
 35 th batch,total_time: 0.029944(0.704465),data_time: 0.007164(0.668901),train_time: 0.022780(0.035565)
