Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 2.913713(2.913713),data_time: 2.264462(2.264462),train_time: 0.649250(0.649250)
 1 th batch,total_time: 2.426634(2.670173),data_time: 2.109893(2.187178),train_time: 0.316741(0.482995)
 2 th batch,total_time: 2.059723(2.466690),data_time: 1.911640(2.095332),train_time: 0.148082(0.371358)
 3 th batch,total_time: 2.074038(2.368527),data_time: 1.886740(2.043184),train_time: 0.187298(0.325343)
 4 th batch,total_time: 2.126815(2.320184),data_time: 2.007258(2.035999),train_time: 0.119557(0.284186)
 5 th batch,total_time: 2.051651(2.275429),data_time: 1.969143(2.024856),train_time: 0.082508(0.250573)
 6 th batch,total_time: 2.150837(2.257630),data_time: 2.068061(2.031028),train_time: 0.082776(0.226602)
 7 th batch,total_time: 2.111446(2.239357),data_time: 2.027555(2.030594),train_time: 0.083891(0.208763)
 8 th batch,total_time: 2.094325(2.223242),data_time: 2.011859(2.028512),train_time: 0.082467(0.194730)
 9 th batch,total_time: 2.004783(2.201396),data_time: 1.924613(2.018122),train_time: 0.080169(0.183274)
 10 th batch,total_time: 2.080067(2.190366),data_time: 1.962847(2.013097),train_time: 0.117219(0.177269)
 11 th batch,total_time: 2.068835(2.180239),data_time: 1.985853(2.010827),train_time: 0.082982(0.169412)
 12 th batch,total_time: 2.039349(2.169401),data_time: 1.943199(2.005625),train_time: 0.096150(0.163776)
 13 th batch,total_time: 2.099600(2.164415),data_time: 1.995243(2.004883),train_time: 0.104357(0.159532)
 14 th batch,total_time: 2.064767(2.157772),data_time: 1.967585(2.002397),train_time: 0.097182(0.155375)
 15 th batch,total_time: 2.000818(2.147962),data_time: 1.880747(1.994794),train_time: 0.120071(0.153169)
 16 th batch,total_time: 1.977234(2.137920),data_time: 1.890183(1.988640),train_time: 0.087051(0.149280)
 17 th batch,total_time: 2.023374(2.131556),data_time: 1.889870(1.983153),train_time: 0.133504(0.148403)
 18 th batch,total_time: 2.039792(2.126726),data_time: 1.907708(1.979182),train_time: 0.132084(0.147544)
 19 th batch,total_time: 2.083142(2.124547),data_time: 1.933400(1.976893),train_time: 0.149741(0.147654)
 20 th batch,total_time: 2.074818(2.122179),data_time: 1.927399(1.974536),train_time: 0.147418(0.147643)
 21 th batch,total_time: 2.026074(2.117811),data_time: 1.938351(1.972891),train_time: 0.087723(0.144919)
 22 th batch,total_time: 2.092319(2.116702),data_time: 2.010302(1.974518),train_time: 0.082017(0.142184)
 23 th batch,total_time: 2.101228(2.116057),data_time: 1.995265(1.975382),train_time: 0.105962(0.140675)
 24 th batch,total_time: 2.096078(2.115258),data_time: 2.012777(1.976878),train_time: 0.083301(0.138380)
 25 th batch,total_time: 2.161293(2.117029),data_time: 2.000186(1.977775),train_time: 0.161107(0.139254)
 26 th batch,total_time: 2.159530(2.118603),data_time: 1.982759(1.977959),train_time: 0.176772(0.140644)
 27 th batch,total_time: 2.113891(2.118435),data_time: 1.989711(1.978379),train_time: 0.124180(0.140056)
 28 th batch,total_time: 2.178056(2.120491),data_time: 2.054327(1.980998),train_time: 0.123729(0.139493)
 29 th batch,total_time: 2.121974(2.120540),data_time: 2.007943(1.981896),train_time: 0.114032(0.138644)
 30 th batch,total_time: 2.004685(2.116803),data_time: 1.853066(1.977740),train_time: 0.151619(0.139063)
 31 th batch,total_time: 2.005692(2.113331),data_time: 1.878969(1.974654),train_time: 0.126723(0.138677)
 32 th batch,total_time: 2.016691(2.110402),data_time: 1.913266(1.972793),train_time: 0.103425(0.137609)
 33 th batch,total_time: 2.105661(2.110263),data_time: 2.023787(1.974293),train_time: 0.081874(0.135970)
 34 th batch,total_time: 2.105677(2.110132),data_time: 2.002337(1.975094),train_time: 0.103340(0.135037)
 35 th batch,total_time: 2.146399(2.111139),data_time: 2.063435(1.977548),train_time: 0.082963(0.133591)
 36 th batch,total_time: 2.009223(2.108385),data_time: 1.926810(1.976177),train_time: 0.082412(0.132208)
 37 th batch,total_time: 2.106451(2.108334),data_time: 1.990488(1.976554),train_time: 0.115963(0.131780)
 38 th batch,total_time: 2.126812(2.108808),data_time: 1.987124(1.976825),train_time: 0.139688(0.131983)
 39 th batch,total_time: 2.157228(2.110018),data_time: 2.017479(1.977841),train_time: 0.139750(0.132177)
 40 th batch,total_time: 2.139733(2.110743),data_time: 2.029334(1.979097),train_time: 0.110399(0.131646)
 41 th batch,total_time: 2.145307(2.111566),data_time: 2.063413(1.981104),train_time: 0.081894(0.130461)
 42 th batch,total_time: 2.065322(2.110490),data_time: 1.982699(1.981142),train_time: 0.082623(0.129349)
 43 th batch,total_time: 2.154856(2.111499),data_time: 2.072695(1.983222),train_time: 0.082160(0.128276)
 44 th batch,total_time: 2.119922(2.111686),data_time: 2.037296(1.984424),train_time: 0.082626(0.127262)
 45 th batch,total_time: 2.080203(2.111001),data_time: 1.998469(1.984729),train_time: 0.081734(0.126272)
 46 th batch,total_time: 2.127655(2.111356),data_time: 2.045949(1.986032),train_time: 0.081706(0.125324)
 47 th batch,total_time: 2.082126(2.110747),data_time: 2.000162(1.986326),train_time: 0.081964(0.124421)
 48 th batch,total_time: 2.024586(2.108988),data_time: 1.942024(1.985422),train_time: 0.082562(0.123566)
 49 th batch,total_time: 2.146255(2.109734),data_time: 2.063922(1.986992),train_time: 0.082333(0.122742)
 50 th batch,total_time: 2.117978(2.109895),data_time: 2.034149(1.987917),train_time: 0.083829(0.121979)
 51 th batch,total_time: 2.126464(2.110214),data_time: 2.043888(1.988993),train_time: 0.082575(0.121221)
 52 th batch,total_time: 2.112639(2.110260),data_time: 2.029907(1.989765),train_time: 0.082732(0.120495)
 53 th batch,total_time: 2.113025(2.110311),data_time: 2.030852(1.990526),train_time: 0.082173(0.119785)
