Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 8
@@ 非dummy数据集加载
 0 th batch,total_time: 26.440094(26.440094),data_time: 25.478173(25.478173),train_time: 0.961921(0.961921)
 1 th batch,total_time: 0.311149(13.375622),data_time: 0.051891(12.765032),train_time: 0.259258(0.610590)
 2 th batch,total_time: 0.126233(8.959159),data_time: 0.044179(8.524748),train_time: 0.082054(0.434411)
 3 th batch,total_time: 0.256480(6.783489),data_time: 0.174069(6.437078),train_time: 0.082411(0.346411)
 4 th batch,total_time: 0.246826(5.476156),data_time: 0.164716(5.182606),train_time: 0.082110(0.293551)
 5 th batch,total_time: 0.251100(4.605314),data_time: 0.165770(4.346466),train_time: 0.085330(0.258847)
 6 th batch,total_time: 0.249210(3.983013),data_time: 0.164681(3.749068),train_time: 0.084529(0.233945)
 7 th batch,total_time: 0.250349(3.516430),data_time: 0.163802(3.300910),train_time: 0.086547(0.215520)
 8 th batch,total_time: 0.248716(3.153351),data_time: 0.163082(2.952263),train_time: 0.085634(0.201088)
 9 th batch,total_time: 0.283191(2.866335),data_time: 0.198378(2.676874),train_time: 0.084813(0.189461)
 10 th batch,total_time: 0.293613(2.632451),data_time: 0.208020(2.452433),train_time: 0.085593(0.180018)
 11 th batch,total_time: 0.365137(2.443508),data_time: 0.288679(2.272120),train_time: 0.076458(0.171388)
 12 th batch,total_time: 0.251460(2.274889),data_time: 0.169566(2.110385),train_time: 0.081894(0.164504)
 13 th batch,total_time: 0.256783(2.130739),data_time: 0.172997(1.972000),train_time: 0.083786(0.158739)
 14 th batch,total_time: 0.259994(2.006022),data_time: 0.175452(1.852230),train_time: 0.084542(0.153792)
 15 th batch,total_time: 0.248532(1.896179),data_time: 0.163947(1.746713),train_time: 0.084585(0.149467)
 16 th batch,total_time: 0.248409(1.799252),data_time: 0.162767(1.653539),train_time: 0.085641(0.145712)
 17 th batch,total_time: 0.245463(1.712930),data_time: 0.161947(1.570673),train_time: 0.083515(0.142257)
 18 th batch,total_time: 0.251589(1.636017),data_time: 0.165941(1.496740),train_time: 0.085648(0.139277)
 19 th batch,total_time: 0.257230(1.567078),data_time: 0.172761(1.430541),train_time: 0.084469(0.136537)
 20 th batch,total_time: 0.249185(1.504321),data_time: 0.164535(1.370255),train_time: 0.084650(0.134066)
 21 th batch,total_time: 0.254899(1.447529),data_time: 0.172699(1.315820),train_time: 0.082200(0.131709)
 22 th batch,total_time: 0.257975(1.395809),data_time: 0.176310(1.266277),train_time: 0.081665(0.129533)
 23 th batch,total_time: 0.250934(1.348106),data_time: 0.167958(1.220513),train_time: 0.082976(0.127593)
 24 th batch,total_time: 0.257813(1.304495),data_time: 0.172589(1.178596),train_time: 0.085224(0.125898)
 25 th batch,total_time: 0.249298(1.263910),data_time: 0.165569(1.139634),train_time: 0.083729(0.124276)
 26 th batch,total_time: 0.246771(1.226238),data_time: 0.164153(1.103505),train_time: 0.082618(0.122733)
 27 th batch,total_time: 0.247957(1.191300),data_time: 0.165862(1.070018),train_time: 0.082095(0.121282)
 28 th batch,total_time: 0.251986(1.158909),data_time: 0.169590(1.038968),train_time: 0.082396(0.119941)
 29 th batch,total_time: 0.249892(1.128609),data_time: 0.166034(1.009871),train_time: 0.083857(0.118738)
 30 th batch,total_time: 0.258619(1.100545),data_time: 0.176112(0.982975),train_time: 0.082506(0.117570)
 31 th batch,total_time: 0.253378(1.074071),data_time: 0.171237(0.957608),train_time: 0.082141(0.116462)
 32 th batch,total_time: 0.259122(1.049375),data_time: 0.176826(0.933948),train_time: 0.082295(0.115427)
 33 th batch,total_time: 0.256840(1.026065),data_time: 0.174243(0.911604),train_time: 0.082597(0.114461)
 34 th batch,total_time: 0.247404(1.003818),data_time: 0.165556(0.890288),train_time: 0.081847(0.113530)
 35 th batch,total_time: 0.250692(0.982898),data_time: 0.167533(0.870212),train_time: 0.083159(0.112686)
 36 th batch,total_time: 0.260519(0.963374),data_time: 0.177917(0.851501),train_time: 0.082602(0.111873)
 37 th batch,total_time: 0.251544(0.944642),data_time: 0.168512(0.833528),train_time: 0.083032(0.111114)
 38 th batch,total_time: 0.258897(0.927058),data_time: 0.176465(0.816680),train_time: 0.082433(0.110379)
 39 th batch,total_time: 0.248255(0.910088),data_time: 0.165499(0.800400),train_time: 0.082755(0.109688)
 40 th batch,total_time: 0.254167(0.894090),data_time: 0.171447(0.785060),train_time: 0.082720(0.109030)
 41 th batch,total_time: 0.252795(0.878821),data_time: 0.171043(0.770441),train_time: 0.081752(0.108381)
 42 th batch,total_time: 0.246988(0.864128),data_time: 0.164458(0.756348),train_time: 0.082530(0.107780)
 43 th batch,total_time: 0.253095(0.850240),data_time: 0.164794(0.742904),train_time: 0.088301(0.107337)
 44 th batch,total_time: 0.248844(0.836876),data_time: 0.165473(0.730072),train_time: 0.083371(0.106804)
 45 th batch,total_time: 0.248420(0.824084),data_time: 0.164315(0.717773),train_time: 0.084105(0.106311)
 46 th batch,total_time: 0.259033(0.812061),data_time: 0.175551(0.706236),train_time: 0.083483(0.105825)
 47 th batch,total_time: 0.255451(0.800465),data_time: 0.170680(0.695079),train_time: 0.084772(0.105387)
 48 th batch,total_time: 0.250695(0.789245),data_time: 0.167985(0.684322),train_time: 0.082711(0.104924)
 49 th batch,total_time: 0.253433(0.778529),data_time: 0.170805(0.674051),train_time: 0.082628(0.104478)
 50 th batch,total_time: 0.248369(0.768134),data_time: 0.166058(0.664091),train_time: 0.082311(0.104043)
 51 th batch,total_time: 0.251905(0.758206),data_time: 0.167260(0.654536),train_time: 0.084646(0.103670)
 52 th batch,total_time: 0.248999(0.748599),data_time: 0.166043(0.645319),train_time: 0.082956(0.103279)
 53 th batch,total_time: 0.250015(0.739366),data_time: 0.167136(0.636464),train_time: 0.082879(0.102902)
 54 th batch,total_time: 0.257868(0.730611),data_time: 0.175846(0.628089),train_time: 0.082022(0.102522)
 55 th batch,total_time: 0.254149(0.722103),data_time: 0.170449(0.619917),train_time: 0.083700(0.102186)
 56 th batch,total_time: 0.254237(0.713895),data_time: 0.170962(0.612041),train_time: 0.083275(0.101854)
 57 th batch,total_time: 0.253494(0.705957),data_time: 0.170793(0.604433),train_time: 0.082700(0.101524)
 58 th batch,total_time: 0.247249(0.698182),data_time: 0.163978(0.596968),train_time: 0.083272(0.101214)
 59 th batch,total_time: 0.247928(0.690678),data_time: 0.164827(0.589765),train_time: 0.083101(0.100913)
 60 th batch,total_time: 0.256498(0.683560),data_time: 0.173009(0.582933),train_time: 0.083488(0.100627)
 61 th batch,total_time: 0.246547(0.676512),data_time: 0.164144(0.576179),train_time: 0.082403(0.100333)
 62 th batch,total_time: 0.258251(0.669872),data_time: 0.176177(0.569829),train_time: 0.082074(0.100043)
 63 th batch,total_time: 0.254679(0.663385),data_time: 0.170829(0.563595),train_time: 0.083850(0.099790)
 64 th batch,total_time: 0.253277(0.657076),data_time: 0.171141(0.557557),train_time: 0.082136(0.099519)
 65 th batch,total_time: 0.253781(0.650965),data_time: 0.171190(0.551703),train_time: 0.082591(0.099262)
 66 th batch,total_time: 0.249248(0.644969),data_time: 0.164121(0.545918),train_time: 0.085127(0.099051)
 67 th batch,total_time: 0.250322(0.639166),data_time: 0.166601(0.540340),train_time: 0.083720(0.098826)
 68 th batch,total_time: 0.247245(0.633486),data_time: 0.165977(0.534915),train_time: 0.081267(0.098571)
