Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 0.905072(0.905072),data_time: 0.437246(0.437246),train_time: 0.467826(0.467826)
 1 th batch,total_time: 0.348996(0.627034),data_time: 0.278013(0.357630),train_time: 0.070983(0.269405)
 2 th batch,total_time: 0.309804(0.521291),data_time: 0.283060(0.332773),train_time: 0.026745(0.188518)
 3 th batch,total_time: 0.277575(0.460362),data_time: 0.254198(0.313129),train_time: 0.023378(0.147233)
 4 th batch,total_time: 0.275991(0.423488),data_time: 0.252432(0.300990),train_time: 0.023560(0.122498)
 5 th batch,total_time: 0.279334(0.399462),data_time: 0.246304(0.291875),train_time: 0.033030(0.107587)
 6 th batch,total_time: 0.276081(0.381836),data_time: 0.254137(0.286484),train_time: 0.021944(0.095352)
 7 th batch,total_time: 0.262880(0.366967),data_time: 0.239646(0.280629),train_time: 0.023235(0.086337)
 8 th batch,total_time: 0.274457(0.356688),data_time: 0.245748(0.276754),train_time: 0.028709(0.079934)
 9 th batch,total_time: 0.369419(0.357961),data_time: 0.348599(0.283938),train_time: 0.020820(0.074023)
 10 th batch,total_time: 0.266992(0.349691),data_time: 0.241534(0.280083),train_time: 0.025458(0.069608)
 11 th batch,total_time: 0.264275(0.342573),data_time: 0.238082(0.276583),train_time: 0.026193(0.065990)
 12 th batch,total_time: 0.274817(0.337361),data_time: 0.253220(0.274786),train_time: 0.021596(0.062575)
 13 th batch,total_time: 0.255070(0.331483),data_time: 0.231763(0.271713),train_time: 0.023308(0.059770)
 14 th batch,total_time: 0.266336(0.327140),data_time: 0.241298(0.269685),train_time: 0.025038(0.057455)
 15 th batch,total_time: 0.272875(0.323748),data_time: 0.249160(0.268402),train_time: 0.023715(0.055346)
 16 th batch,total_time: 0.268828(0.320518),data_time: 0.245087(0.267031),train_time: 0.023741(0.053487)
 17 th batch,total_time: 0.265212(0.317445),data_time: 0.240627(0.265564),train_time: 0.024585(0.051881)
 18 th batch,total_time: 0.253350(0.314072),data_time: 0.229514(0.263667),train_time: 0.023835(0.050405)
 19 th batch,total_time: 0.249965(0.310867),data_time: 0.226162(0.261792),train_time: 0.023804(0.049075)
 20 th batch,total_time: 0.256428(0.308274),data_time: 0.232165(0.260381),train_time: 0.024263(0.047894)
 21 th batch,total_time: 0.257786(0.305979),data_time: 0.233447(0.259156),train_time: 0.024339(0.046823)
 22 th batch,total_time: 0.272780(0.304536),data_time: 0.245487(0.258562),train_time: 0.027293(0.045974)
 23 th batch,total_time: 0.274419(0.303281),data_time: 0.249081(0.258167),train_time: 0.025338(0.045114)
 24 th batch,total_time: 0.284112(0.302514),data_time: 0.258526(0.258181),train_time: 0.025586(0.044333)
 25 th batch,total_time: 0.292049(0.302112),data_time: 0.266153(0.258488),train_time: 0.025896(0.043624)
 26 th batch,total_time: 0.296845(0.301917),data_time: 0.271542(0.258972),train_time: 0.025303(0.042945)
 27 th batch,total_time: 0.287764(0.301411),data_time: 0.262885(0.259111),train_time: 0.024879(0.042300)
 28 th batch,total_time: 0.298532(0.301312),data_time: 0.272474(0.259572),train_time: 0.026058(0.041740)
 29 th batch,total_time: 0.284783(0.300761),data_time: 0.258258(0.259528),train_time: 0.026525(0.041233)
 30 th batch,total_time: 0.288134(0.300354),data_time: 0.258486(0.259495),train_time: 0.029648(0.040859)
 31 th batch,total_time: 0.274901(0.299558),data_time: 0.249815(0.259192),train_time: 0.025087(0.040366)
 32 th batch,total_time: 0.290817(0.299293),data_time: 0.265229(0.259375),train_time: 0.025589(0.039918)
 33 th batch,total_time: 0.295815(0.299191),data_time: 0.270178(0.259693),train_time: 0.025637(0.039498)
 34 th batch,total_time: 0.267494(0.298285),data_time: 0.244752(0.259266),train_time: 0.022742(0.039020)
 35 th batch,total_time: 0.293609(0.298156),data_time: 0.268709(0.259528),train_time: 0.024900(0.038627)
 36 th batch,total_time: 0.282469(0.297732),data_time: 0.257823(0.259482),train_time: 0.024646(0.038249)
 37 th batch,total_time: 0.280457(0.297277),data_time: 0.255434(0.259376),train_time: 0.025023(0.037901)
 38 th batch,total_time: 0.296259(0.297251),data_time: 0.270699(0.259666),train_time: 0.025560(0.037585)
 39 th batch,total_time: 0.292698(0.297137),data_time: 0.264664(0.259791),train_time: 0.028034(0.037346)
 40 th batch,total_time: 0.293499(0.297048),data_time: 0.264226(0.259899),train_time: 0.029272(0.037149)
 41 th batch,total_time: 0.282978(0.296713),data_time: 0.257226(0.259835),train_time: 0.025752(0.036878)
 42 th batch,total_time: 0.279689(0.296317),data_time: 0.253345(0.259685),train_time: 0.026344(0.036633)
 43 th batch,total_time: 0.287599(0.296119),data_time: 0.260976(0.259714),train_time: 0.026623(0.036405)
 44 th batch,total_time: 0.282762(0.295822),data_time: 0.255458(0.259619),train_time: 0.027304(0.036203)
 45 th batch,total_time: 0.300721(0.295929),data_time: 0.276312(0.259982),train_time: 0.024409(0.035947)
 46 th batch,total_time: 0.284247(0.295680),data_time: 0.258385(0.259948),train_time: 0.025862(0.035732)
 47 th batch,total_time: 0.289019(0.295542),data_time: 0.263363(0.260019),train_time: 0.025657(0.035522)
 48 th batch,total_time: 0.296284(0.295557),data_time: 0.270567(0.260235),train_time: 0.025717(0.035322)
 49 th batch,total_time: 0.308553(0.295817),data_time: 0.283534(0.260701),train_time: 0.025019(0.035116)
 50 th batch,total_time: 0.286747(0.295639),data_time: 0.260087(0.260689),train_time: 0.026661(0.034950)
 51 th batch,total_time: 0.283033(0.295396),data_time: 0.258664(0.260650),train_time: 0.024369(0.034747)
 52 th batch,total_time: 0.289250(0.295280),data_time: 0.261283(0.260662),train_time: 0.027966(0.034619)
 53 th batch,total_time: 0.282452(0.295043),data_time: 0.255882(0.260573),train_time: 0.026570(0.034470)
 54 th batch,total_time: 0.290599(0.294962),data_time: 0.266824(0.260687),train_time: 0.023775(0.034275)
 55 th batch,total_time: 0.277693(0.294654),data_time: 0.253905(0.260566),train_time: 0.023787(0.034088)
 56 th batch,total_time: 0.304445(0.294825),data_time: 0.277756(0.260867),train_time: 0.026688(0.033958)
 57 th batch,total_time: 0.285480(0.294664),data_time: 0.263139(0.260906),train_time: 0.022341(0.033758)
 58 th batch,total_time: 0.295831(0.294684),data_time: 0.270109(0.261062),train_time: 0.025721(0.033622)
