Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
 58 th batch,total_time: 0.493559(1.352368),data_time: 0.344930(1.187590),train_time: 0.148628(0.164779)
 59 th batch,total_time: 0.498428(1.338136),data_time: 0.341842(1.173494),train_time: 0.156586(0.164642)
 60 th batch,total_time: 0.501485(1.324420),data_time: 0.342899(1.159877),train_time: 0.158586(0.164543)
 61 th batch,total_time: 0.507724(1.311248),data_time: 0.360644(1.146987),train_time: 0.147080(0.164261)
 62 th batch,total_time: 0.496941(1.298322),data_time: 0.352317(1.134373),train_time: 0.144624(0.163950)
 63 th batch,total_time: 0.505824(1.285940),data_time: 0.359530(1.122266),train_time: 0.146293(0.163674)
 64 th batch,total_time: 0.503203(1.273897),data_time: 0.337182(1.110188),train_time: 0.166021(0.163710)
 65 th batch,total_time: 0.501160(1.262189),data_time: 0.354743(1.098742),train_time: 0.146418(0.163448)
 66 th batch,total_time: 0.499414(1.250805),data_time: 0.351215(1.087584),train_time: 0.148199(0.163220)
 67 th batch,total_time: 0.499360(1.239754),data_time: 0.352835(1.076779),train_time: 0.146525(0.162975)
 68 th batch,total_time: 0.481203(1.228760),data_time: 0.335760(1.066040),train_time: 0.145443(0.162721)
 69 th batch,total_time: 0.496812(1.218304),data_time: 0.348717(1.055792),train_time: 0.148096(0.162512)
 70 th batch,total_time: 0.497797(1.208156),data_time: 0.351537(1.045873),train_time: 0.146260(0.162283)
 71 th batch,total_time: 0.502604(1.198357),data_time: 0.344095(1.036126),train_time: 0.158509(0.162230)
 72 th batch,total_time: 0.503506(1.188838),data_time: 0.357141(1.026825),train_time: 0.146365(0.162013)
 73 th batch,total_time: 0.505721(1.179607),data_time: 0.340412(1.017549),train_time: 0.165309(0.162058)
 74 th batch,total_time: 0.499864(1.170544),data_time: 0.342921(1.008554),train_time: 0.156943(0.161989)
 75 th batch,total_time: 0.502921(1.161759),data_time: 0.343443(0.999803),train_time: 0.159478(0.161956)
 76 th batch,total_time: 0.505383(1.153235),data_time: 0.358420(0.991473),train_time: 0.146963(0.161762)
 77 th batch,total_time: 0.503315(1.144903),data_time: 0.357008(0.983339),train_time: 0.146307(0.161563)
 0 th batch,total_time: 51.325957(51.325957),data_time: 50.301429(50.301429),train_time: 1.024527(1.024527)
 1 th batch,total_time: 0.536150(25.931053),data_time: 0.092659(25.197044),train_time: 0.443491(0.734009)
 2 th batch,total_time: 0.243844(17.368650),data_time: 0.098485(16.830858),train_time: 0.145359(0.537792)
 3 th batch,total_time: 0.489879(13.148957),data_time: 0.344668(12.709310),train_time: 0.145212(0.439647)
 4 th batch,total_time: 0.485838(10.616334),data_time: 0.334689(10.234386),train_time: 0.151149(0.381947)
 5 th batch,total_time: 0.501768(8.930573),data_time: 0.356034(8.587994),train_time: 0.145734(0.342579)
 6 th batch,total_time: 0.492840(7.725182),data_time: 0.347172(7.410734),train_time: 0.145669(0.314449)
 7 th batch,total_time: 0.483154(6.819929),data_time: 0.338531(6.526708),train_time: 0.144624(0.293220)
 8 th batch,total_time: 0.494287(6.117080),data_time: 0.349046(5.840301),train_time: 0.145241(0.276778)
 9 th batch,total_time: 0.486891(5.554061),data_time: 0.338701(5.290141),train_time: 0.148190(0.263919)
 10 th batch,total_time: 0.494806(5.094129),data_time: 0.346961(4.840761),train_time: 0.147845(0.253367)
 11 th batch,total_time: 0.485484(4.710075),data_time: 0.336901(4.465440),train_time: 0.148583(0.244635)
 12 th batch,total_time: 0.488708(4.385354),data_time: 0.339301(4.148044),train_time: 0.149407(0.237310)
 13 th batch,total_time: 0.482840(4.106603),data_time: 0.337128(3.875836),train_time: 0.145711(0.230767)
 14 th batch,total_time: 0.481050(3.864900),data_time: 0.333468(3.639678),train_time: 0.147581(0.225221)
 15 th batch,total_time: 0.484243(3.653609),data_time: 0.339343(3.433407),train_time: 0.144900(0.220201)
 16 th batch,total_time: 0.484294(3.467178),data_time: 0.339531(3.251415),train_time: 0.144763(0.215764)
 17 th batch,total_time: 0.484353(3.301466),data_time: 0.338492(3.089586),train_time: 0.145861(0.211880)
 18 th batch,total_time: 0.498353(3.153934),data_time: 0.352828(2.945546),train_time: 0.145525(0.208388)
 19 th batch,total_time: 0.486873(3.020581),data_time: 0.340449(2.815291),train_time: 0.146424(0.205290)
 20 th batch,total_time: 0.503695(2.900729),data_time: 0.355473(2.698157),train_time: 0.148223(0.202572)
 21 th batch,total_time: 0.494621(2.791360),data_time: 0.348090(2.591335),train_time: 0.146531(0.200025)
 22 th batch,total_time: 0.501601(2.691806),data_time: 0.355154(2.494110),train_time: 0.146448(0.197695)
 23 th batch,total_time: 0.488188(2.599988),data_time: 0.339293(2.404326),train_time: 0.148895(0.195662)
 24 th batch,total_time: 0.497212(2.515877),data_time: 0.350088(2.322157),train_time: 0.147124(0.193721)
 25 th batch,total_time: 0.487594(2.437866),data_time: 0.336574(2.245788),train_time: 0.151021(0.192078)
 26 th batch,total_time: 0.498162(2.366025),data_time: 0.347707(2.175489),train_time: 0.150456(0.190537)
 27 th batch,total_time: 0.499277(2.299356),data_time: 0.348175(2.110227),train_time: 0.151103(0.189128)
 28 th batch,total_time: 0.481215(2.236661),data_time: 0.334118(2.048982),train_time: 0.147097(0.187679)
 29 th batch,total_time: 0.500758(2.178798),data_time: 0.351538(1.992401),train_time: 0.149220(0.186397)
 30 th batch,total_time: 0.481399(2.124043),data_time: 0.330783(1.938800),train_time: 0.150616(0.185243)
 31 th batch,total_time: 0.500812(2.073317),data_time: 0.351341(1.889192),train_time: 0.149471(0.184125)
 32 th batch,total_time: 0.503751(2.025754),data_time: 0.352176(1.842616),train_time: 0.151575(0.183139)
 33 th batch,total_time: 0.496968(1.980790),data_time: 0.347667(1.798647),train_time: 0.149302(0.182143)
 34 th batch,total_time: 0.499644(1.938472),data_time: 0.351048(1.757287),train_time: 0.148595(0.181185)
 35 th batch,total_time: 0.507578(1.898725),data_time: 0.356909(1.718387),train_time: 0.150669(0.180337)
 36 th batch,total_time: 0.477625(1.860317),data_time: 0.329380(1.680847),train_time: 0.148245(0.179470)
 37 th batch,total_time: 0.488361(1.824212),data_time: 0.337454(1.645494),train_time: 0.150908(0.178718)
 38 th batch,total_time: 0.481933(1.789795),data_time: 0.333361(1.611850),train_time: 0.148572(0.177945)
 39 th batch,total_time: 0.519566(1.758039),data_time: 0.369823(1.580799),train_time: 0.149743(0.177240)
 40 th batch,total_time: 0.475531(1.726759),data_time: 0.327838(1.550239),train_time: 0.147693(0.176520)
 41 th batch,total_time: 0.513790(1.697878),data_time: 0.366878(1.522064),train_time: 0.146912(0.175815)
 42 th batch,total_time: 0.498897(1.669995),data_time: 0.350367(1.494815),train_time: 0.148530(0.175180)
 43 th batch,total_time: 0.502478(1.643461),data_time: 0.352464(1.468853),train_time: 0.150013(0.174608)
 44 th batch,total_time: 0.492675(1.617888),data_time: 0.345067(1.443880),train_time: 0.147608(0.174008)
 45 th batch,total_time: 0.507616(1.593751),data_time: 0.358953(1.420294),train_time: 0.148663(0.173457)
 46 th batch,total_time: 0.481359(1.570083),data_time: 0.333163(1.397164),train_time: 0.148196(0.172920)
 47 th batch,total_time: 0.509282(1.547983),data_time: 0.362612(1.375611),train_time: 0.146671(0.172373)
 48 th batch,total_time: 0.499559(1.526587),data_time: 0.351938(1.354719),train_time: 0.147621(0.171868)
 49 th batch,total_time: 0.503574(1.506127),data_time: 0.356034(1.334746),train_time: 0.147540(0.171381)
 50 th batch,total_time: 0.498626(1.486372),data_time: 0.351571(1.315468),train_time: 0.147055(0.170904)
 51 th batch,total_time: 0.503134(1.467463),data_time: 0.356448(1.297025),train_time: 0.146686(0.170438)
 52 th batch,total_time: 0.481194(1.448854),data_time: 0.334132(1.278857),train_time: 0.147062(0.169997)
 53 th batch,total_time: 0.482054(1.430951),data_time: 0.334925(1.261377),train_time: 0.147129(0.169574)
 54 th batch,total_time: 0.495335(1.413940),data_time: 0.347945(1.244769),train_time: 0.147390(0.169170)
 55 th batch,total_time: 0.519272(1.397963),data_time: 0.369437(1.229138),train_time: 0.149835(0.168825)
 56 th batch,total_time: 0.482564(1.381904),data_time: 0.333029(1.213417),train_time: 0.149534(0.168487)
 57 th batch,total_time: 0.508899(1.366852),data_time: 0.362440(1.198745),train_time: 0.146459(0.168107)
 58 th batch,total_time: 0.498743(1.352138),data_time: 0.348779(1.184339),train_time: 0.149964(0.167799)
 59 th batch,total_time: 0.493932(1.337835),data_time: 0.346575(1.170376),train_time: 0.147356(0.167459)
 60 th batch,total_time: 0.505108(1.324183),data_time: 0.354007(1.156993),train_time: 0.151101(0.167191)
 61 th batch,total_time: 0.505011(1.310971),data_time: 0.356164(1.144076),train_time: 0.148847(0.166895)
 62 th batch,total_time: 0.480751(1.297793),data_time: 0.332916(1.131201),train_time: 0.147835(0.166592)
 63 th batch,total_time: 0.516485(1.285585),data_time: 0.368486(1.119283),train_time: 0.148000(0.166302)
 64 th batch,total_time: 0.506513(1.273599),data_time: 0.356969(1.107555),train_time: 0.149544(0.166044)
 65 th batch,total_time: 0.496962(1.261832),data_time: 0.349358(1.096068),train_time: 0.147604(0.165764)
 66 th batch,total_time: 0.504193(1.250524),data_time: 0.355777(1.085018),train_time: 0.148416(0.165506)
 67 th batch,total_time: 0.501706(1.239512),data_time: 0.351314(1.074229),train_time: 0.150392(0.165283)
 68 th batch,total_time: 0.476732(1.228457),data_time: 0.328917(1.063427),train_time: 0.147815(0.165030)
 69 th batch,total_time: 0.479782(1.217762),data_time: 0.332913(1.052991),train_time: 0.146869(0.164771)
 70 th batch,total_time: 0.501134(1.207668),data_time: 0.352681(1.043128),train_time: 0.148453(0.164541)
 71 th batch,total_time: 0.516805(1.198073),data_time: 0.368456(1.033757),train_time: 0.148349(0.164316)
 72 th batch,total_time: 0.505212(1.188582),data_time: 0.354730(1.024455),train_time: 0.150482(0.164126)
 73 th batch,total_time: 0.499267(1.179267),data_time: 0.351094(1.015356),train_time: 0.148174(0.163911)
 74 th batch,total_time: 0.500302(1.170214),data_time: 0.353175(1.006527),train_time: 0.147127(0.163687)
 75 th batch,total_time: 0.504834(1.161459),data_time: 0.355044(0.997955),train_time: 0.149790(0.163504)
 76 th batch,total_time: 0.497451(1.152835),data_time: 0.349089(0.989528),train_time: 0.148362(0.163308)
 77 th batch,total_time: 0.506984(1.144555),data_time: 0.359066(0.981445),train_time: 0.147917(0.163110)
 78 th batch,total_time: 0.484922(1.136206),data_time: 0.337894(0.973299),train_time: 0.147028(0.162907)
 79 th batch,total_time: 0.517047(1.128466),data_time: 0.369284(0.965749),train_time: 0.147763(0.162717)
 80 th batch,total_time: 0.500681(1.120716),data_time: 0.353513(0.958190),train_time: 0.147168(0.162525)
 81 th batch,total_time: 0.501072(1.113159),data_time: 0.354825(0.950832),train_time: 0.146247(0.162327)
 82 th batch,total_time: 0.503977(1.105819),data_time: 0.356382(0.943670),train_time: 0.147595(0.162149)
 83 th batch,total_time: 0.503505(1.098649),data_time: 0.356511(0.936680),train_time: 0.146994(0.161969)
 84 th batch,total_time: 0.479018(1.091359),data_time: 0.332153(0.929568),train_time: 0.146865(0.161791)
 85 th batch,total_time: 0.481213(1.084265),data_time: 0.335903(0.922665),train_time: 0.145310(0.161600)
 86 th batch,total_time: 0.500767(1.077558),data_time: 0.354353(0.916133),train_time: 0.146414(0.161425)
 87 th batch,total_time: 0.517161(1.071190),data_time: 0.369805(0.909924),train_time: 0.147357(0.161265)
 88 th batch,total_time: 0.502327(1.064798),data_time: 0.355299(0.903693),train_time: 0.147027(0.161105)
 89 th batch,total_time: 0.499516(1.058517),data_time: 0.352218(0.897565),train_time: 0.147298(0.160952)
 90 th batch,total_time: 0.502095(1.052402),data_time: 0.354265(0.891595),train_time: 0.147831(0.160808)
 91 th batch,total_time: 0.503092(1.046432),data_time: 0.354392(0.885756),train_time: 0.148700(0.160676)
 92 th batch,total_time: 0.503055(1.040589),data_time: 0.355518(0.880054),train_time: 0.147537(0.160535)
 93 th batch,total_time: 0.504398(1.034885),data_time: 0.356201(0.874481),train_time: 0.148197(0.160404)
 94 th batch,total_time: 0.485181(1.029098),data_time: 0.339174(0.868846),train_time: 0.146007(0.160252)
 95 th batch,total_time: 0.525408(1.023852),data_time: 0.372725(0.863678),train_time: 0.152682(0.160173)
