Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 1
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 1
@@ 非dummy数据集加载
 0 th batch,total_time: 4.153463(4.153463),data_time: 3.703791(3.703791),train_time: 0.449672(0.449672)
 1 th batch,total_time: 0.204083(2.178773),data_time: 0.114590(1.909190),train_time: 0.089493(0.269583)
 2 th batch,total_time: 0.538800(1.632115),data_time: 0.503305(1.440562),train_time: 0.035495(0.191553)
 3 th batch,total_time: 0.606248(1.375649),data_time: 0.570682(1.223092),train_time: 0.035566(0.152557)
 4 th batch,total_time: 0.583590(1.217237),data_time: 0.548295(1.088133),train_time: 0.035295(0.129104)
 5 th batch,total_time: 0.575161(1.110224),data_time: 0.539712(0.996729),train_time: 0.035448(0.113495)
 6 th batch,total_time: 0.655583(1.045275),data_time: 0.620302(0.942954),train_time: 0.035281(0.102321)
 7 th batch,total_time: 0.560719(0.984706),data_time: 0.525286(0.890745),train_time: 0.035433(0.093960)
 8 th batch,total_time: 0.583050(0.940077),data_time: 0.547449(0.852601),train_time: 0.035602(0.087476)
 9 th batch,total_time: 0.569389(0.903009),data_time: 0.534497(0.820791),train_time: 0.034893(0.082218)
 10 th batch,total_time: 0.580414(0.873682),data_time: 0.544880(0.795708),train_time: 0.035534(0.077974)
 11 th batch,total_time: 0.565473(0.847998),data_time: 0.530552(0.773612),train_time: 0.034921(0.074386)
 12 th batch,total_time: 0.573903(0.826913),data_time: 0.538530(0.755529),train_time: 0.035372(0.071385)
 13 th batch,total_time: 0.538271(0.806296),data_time: 0.502739(0.737472),train_time: 0.035532(0.068824)
 14 th batch,total_time: 0.567755(0.790393),data_time: 0.532630(0.723816),train_time: 0.035125(0.066577)
 15 th batch,total_time: 0.597172(0.778317),data_time: 0.561552(0.713675),train_time: 0.035620(0.064643)
 16 th batch,total_time: 0.577438(0.766501),data_time: 0.543073(0.703639),train_time: 0.034365(0.062862)
 17 th batch,total_time: 0.561280(0.755100),data_time: 0.526794(0.693814),train_time: 0.034486(0.061285)
 18 th batch,total_time: 0.576872(0.745719),data_time: 0.542220(0.685836),train_time: 0.034652(0.059883)
 19 th batch,total_time: 0.584630(0.737665),data_time: 0.550304(0.679059),train_time: 0.034326(0.058606)
 20 th batch,total_time: 0.589373(0.730603),data_time: 0.555212(0.673162),train_time: 0.034161(0.057441)
 21 th batch,total_time: 0.559691(0.722834),data_time: 0.524966(0.666426),train_time: 0.034724(0.056409)
 22 th batch,total_time: 0.568286(0.716115),data_time: 0.533533(0.660648),train_time: 0.034753(0.055467)
 23 th batch,total_time: 0.562735(0.709724),data_time: 0.528151(0.655127),train_time: 0.034584(0.054597)
 24 th batch,total_time: 0.576924(0.704412),data_time: 0.539895(0.650518),train_time: 0.037029(0.053894)
 25 th batch,total_time: 0.599487(0.700377),data_time: 0.564712(0.647217),train_time: 0.034775(0.053159)
 26 th batch,total_time: 0.565556(0.695383),data_time: 0.531172(0.642919),train_time: 0.034384(0.052464)
 27 th batch,total_time: 0.571399(0.690955),data_time: 0.537029(0.639138),train_time: 0.034370(0.051818)
 28 th batch,total_time: 0.578561(0.687079),data_time: 0.544188(0.635864),train_time: 0.034373(0.051216)
 29 th batch,total_time: 0.586745(0.683735),data_time: 0.551615(0.633055),train_time: 0.035131(0.050680)
 30 th batch,total_time: 0.583180(0.680491),data_time: 0.547632(0.630300),train_time: 0.035547(0.050192)
 31 th batch,total_time: 0.592150(0.677731),data_time: 0.556769(0.628002),train_time: 0.035382(0.049729)
