Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 0.837024(0.837024),data_time: 0.401324(0.401324),train_time: 0.435700(0.435700)
 1 th batch,total_time: 0.184597(0.510810),data_time: 0.143534(0.272429),train_time: 0.041063(0.238381)
 2 th batch,total_time: 0.157377(0.392999),data_time: 0.134113(0.226324),train_time: 0.023265(0.166676)
 3 th batch,total_time: 0.142664(0.330416),data_time: 0.116677(0.198912),train_time: 0.025987(0.131504)
 4 th batch,total_time: 0.143923(0.293117),data_time: 0.118131(0.182756),train_time: 0.025792(0.110361)
 5 th batch,total_time: 0.156168(0.270292),data_time: 0.129596(0.173896),train_time: 0.026572(0.096396)
 6 th batch,total_time: 0.146602(0.252622),data_time: 0.123235(0.166659),train_time: 0.023366(0.085964)
 7 th batch,total_time: 0.159141(0.240937),data_time: 0.131900(0.162314),train_time: 0.027240(0.078623)
 8 th batch,total_time: 0.152831(0.231147),data_time: 0.131159(0.158852),train_time: 0.021672(0.072295)
 9 th batch,total_time: 0.135403(0.221573),data_time: 0.113127(0.154280),train_time: 0.022277(0.067293)
 10 th batch,total_time: 0.145822(0.214687),data_time: 0.119593(0.151126),train_time: 0.026229(0.063560)
 11 th batch,total_time: 0.142957(0.208709),data_time: 0.120416(0.148567),train_time: 0.022541(0.060142)
 12 th batch,total_time: 0.141138(0.203511),data_time: 0.116349(0.146089),train_time: 0.024789(0.057423)
 13 th batch,total_time: 0.154332(0.199999),data_time: 0.133727(0.145206),train_time: 0.020605(0.054793)
 14 th batch,total_time: 0.141538(0.196101),data_time: 0.115748(0.143242),train_time: 0.025789(0.052859)
 15 th batch,total_time: 0.151499(0.193314),data_time: 0.126311(0.142184),train_time: 0.025188(0.051130)
 16 th batch,total_time: 0.163728(0.191573),data_time: 0.142434(0.142199),train_time: 0.021294(0.049375)
 17 th batch,total_time: 0.149210(0.189220),data_time: 0.126221(0.141311),train_time: 0.022990(0.047909)
 18 th batch,total_time: 0.143835(0.186831),data_time: 0.121243(0.140255),train_time: 0.022592(0.046576)
 19 th batch,total_time: 0.251504(0.190065),data_time: 0.230130(0.144748),train_time: 0.021374(0.045316)
