Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
 0 th batch,total_time: 6.765606(6.765606),data_time: 6.312285(6.312285),train_time: 0.453321(0.453321)
 1 th batch,total_time: 0.031402(3.398504),data_time: 0.004375(3.158330),train_time: 0.027027(0.240174)
 2 th batch,total_time: 0.025756(2.274255),data_time: 0.005059(2.107240),train_time: 0.020697(0.167015)
 3 th batch,total_time: 0.123010(1.736443),data_time: 0.096283(1.604500),train_time: 0.026727(0.131943)
 4 th batch,total_time: 0.036360(1.396427),data_time: 0.011017(1.285804),train_time: 0.025342(0.110623)
 5 th batch,total_time: 0.102718(1.180809),data_time: 0.072600(1.083603),train_time: 0.030118(0.097205)
 6 th batch,total_time: 0.042466(1.018188),data_time: 0.016814(0.931205),train_time: 0.025652(0.086984)
 7 th batch,total_time: 0.093073(0.902549),data_time: 0.066636(0.823134),train_time: 0.026437(0.079415)
 8 th batch,total_time: 0.046560(0.807439),data_time: 0.019451(0.733836),train_time: 0.027109(0.073603)
 9 th batch,total_time: 0.095293(0.736224),data_time: 0.068213(0.667273),train_time: 0.027080(0.068951)
 10 th batch,total_time: 0.041693(0.673085),data_time: 0.015184(0.607992),train_time: 0.026509(0.065093)
 11 th batch,total_time: 0.095945(0.624990),data_time: 0.069564(0.563123),train_time: 0.026381(0.061867)
 12 th batch,total_time: 0.046335(0.580478),data_time: 0.021583(0.521466),train_time: 0.024751(0.059012)
 13 th batch,total_time: 0.099052(0.546091),data_time: 0.072644(0.489408),train_time: 0.026408(0.056683)
 14 th batch,total_time: 0.057749(0.513534),data_time: 0.036609(0.459221),train_time: 0.021139(0.054313)
 15 th batch,total_time: 0.089772(0.487049),data_time: 0.063910(0.434514),train_time: 0.025862(0.052535)
 16 th batch,total_time: 0.048360(0.461244),data_time: 0.027624(0.410579),train_time: 0.020736(0.050665)
 17 th batch,total_time: 0.103297(0.441358),data_time: 0.076959(0.392045),train_time: 0.026338(0.049313)
 18 th batch,total_time: 0.046599(0.420581),data_time: 0.026053(0.372782),train_time: 0.020546(0.047799)
 19 th batch,total_time: 0.094231(0.404264),data_time: 0.067321(0.357509),train_time: 0.026909(0.046755)
 20 th batch,total_time: 0.045815(0.387195),data_time: 0.024281(0.341641),train_time: 0.021535(0.045554)
 21 th batch,total_time: 0.092485(0.373799),data_time: 0.066393(0.329130),train_time: 0.026092(0.044669)
 22 th batch,total_time: 0.040880(0.359324),data_time: 0.020246(0.315700),train_time: 0.020634(0.043624)
 23 th batch,total_time: 0.092232(0.348195),data_time: 0.065001(0.305254),train_time: 0.027232(0.042941)
 24 th batch,total_time: 0.043618(0.336012),data_time: 0.022705(0.293952),train_time: 0.020912(0.042060)
 25 th batch,total_time: 0.090338(0.326563),data_time: 0.062872(0.285065),train_time: 0.027466(0.041499)
 26 th batch,total_time: 0.053700(0.316457),data_time: 0.032382(0.275706),train_time: 0.021318(0.040751)
 27 th batch,total_time: 0.089769(0.308361),data_time: 0.062323(0.268085),train_time: 0.027446(0.040276)
 28 th batch,total_time: 0.055562(0.299644),data_time: 0.034509(0.260031),train_time: 0.021053(0.039613)
 29 th batch,total_time: 0.093582(0.292775),data_time: 0.066192(0.253570),train_time: 0.027390(0.039206)
 30 th batch,total_time: 0.043900(0.284747),data_time: 0.022069(0.246102),train_time: 0.021831(0.038645)
 31 th batch,total_time: 0.094548(0.278803),data_time: 0.067871(0.240532),train_time: 0.026677(0.038271)
 32 th batch,total_time: 0.045346(0.271729),data_time: 0.024303(0.233980),train_time: 0.021042(0.037749)
 33 th batch,total_time: 0.099083(0.266651),data_time: 0.071928(0.229214),train_time: 0.027155(0.037437)
 34 th batch,total_time: 0.042902(0.260258),data_time: 0.021020(0.223265),train_time: 0.021882(0.036993)
 35 th batch,total_time: 0.094583(0.255656),data_time: 0.068099(0.218955),train_time: 0.026484(0.036701)
 36 th batch,total_time: 0.040565(0.249843),data_time: 0.019336(0.213560),train_time: 0.021229(0.036283)
 37 th batch,total_time: 0.098379(0.245857),data_time: 0.067854(0.209725),train_time: 0.030525(0.036131)
 38 th batch,total_time: 0.037951(0.240526),data_time: 0.016072(0.204760),train_time: 0.021879(0.035766)
 39 th batch,total_time: 0.103237(0.237094),data_time: 0.076390(0.201551),train_time: 0.026847(0.035543)
 40 th batch,total_time: 0.040067(0.232288),data_time: 0.016053(0.197026),train_time: 0.024014(0.035262)
 41 th batch,total_time: 0.098159(0.229095),data_time: 0.071061(0.194027),train_time: 0.027098(0.035067)
 42 th batch,total_time: 0.045192(0.224818),data_time: 0.024156(0.190077),train_time: 0.021036(0.034741)
 43 th batch,total_time: 0.098333(0.221943),data_time: 0.071054(0.187372),train_time: 0.027278(0.034572)
 44 th batch,total_time: 0.042058(0.217946),data_time: 0.018561(0.183620),train_time: 0.023496(0.034325)
 45 th batch,total_time: 0.095713(0.215289),data_time: 0.068489(0.181118),train_time: 0.027225(0.034171)
 46 th batch,total_time: 0.049361(0.211758),data_time: 0.026268(0.177823),train_time: 0.023093(0.033935)
 47 th batch,total_time: 0.090169(0.209225),data_time: 0.062821(0.175427),train_time: 0.027348(0.033798)
 48 th batch,total_time: 0.056173(0.206102),data_time: 0.035026(0.172562),train_time: 0.021146(0.033540)
 49 th batch,total_time: 0.078673(0.203553),data_time: 0.051942(0.170149),train_time: 0.026731(0.033404)
 50 th batch,total_time: 0.059968(0.200738),data_time: 0.039184(0.167581),train_time: 0.020785(0.033156)
 51 th batch,total_time: 0.078164(0.198380),data_time: 0.051828(0.165355),train_time: 0.026336(0.033025)
 52 th batch,total_time: 0.065831(0.195879),data_time: 0.045116(0.163087),train_time: 0.020715(0.032793)
 53 th batch,total_time: 0.068814(0.193526),data_time: 0.042841(0.160860),train_time: 0.025973(0.032667)
 54 th batch,total_time: 0.084264(0.191540),data_time: 0.063664(0.159093),train_time: 0.020600(0.032447)
 55 th batch,total_time: 0.043333(0.188893),data_time: 0.020742(0.156622),train_time: 0.022591(0.032271)
 56 th batch,total_time: 0.107851(0.187471),data_time: 0.083068(0.155332),train_time: 0.024783(0.032140)
 57 th batch,total_time: 0.115716(0.186234),data_time: 0.088926(0.154187),train_time: 0.026791(0.032048)
 58 th batch,total_time: 0.234867(0.187059),data_time: 0.213136(0.155186),train_time: 0.021731(0.031873)
 59 th batch,total_time: 0.029675(0.184436),data_time: 0.009317(0.152755),train_time: 0.020358(0.031681)
 60 th batch,total_time: 0.111453(0.183239),data_time: 0.091185(0.151745),train_time: 0.020268(0.031494)
