batch_size,batchnum,worker_num,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train
8,3000,2,0.01147793714541747,0.0006399154663085938,6.089697599411011,0.008834600448608398,0.02655649185180664,0.027533925004658483,0.017821550369262695,0.46219635009765625,0.028295516967773438,0.0324857234954834
8,3000,4,0.007963314965263044,0.00060272216796875,12.346510410308838,0.001047372817993164,0.013573884963989258,0.02612643303850499,0.015077590942382812,0.4465765953063965,0.027921676635742188,0.030389785766601562
8,3000,8,0.011139786191798576,0.0005686283111572266,23.615998029708862,0.0010440349578857422,0.014055490493774414,0.026679071971711536,0.014156341552734375,0.4617478847503662,0.027483224868774414,0.03282737731933594
8,3000,16,0.01621222067022276,0.0005395412445068359,44.68511176109314,0.0010123252868652344,0.007849454879760742,0.0294866988516696,0.01796436309814453,2.041224956512451,0.028900623321533203,0.0322873592376709
16,3000,2,0.046225445304700276,0.0009677410125732422,6.249447584152222,0.04322624206542969,0.09708881378173828,0.028253665887209147,0.012742280960083008,0.4882545471191406,0.02947831153869629,0.03361034393310547
16,3000,4,0.014296234786133098,0.0010094642639160156,11.900975942611694,0.009451866149902344,0.03179526329040527,0.02422184310170739,0.017071247100830078,0.7222449779510498,0.023308515548706055,0.030705690383911133
16,3000,8,0.011072473023899871,0.0009386539459228516,23.71659278869629,0.002902984619140625,0.00958108901977539,0.028420400635396113,0.013805866241455078,0.4697437286376953,0.028290748596191406,0.03309369087219238
16,3000,16,0.01903846342537412,0.0010223388671875,47.34087800979614,0.0029861927032470703,0.012464046478271484,0.02832779944717626,0.011182785034179688,0.5338013172149658,0.0281984806060791,0.034150123596191406
32,3000,2,0.11227575018977133,0.0016632080078125,6.427913188934326,0.10684776306152344,0.22706365585327148,0.0294525308713878,0.01587080955505371,0.5152750015258789,0.028970718383789062,0.03578686714172363
32,3000,4,0.04460815754146506,0.0016694068908691406,12.374388456344604,0.017577171325683594,0.14264512062072754,0.028603701303895814,0.017164945602416992,0.503711462020874,0.02836751937866211,0.03465461730957031
32,3000,8,0.02173331323284898,0.0017130374908447266,24.147674560546875,0.013368844985961914,0.0235288143157959,0.02600132342538449,0.015822172164916992,0.5189952850341797,0.025838613510131836,0.029305219650268555
32,3000,16,0.03156913109359563,0.0016434192657470703,47.392481088638306,0.01437830924987793,0.024645328521728516,0.024012396153669603,0.014723777770996094,0.8182456493377686,0.02483201026916504,0.031003952026367188
64,3000,2,0.24823792629820313,0.003165006637573242,6.71295952796936,0.2457280158996582,0.5088503360748291,0.03408385443314041,0.02436351776123047,0.46417713165283203,0.033463239669799805,0.03735542297363281
64,3000,4,0.1189223588684804,0.0031766891479492188,12.365046977996826,0.03505992889404297,0.3872559070587158,0.03397958082423453,0.024680614471435547,0.831256628036499,0.03350353240966797,0.03762173652648926
64,3000,8,0.04180396981574583,0.003183603286743164,24.34737253189087,0.03389453887939453,0.04137754440307617,0.03450995268562721,0.024663686752319336,0.5468044281005859,0.033997297286987305,0.03985142707824707
64,3000,16,0.05005770609880121,0.003396749496459961,47.6015419960022,0.03426694869995117,0.04202556610107422,0.034124300663410045,0.024344205856323242,0.9476809501647949,0.033577919006347656,0.037781715393066406
128,3000,2,0.5093294121113987,0.00612330436706543,7.340233564376831,0.4854569435119629,1.0143802165985107,0.05092702377482042,0.039690256118774414,0.5476200580596924,0.05138206481933594,0.053998470306396484
128,3000,4,0.2166627563265553,0.006122589111328125,13.257388591766357,0.07893061637878418,0.7317960262298584,0.05009081990509898,0.04000663757324219,0.7172930240631104,0.049868106842041016,0.053945302963256836
128,3000,8,0.08156989169732526,0.006145477294921875,24.611919164657593,0.07320117950439453,0.08285903930664062,0.050482698854944066,0.039861440658569336,0.9415817260742188,0.05007767677307129,0.054834842681884766
128,3000,16,0.08957267903916163,0.006114959716796875,47.87519407272339,0.07361555099487305,0.08183169364929199,0.050048794121950395,0.04014444351196289,0.6041624546051025,0.049722909927368164,0.05464601516723633
256,3000,2,0.8837945757608182,0.012018918991088867,8.517126083374023,0.8145222663879395,1.8123242855072021,0.08133583742552938,0.07097196578979492,0.548149585723877,0.08071684837341309,0.08405399322509766
256,3000,4,0.4371873055724691,0.01209402084350586,14.296672105789185,0.1524946689605713,1.3729207515716553,0.08143215869037916,0.07115387916564941,0.9016005992889404,0.08098053932189941,0.08427906036376953
256,3000,8,0.161109570144455,0.012052059173583984,26.588562488555908,0.1515970230102539,0.16241908073425293,0.08195440557073728,0.07137298583984375,1.3551747798919678,0.08153367042541504,0.08646154403686523
256,3000,16,0.16792294900443544,0.012066125869750977,50.81046223640442,0.1510474681854248,0.16063833236694336,0.08228865244991579,0.0714116096496582,1.6268877983093262,0.0816185474395752,0.08644366264343262
512,3000,2,1.8932140101250603,0.023862838745117188,10.99951696395874,1.8794413805007935,3.821513595581054,0.14483960221806685,0.1327676773071289,0.9579949378967285,0.14404869079589844,0.153720703125
512,3000,4,0.9017100026376909,0.023905515670776367,15.7616126537323,0.3151928186416626,2.927685317993164,0.14561491208873112,0.13385486602783203,1.0043551921844482,0.14403855800628662,0.1511986088752745
512,3000,8,0.3425253434337491,0.024001598358154297,27.885674715042114,0.3128366470336914,0.7483388566970822,0.14580588041544915,0.13367629051208496,2.3278300762176514,0.14454638957977295,0.15027315616607664
512,3000,16,0.3343198795875104,0.023893117904663086,53.17490577697754,0.3133128881454468,0.3239559602737427,0.1462313647655179,0.1325058937072754,3.473324775695801,0.14459991455078125,0.1490440034866333
8,1000,0,0.0648711351724295,0.04791450500488281,0.1891007423400879,0.06337571144104004,0.08297228813171387,0.02652466475784957,0.01464223861694336,0.52671217918396,0.026235342025756836,0.031662702560424805
8,1000,1,0.055442448977109315,0.000873565673828125,3.1755874156951904,0.05092620849609375,0.07087182998657227,0.025201211085209955,0.017789125442504883,0.47401976585388184,0.027852296829223633,0.0292661190032959
16,1000,0,0.13336371970581604,0.10798764228820801,0.34752941131591797,0.13338303565979004,0.15662384033203125,0.02568896643288962,0.014319181442260742,0.41654038429260254,0.02548837661743164,0.03196406364440918
16,1000,1,0.12716443936427038,0.0014805793762207031,3.310380458831787,0.12410593032836914,0.14343571662902832,0.025885446207387582,0.019767045974731445,0.46363091468811035,0.02827596664428711,0.030527591705322266
32,1000,0,0.2550063235657318,0.2216966152191162,0.5017342567443848,0.2545599937438965,0.28562188148498535,0.02690386367249084,0.01846766471862793,0.3938751220703125,0.02653789520263672,0.03307628631591797
32,1000,1,0.24678656056925252,0.0020051002502441406,3.4588816165924072,0.24702048301696777,0.2766745090484619,0.03009830464373578,0.022656917572021484,0.48297548294067383,0.030100345611572266,0.03362441062927246
64,1000,0,0.5751349361507329,0.494107723236084,0.7477819919586182,0.5759212970733643,0.6160135269165039,0.0320557233217832,0.023572683334350586,0.4117472171783447,0.03254866600036621,0.03417229652404785
64,1000,1,0.5290721201158308,0.2111825942993164,3.8199198246002197,0.5332686901092529,0.5927703380584717,0.035337268532096566,0.0310366153717041,0.44832730293273926,0.034033775329589844,0.038667917251586914
128,1000,0,1.049032247745312,0.9264485836029053,1.5803351402282715,1.0394163131713867,1.1590640544891357,0.04923427640855848,0.04193854331970215,0.4442620277404785,0.04909110069274902,0.0512080192565918
128,1000,1,1.1204044254390628,0.8045389652252197,4.532139539718628,1.1237969398498535,1.1958448886871338,0.05249149077660316,0.04908943176269531,0.4234142303466797,0.0523223876953125,0.054062843322753906
256,1000,0,2.0997883685223466,1.8962442874908447,2.5236151218414307,2.108654260635376,2.2729332447052,0.08104154804012516,0.07418251037597656,0.4776763916015625,0.08047866821289062,0.08173298835754395
256,1000,1,1.9062789865545222,1.8074159622192383,5.592637777328491,1.8973236083984375,2.2056381702423096,0.08350408494055687,0.0808255672454834,0.5103921890258789,0.08280682563781738,0.08611273765563965
512,1000,0,4.1828012297322585,3.334104061126709,4.976157903671265,4.19156289100647,4.5625646114349365,0.1440752843519548,0.13365650177001953,0.7494664192199707,0.1430187225341797,0.14972329139709473
512,1000,1,4.468293616345355,3.397914171218872,8.254085302352905,4.467532157897949,4.725285768508911,0.14620068666341898,0.13628244400024414,0.7749638557434082,0.1444694995880127,0.1542649269104004
8,3000,16,0.01669530175757861,0.0005447864532470703,46.51458430290222,0.0010192394256591797,0.005465507507324219,0.029276191850615835,0.017771005630493164,0.6432344913482666,0.029050827026367188,0.03359222412109375
8,3000,32,0.03426428502180385,0.0005674362182617188,93.74730658531189,0.0010671615600585938,0.013408184051513672,0.0274143508178955,0.011985301971435547,0.895289421081543,0.028203964233398438,0.03290891647338867
8,3000,40,0.04003798647826213,0.0005326271057128906,116.86759495735168,0.0010104179382324219,0.003172636032104492,0.029810425362083285,0.018953561782836914,0.8726017475128174,0.029304981231689453,0.03392672538757324
16,3000,16,0.019758782995339036,0.0009164810180664062,46.566330432891846,0.003076791763305664,0.020217180252075195,0.027686136319453776,0.010645627975463867,1.3857522010803223,0.028387069702148438,0.034555912017822266
16,3000,32,0.0336896001954986,0.0009353160858154297,93.43480920791626,0.0024530887603759766,0.006937503814697266,0.029565416070390885,0.012431144714355469,0.8584554195404053,0.02909564971923828,0.035053253173828125
16,3000,40,0.046036309140874955,0.0009009838104248047,116.63953733444214,0.0032265186309814453,0.020694255828857422,0.02441135385520297,0.010686874389648438,0.9473111629486084,0.027860164642333984,0.034776926040649414
32,3000,16,0.030711040938548033,0.0017516613006591797,49.04737710952759,0.013998746871948242,0.02440953254699707,0.02539545279747246,0.014905929565429688,0.6980416774749756,0.025236129760742188,0.030859708786010742
