Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
Use GPU: 2 for training
=> creating model 'resnet18'
worker_num : 2
@@ 非dummy数据集加载
 57 th batch,total_time: 0.544564(2.064733),data_time: 0.400941(1.904350),train_time: 0.143623(0.160383)
 58 th batch,total_time: 3.032536(2.081136),data_time: 2.888061(1.921023),train_time: 0.144475(0.160113)
 59 th batch,total_time: 0.645597(2.057211),data_time: 0.500436(1.897347),train_time: 0.145161(0.159864)
 60 th batch,total_time: 3.031371(2.073181),data_time: 2.886598(1.913564),train_time: 0.144773(0.159617)
 61 th batch,total_time: 0.560991(2.048790),data_time: 0.417553(1.889435),train_time: 0.143437(0.159356)
 62 th batch,total_time: 2.986758(2.063679),data_time: 2.841834(1.904552),train_time: 0.144924(0.159127)
 63 th batch,total_time: 0.462244(2.038656),data_time: 0.316901(1.879745),train_time: 0.145342(0.158911)
 64 th batch,total_time: 3.126660(2.055395),data_time: 2.981816(1.896700),train_time: 0.144844(0.158695)
 65 th batch,total_time: 0.452973(2.031116),data_time: 0.309392(1.872650),train_time: 0.143581(0.158466)
 66 th batch,total_time: 3.197847(2.048530),data_time: 3.053222(1.890271),train_time: 0.144625(0.158259)
 67 th batch,total_time: 0.452897(2.025065),data_time: 0.308414(1.867008),train_time: 0.144483(0.158057)
 68 th batch,total_time: 3.358130(2.044384),data_time: 3.210820(1.886484),train_time: 0.147310(0.157901)
 69 th batch,total_time: 0.449914(2.021606),data_time: 0.307114(1.863921),train_time: 0.142800(0.157685)
 70 th batch,total_time: 3.076550(2.036465),data_time: 2.931778(1.878961),train_time: 0.144771(0.157503)
 71 th batch,total_time: 0.450984(2.014444),data_time: 0.308089(1.857144),train_time: 0.142895(0.157300)
 72 th batch,total_time: 3.141453(2.029882),data_time: 2.995478(1.872737),train_time: 0.145975(0.157145)
 73 th batch,total_time: 0.450810(2.008544),data_time: 0.307562(1.851586),train_time: 0.143248(0.156957)
 74 th batch,total_time: 3.235919(2.024909),data_time: 3.092203(1.868128),train_time: 0.143716(0.156781)
 75 th batch,total_time: 0.452259(2.004216),data_time: 0.309387(1.847618),train_time: 0.142872(0.156598)
 76 th batch,total_time: 3.302701(2.021079),data_time: 3.156963(1.864623),train_time: 0.145738(0.156457)
 77 th batch,total_time: 0.451340(2.000954),data_time: 0.308150(1.844668),train_time: 0.143190(0.156287)
 78 th batch,total_time: 3.156961(2.015587),data_time: 3.010970(1.859431),train_time: 0.145992(0.156156)
 79 th batch,total_time: 0.450982(1.996030),data_time: 0.306886(1.840024),train_time: 0.144095(0.156006)
 80 th batch,total_time: 3.245951(2.011461),data_time: 3.099943(1.855579),train_time: 0.146008(0.155882)
 81 th batch,total_time: 0.451519(1.992437),data_time: 0.308055(1.836707),train_time: 0.143464(0.155731)
 82 th batch,total_time: 3.252273(2.007616),data_time: 3.106747(1.852008),train_time: 0.145526(0.155608)
 83 th batch,total_time: 0.451229(1.989088),data_time: 0.307894(1.833626),train_time: 0.143335(0.155462)
 84 th batch,total_time: 3.233817(2.003732),data_time: 3.088344(1.848387),train_time: 0.145473(0.155344)
 85 th batch,total_time: 0.451030(1.985677),data_time: 0.307829(1.830474),train_time: 0.143201(0.155203)
 86 th batch,total_time: 3.195671(1.999585),data_time: 3.051807(1.844512),train_time: 0.143863(0.155073)
 87 th batch,total_time: 0.451603(1.981994),data_time: 0.308935(1.827062),train_time: 0.142668(0.154932)
 88 th batch,total_time: 3.183580(1.995495),data_time: 3.038861(1.840678),train_time: 0.144719(0.154817)
 89 th batch,total_time: 0.452077(1.978346),data_time: 0.308827(1.823658),train_time: 0.143250(0.154688)
 90 th batch,total_time: 3.251988(1.992342),data_time: 3.106779(1.837758),train_time: 0.145209(0.154584)
 91 th batch,total_time: 0.451361(1.975592),data_time: 0.308308(1.821133),train_time: 0.143053(0.154459)
 92 th batch,total_time: 3.212882(1.988896),data_time: 3.067821(1.834539),train_time: 0.145061(0.154358)
 93 th batch,total_time: 0.452278(1.972549),data_time: 0.308752(1.818307),train_time: 0.143526(0.154243)
 94 th batch,total_time: 3.297391(1.986495),data_time: 3.151836(1.832344),train_time: 0.145555(0.154151)
 95 th batch,total_time: 0.451252(1.970503),data_time: 0.308689(1.816473),train_time: 0.142563(0.154030)
 96 th batch,total_time: 3.169346(1.982862),data_time: 3.023344(1.828915),train_time: 0.146002(0.153948)
 97 th batch,total_time: 0.451176(1.967233),data_time: 0.308043(1.813395),train_time: 0.143133(0.153837)
 98 th batch,total_time: 3.084728(1.978521),data_time: 2.940611(1.824782),train_time: 0.144118(0.153739)
 99 th batch,total_time: 0.571521(1.964451),data_time: 0.427960(1.810813),train_time: 0.143561(0.153637)
 100 th batch,total_time: 2.941323(1.974123),data_time: 2.795928(1.820567),train_time: 0.145396(0.153556)
 101 th batch,total_time: 0.770463(1.962322),data_time: 0.626500(1.808860),train_time: 0.143963(0.153462)
 102 th batch,total_time: 2.863347(1.971070),data_time: 2.718376(1.817691),train_time: 0.144971(0.153379)
 103 th batch,total_time: 0.724344(1.959082),data_time: 0.579447(1.805784),train_time: 0.144897(0.153298)
 104 th batch,total_time: 3.025079(1.969234),data_time: 2.880198(1.816017),train_time: 0.144881(0.153218)
 105 th batch,total_time: 0.533069(1.955686),data_time: 0.389495(1.802559),train_time: 0.143574(0.153127)
 106 th batch,total_time: 2.993423(1.965384),data_time: 2.849383(1.812343),train_time: 0.144041(0.153042)
 107 th batch,total_time: 0.515923(1.951963),data_time: 0.371561(1.799002),train_time: 0.144362(0.152961)
 108 th batch,total_time: 3.059937(1.962128),data_time: 2.915085(1.809241),train_time: 0.144852(0.152887)
 109 th batch,total_time: 0.591545(1.949668),data_time: 0.446619(1.796854),train_time: 0.144926(0.152815)
 110 th batch,total_time: 2.997281(1.959106),data_time: 2.853100(1.806370),train_time: 0.144181(0.152737)
