Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 0
@@ 非dummy数据集加载
 0 th batch,total_time: 3.295550(3.295550),data_time: 2.752419(2.752419),train_time: 0.543131(0.543131)
 1 th batch,total_time: 2.666958(2.981254),data_time: 2.442894(2.597657),train_time: 0.224064(0.383597)
 2 th batch,total_time: 2.248946(2.737151),data_time: 2.166341(2.453885),train_time: 0.082605(0.283267)
 3 th batch,total_time: 2.221766(2.608305),data_time: 2.148979(2.377658),train_time: 0.072786(0.230646)
 4 th batch,total_time: 2.131662(2.512976),data_time: 2.049481(2.312023),train_time: 0.082181(0.200953)
 5 th batch,total_time: 2.443740(2.501437),data_time: 2.362169(2.320381),train_time: 0.081570(0.181056)
 6 th batch,total_time: 2.155775(2.452057),data_time: 2.079706(2.285999),train_time: 0.076069(0.166058)
 7 th batch,total_time: 2.080804(2.405650),data_time: 1.998734(2.250091),train_time: 0.082069(0.155559)
 8 th batch,total_time: 2.195777(2.382331),data_time: 2.112968(2.234855),train_time: 0.082808(0.147476)
 9 th batch,total_time: 2.188283(2.362926),data_time: 2.105030(2.221872),train_time: 0.083253(0.141054)
 10 th batch,total_time: 2.120170(2.340857),data_time: 2.046476(2.205927),train_time: 0.073694(0.134930)
 11 th batch,total_time: 2.265749(2.334598),data_time: 2.192453(2.204804),train_time: 0.073296(0.129794)
 12 th batch,total_time: 2.158852(2.321079),data_time: 2.081067(2.195286),train_time: 0.077785(0.125793)
 13 th batch,total_time: 2.123659(2.306978),data_time: 2.049640(2.184883),train_time: 0.074019(0.122095)
 14 th batch,total_time: 2.935159(2.348857),data_time: 2.849894(2.229217),train_time: 0.085265(0.119640)
 15 th batch,total_time: 2.220137(2.340812),data_time: 2.140174(2.223652),train_time: 0.079963(0.117160)
 16 th batch,total_time: 2.168922(2.330700),data_time: 2.087869(2.215665),train_time: 0.081053(0.115036)
 17 th batch,total_time: 2.114094(2.318667),data_time: 2.031085(2.205410),train_time: 0.083009(0.113257)
 18 th batch,total_time: 2.245873(2.314836),data_time: 2.164025(2.203232),train_time: 0.081848(0.111604)
 19 th batch,total_time: 2.114160(2.304802),data_time: 2.032868(2.194714),train_time: 0.081292(0.110088)
 20 th batch,total_time: 2.155264(2.297681),data_time: 2.074109(2.188971),train_time: 0.081156(0.108710)
 21 th batch,total_time: 3.071335(2.332847),data_time: 2.989169(2.225343),train_time: 0.082166(0.107504)
 22 th batch,total_time: 2.342653(2.333273),data_time: 2.259067(2.226810),train_time: 0.083586(0.106464)
 23 th batch,total_time: 2.227116(2.328850),data_time: 2.144442(2.223378),train_time: 0.082674(0.105473)
 24 th batch,total_time: 2.271635(2.326562),data_time: 2.192332(2.222136),train_time: 0.079303(0.104426)
 25 th batch,total_time: 2.188763(2.321262),data_time: 2.108420(2.217762),train_time: 0.080343(0.103500)
 26 th batch,total_time: 2.179418(2.316008),data_time: 2.098029(2.213328),train_time: 0.081389(0.102681)
 27 th batch,total_time: 2.231007(2.312972),data_time: 2.148757(2.211021),train_time: 0.082250(0.101951)
 28 th batch,total_time: 2.227836(2.310037),data_time: 2.146631(2.208801),train_time: 0.081204(0.101236)
 29 th batch,total_time: 2.272666(2.308791),data_time: 2.189959(2.208173),train_time: 0.082708(0.100618)
 30 th batch,total_time: 2.264566(2.307364),data_time: 2.181459(2.207311),train_time: 0.083107(0.100053)
 31 th batch,total_time: 2.232771(2.305033),data_time: 2.149083(2.205492),train_time: 0.083688(0.099542)
 32 th batch,total_time: 2.236229(2.302948),data_time: 2.153794(2.203925),train_time: 0.082435(0.099023)
 33 th batch,total_time: 2.197659(2.299852),data_time: 2.115476(2.201324),train_time: 0.082183(0.098528)
 34 th batch,total_time: 2.204203(2.297119),data_time: 2.122092(2.199060),train_time: 0.082111(0.098059)
 35 th batch,total_time: 2.087889(2.291307),data_time: 2.006752(2.193718),train_time: 0.081137(0.097589)
 36 th batch,total_time: 2.135139(2.287086),data_time: 2.053741(2.189935),train_time: 0.081398(0.097151)
 37 th batch,total_time: 2.134573(2.283073),data_time: 2.053823(2.186353),train_time: 0.080750(0.096720)
 38 th batch,total_time: 2.170111(2.280176),data_time: 2.087157(2.183809),train_time: 0.082954(0.096367)
 39 th batch,total_time: 2.124865(2.276293),data_time: 2.043734(2.180308),train_time: 0.081131(0.095986)
 40 th batch,total_time: 2.154626(2.273326),data_time: 2.072137(2.177669),train_time: 0.082489(0.095657)
 41 th batch,total_time: 2.173305(2.270944),data_time: 2.091343(2.175614),train_time: 0.081961(0.095331)
 42 th batch,total_time: 2.153892(2.268222),data_time: 2.072426(2.173214),train_time: 0.081465(0.095008)
 43 th batch,total_time: 2.174670(2.266096),data_time: 2.091819(2.171364),train_time: 0.082851(0.094732)
 44 th batch,total_time: 2.189152(2.264386),data_time: 2.106448(2.169922),train_time: 0.082704(0.094465)
 45 th batch,total_time: 2.220108(2.263424),data_time: 2.138134(2.169231),train_time: 0.081974(0.094193)
 46 th batch,total_time: 2.157148(2.261162),data_time: 2.076003(2.167247),train_time: 0.081145(0.093915)
 47 th batch,total_time: 2.097688(2.257757),data_time: 2.019958(2.164179),train_time: 0.077730(0.093578)
 48 th batch,total_time: 2.216568(2.256916),data_time: 2.135565(2.163595),train_time: 0.081003(0.093322)
 49 th batch,total_time: 2.276441(2.257307),data_time: 2.192827(2.164179),train_time: 0.083614(0.093127)
 50 th batch,total_time: 2.176793(2.255728),data_time: 2.095789(2.162838),train_time: 0.081004(0.092890)
 51 th batch,total_time: 2.193185(2.254525),data_time: 2.111445(2.161850),train_time: 0.081740(0.092675)
 52 th batch,total_time: 2.170602(2.252942),data_time: 2.089163(2.160478),train_time: 0.081439(0.092463)
 53 th batch,total_time: 2.149146(2.251020),data_time: 2.066628(2.158740),train_time: 0.082518(0.092279)
 54 th batch,total_time: 2.129533(2.248811),data_time: 2.050877(2.156779),train_time: 0.078655(0.092031)
 55 th batch,total_time: 2.152049(2.247083),data_time: 2.071938(2.155264),train_time: 0.080111(0.091819)
 56 th batch,total_time: 2.205982(2.246362),data_time: 2.124169(2.154719),train_time: 0.081813(0.091643)
 57 th batch,total_time: 2.250781(2.246438),data_time: 2.168191(2.154951),train_time: 0.082590(0.091487)
 58 th batch,total_time: 2.194495(2.245558),data_time: 2.110997(2.154206),train_time: 0.083498(0.091351)
