Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
Use GPU: 2 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
 0 th batch,total_time: 47.006726(47.006726),data_time: 46.191854(46.191854),train_time: 0.814872(0.814872)
 1 th batch,total_time: 0.053379(23.530052),data_time: 0.001794(23.096824),train_time: 0.051584(0.433228)
 2 th batch,total_time: 0.025778(15.695294),data_time: 0.001660(15.398436),train_time: 0.024118(0.296858)
 3 th batch,total_time: 0.041941(11.781956),data_time: 0.017556(11.553216),train_time: 0.024385(0.228740)
 4 th batch,total_time: 0.042557(9.434076),data_time: 0.017835(9.246140),train_time: 0.024722(0.187936)
 5 th batch,total_time: 0.037050(7.867905),data_time: 0.017267(7.707994),train_time: 0.019784(0.159911)
 6 th batch,total_time: 0.036983(6.749202),data_time: 0.020861(6.609832),train_time: 0.016122(0.139370)
 7 th batch,total_time: 0.041198(5.910702),data_time: 0.024706(5.786692),train_time: 0.016492(0.124010)
 8 th batch,total_time: 0.042295(5.258656),data_time: 0.025523(5.146562),train_time: 0.016772(0.112095)
 9 th batch,total_time: 0.041797(4.736971),data_time: 0.024436(4.634349),train_time: 0.017361(0.102621)
 10 th batch,total_time: 0.040241(4.309995),data_time: 0.024202(4.215245),train_time: 0.016039(0.094750)
 11 th batch,total_time: 0.040962(3.954242),data_time: 0.024759(3.866038),train_time: 0.016203(0.088205)
 12 th batch,total_time: 0.042485(3.653338),data_time: 0.024367(3.570525),train_time: 0.018118(0.082813)
 13 th batch,total_time: 0.050375(3.395983),data_time: 0.024431(3.317232),train_time: 0.025944(0.078751)
 14 th batch,total_time: 0.040555(3.172288),data_time: 0.013841(3.097006),train_time: 0.026714(0.075282)
 15 th batch,total_time: 0.039963(2.976518),data_time: 0.013192(2.904268),train_time: 0.026771(0.072250)
 16 th batch,total_time: 0.039766(2.803768),data_time: 0.013267(2.734209),train_time: 0.026499(0.069559)
 17 th batch,total_time: 0.040165(2.650234),data_time: 0.013618(2.583065),train_time: 0.026547(0.067169)
 18 th batch,total_time: 0.041797(2.512948),data_time: 0.013103(2.447804),train_time: 0.028694(0.065144)
 19 th batch,total_time: 0.040334(2.389317),data_time: 0.012639(2.326046),train_time: 0.027696(0.063272)
