Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
Use GPU: 2 for training
=> creating model 'resnet18'
worker_num : 16
@@ 非dummy数据集加载
 0 th batch,total_time: 53.248033(53.248033),data_time: 51.850051(51.850051),train_time: 1.397982(1.397982)
 1 th batch,total_time: 0.128580(26.688306),data_time: 0.006720(25.928385),train_time: 0.121860(0.759921)
 2 th batch,total_time: 0.055618(17.810743),data_time: 0.006107(17.287626),train_time: 0.049511(0.523118)
 3 th batch,total_time: 0.127162(13.389848),data_time: 0.073828(12.984176),train_time: 0.053334(0.405672)
 4 th batch,total_time: 0.124158(10.736710),data_time: 0.071173(10.401576),train_time: 0.052984(0.335134)
 5 th batch,total_time: 0.125118(8.968111),data_time: 0.070891(8.679795),train_time: 0.054227(0.288316)
 6 th batch,total_time: 0.124189(7.704694),data_time: 0.069849(7.449803),train_time: 0.054340(0.254891)
 7 th batch,total_time: 0.114775(6.755954),data_time: 0.070090(6.527338),train_time: 0.044685(0.228615)
 8 th batch,total_time: 0.132386(6.020002),data_time: 0.079675(5.810931),train_time: 0.052711(0.209070)
 9 th batch,total_time: 0.123817(5.430383),data_time: 0.071791(5.237017),train_time: 0.052026(0.193366)
 10 th batch,total_time: 0.127387(4.948293),data_time: 0.072285(4.767496),train_time: 0.055102(0.180797)
 11 th batch,total_time: 0.125592(4.546401),data_time: 0.069725(4.376015),train_time: 0.055867(0.170386)
 12 th batch,total_time: 0.121935(4.206058),data_time: 0.068700(4.044683),train_time: 0.053235(0.161374)
 13 th batch,total_time: 0.125698(3.914603),data_time: 0.070736(3.760830),train_time: 0.054963(0.153773)
 14 th batch,total_time: 0.111730(3.661078),data_time: 0.069185(3.514720),train_time: 0.042545(0.146358)
 15 th batch,total_time: 0.123706(3.439993),data_time: 0.081347(3.300134),train_time: 0.042359(0.139858)
 16 th batch,total_time: 0.133250(3.245478),data_time: 0.081805(3.110821),train_time: 0.051445(0.134657)
 17 th batch,total_time: 0.122908(3.072002),data_time: 0.072719(2.942038),train_time: 0.050189(0.129965)
 18 th batch,total_time: 0.125226(2.916909),data_time: 0.074331(2.791106),train_time: 0.050895(0.125803)
 19 th batch,total_time: 0.127443(2.777435),data_time: 0.073087(2.655205),train_time: 0.054355(0.122231)
 20 th batch,total_time: 0.121908(2.650982),data_time: 0.069643(2.532083),train_time: 0.052265(0.118899)
 21 th batch,total_time: 0.125015(2.536165),data_time: 0.071772(2.420250),train_time: 0.053243(0.115915)
 22 th batch,total_time: 0.125528(2.431355),data_time: 0.070910(2.318105),train_time: 0.054618(0.113250)
 23 th batch,total_time: 0.123452(2.335192),data_time: 0.069458(2.224411),train_time: 0.053995(0.110781)
 24 th batch,total_time: 0.115643(2.246410),data_time: 0.069990(2.138235),train_time: 0.045652(0.108176)
 25 th batch,total_time: 0.129209(2.164979),data_time: 0.078193(2.059002),train_time: 0.051016(0.105977)
 26 th batch,total_time: 0.126055(2.089464),data_time: 0.073043(1.985448),train_time: 0.053011(0.104015)
 27 th batch,total_time: 0.121866(2.019192),data_time: 0.070962(1.917074),train_time: 0.050905(0.102119)
 28 th batch,total_time: 0.124207(1.953848),data_time: 0.073414(1.853499),train_time: 0.050793(0.100349)
