Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 32
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 32
@@ 非dummy数据集加载
Use GPU: 2 for training
=> creating model 'resnet18'
worker_num : 32
@@ 非dummy数据集加载
 0 th batch,total_time: 104.339124(104.339124),data_time: 102.912120(102.912120),train_time: 1.427004(1.427004)
 1 th batch,total_time: 0.242134(52.290629),data_time: 0.007360(51.459740),train_time: 0.234774(0.830889)
 2 th batch,total_time: 0.056207(34.879155),data_time: 0.006383(34.308621),train_time: 0.049824(0.570534)
 3 th batch,total_time: 0.329531(26.241749),data_time: 0.278293(25.801039),train_time: 0.051239(0.440710)
 4 th batch,total_time: 0.157253(21.024850),data_time: 0.105821(20.661996),train_time: 0.051431(0.362854)
 5 th batch,total_time: 0.160529(17.547463),data_time: 0.108850(17.236471),train_time: 0.051679(0.310992)
 6 th batch,total_time: 0.130387(15.059309),data_time: 0.077667(14.785214),train_time: 0.052720(0.274096)
 7 th batch,total_time: 0.191696(13.200858),data_time: 0.135808(12.954038),train_time: 0.055888(0.246820)
 8 th batch,total_time: 0.122483(11.747705),data_time: 0.069185(11.522387),train_time: 0.053299(0.225317)
 9 th batch,total_time: 0.131477(10.586082),data_time: 0.078775(10.378026),train_time: 0.052701(0.208056)
 10 th batch,total_time: 0.126750(9.635234),data_time: 0.071838(9.441100),train_time: 0.054913(0.194134)
 11 th batch,total_time: 0.122110(8.842473),data_time: 0.069583(8.660140),train_time: 0.052526(0.182333)
 12 th batch,total_time: 0.124077(8.171828),data_time: 0.071844(7.999502),train_time: 0.052233(0.172325)
 13 th batch,total_time: 0.125057(7.597058),data_time: 0.072424(7.433282),train_time: 0.052633(0.163776)
 14 th batch,total_time: 0.124682(7.098900),data_time: 0.071947(6.942527),train_time: 0.052735(0.156373)
 15 th batch,total_time: 0.125184(6.663043),data_time: 0.071646(6.513097),train_time: 0.053538(0.149946)
 16 th batch,total_time: 0.122427(6.278301),data_time: 0.071109(6.134156),train_time: 0.051319(0.144144)
 17 th batch,total_time: 0.124832(5.936441),data_time: 0.073253(5.797439),train_time: 0.051579(0.139002)
 18 th batch,total_time: 0.123833(5.630514),data_time: 0.072546(5.496129),train_time: 0.051287(0.134385)
 19 th batch,total_time: 0.125043(5.355241),data_time: 0.073205(5.224983),train_time: 0.051838(0.130258)
 20 th batch,total_time: 0.116018(5.105754),data_time: 0.072715(4.979637),train_time: 0.043303(0.126117)
 21 th batch,total_time: 0.132844(4.879713),data_time: 0.081058(4.756974),train_time: 0.051787(0.122739)
 22 th batch,total_time: 0.124565(4.672967),data_time: 0.072490(4.553301),train_time: 0.052075(0.119666)
 23 th batch,total_time: 0.124800(4.483460),data_time: 0.072416(4.366597),train_time: 0.052384(0.116863)
 24 th batch,total_time: 0.126293(4.309174),data_time: 0.072186(4.194821),train_time: 0.054107(0.114353)
 25 th batch,total_time: 0.126422(4.148298),data_time: 0.071191(4.036220),train_time: 0.055231(0.112079)
 26 th batch,total_time: 0.126008(3.999325),data_time: 0.070112(3.889327),train_time: 0.055896(0.109998)
 27 th batch,total_time: 0.122967(3.860883),data_time: 0.070336(3.752934),train_time: 0.052631(0.107949)
 28 th batch,total_time: 0.123847(3.732020),data_time: 0.072055(3.626007),train_time: 0.051792(0.106013)
 29 th batch,total_time: 0.124271(3.611762),data_time: 0.072504(3.507557),train_time: 0.051767(0.104204)
 30 th batch,total_time: 0.127940(3.499380),data_time: 0.072628(3.396753),train_time: 0.055312(0.102627)
 31 th batch,total_time: 0.121449(3.393820),data_time: 0.068954(3.292759),train_time: 0.052495(0.101061)
 32 th batch,total_time: 0.124162(3.294740),data_time: 0.071487(3.195145),train_time: 0.052675(0.099594)
 33 th batch,total_time: 0.123932(3.201481),data_time: 0.071494(3.103273),train_time: 0.052438(0.098207)
 34 th batch,total_time: 0.124013(3.113553),data_time: 0.071980(3.016665),train_time: 0.052034(0.096888)
 35 th batch,total_time: 0.124783(3.030531),data_time: 0.071978(2.934868),train_time: 0.052805(0.095664)
 36 th batch,total_time: 0.123713(2.951969),data_time: 0.071417(2.857477),train_time: 0.052296(0.094492)
 37 th batch,total_time: 0.123334(2.877531),data_time: 0.071797(2.784170),train_time: 0.051537(0.093361)
 38 th batch,total_time: 0.128532(2.807044),data_time: 0.072570(2.714642),train_time: 0.055962(0.092402)
 39 th batch,total_time: 0.124628(2.739983),data_time: 0.068001(2.648476),train_time: 0.056627(0.091508)
 40 th batch,total_time: 0.122090(2.676132),data_time: 0.067795(2.585532),train_time: 0.054296(0.090600)
 41 th batch,total_time: 0.124481(2.615379),data_time: 0.070119(2.525641),train_time: 0.054362(0.089737)
 42 th batch,total_time: 0.126865(2.557506),data_time: 0.069908(2.468531),train_time: 0.056958(0.088975)
 43 th batch,total_time: 0.119738(2.502103),data_time: 0.067325(2.413958),train_time: 0.052414(0.088144)
 44 th batch,total_time: 0.124724(2.449272),data_time: 0.071718(2.361909),train_time: 0.053006(0.087363)
 45 th batch,total_time: 0.123719(2.398717),data_time: 0.071628(2.312120),train_time: 0.052092(0.086597)
 46 th batch,total_time: 0.114459(2.350115),data_time: 0.072257(2.264463),train_time: 0.042202(0.085652)
 47 th batch,total_time: 0.126296(2.303786),data_time: 0.082869(2.219013),train_time: 0.043427(0.084772)
 48 th batch,total_time: 0.157056(2.259975),data_time: 0.110336(2.175979),train_time: 0.046720(0.083996)
 49 th batch,total_time: 0.132345(2.217422),data_time: 0.079565(2.134051),train_time: 0.052780(0.083371)
 50 th batch,total_time: 0.127456(2.176443),data_time: 0.071499(2.093609),train_time: 0.055958(0.082834)
 51 th batch,total_time: 0.124481(2.136982),data_time: 0.069815(2.054690),train_time: 0.054666(0.082292)
 52 th batch,total_time: 0.128951(2.099094),data_time: 0.069400(2.017231),train_time: 0.059551(0.081863)
 53 th batch,total_time: 0.125020(2.062537),data_time: 0.069048(1.981154),train_time: 0.055972(0.081384)
 54 th batch,total_time: 0.125530(2.027319),data_time: 0.069740(1.946401),train_time: 0.055790(0.080918)
 55 th batch,total_time: 0.120757(1.993273),data_time: 0.068513(1.912867),train_time: 0.052244(0.080406)
 56 th batch,total_time: 0.128815(1.960564),data_time: 0.072278(1.880576),train_time: 0.056537(0.079988)
 57 th batch,total_time: 0.124139(1.928901),data_time: 0.067734(1.849320),train_time: 0.056406(0.079581)
 58 th batch,total_time: 0.119378(1.898231),data_time: 0.069012(1.819145),train_time: 0.050366(0.079086)
 59 th batch,total_time: 0.126534(1.868703),data_time: 0.073480(1.790051),train_time: 0.053053(0.078652)
 60 th batch,total_time: 0.123862(1.840099),data_time: 0.071878(1.761884),train_time: 0.051984(0.078215)
 61 th batch,total_time: 0.124867(1.812434),data_time: 0.072128(1.734630),train_time: 0.052739(0.077804)
 62 th batch,total_time: 0.123075(1.785619),data_time: 0.071766(1.708235),train_time: 0.051309(0.077383)
