Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 4
@@ 非dummy数据集加载
Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 4
@@ 非dummy数据集加载
Use GPU: 2 for training
=> creating model 'resnet18'
worker_num : 4
@@ 非dummy数据集加载
 0 th batch,total_time: 21.169862(21.169862),data_time: 12.146763(12.146763),train_time: 9.023099(9.023099)
 1 th batch,total_time: 0.050454(10.610158),data_time: 0.002944(6.074853),train_time: 0.047510(4.535305)
 2 th batch,total_time: 0.026160(7.082159),data_time: 0.001791(4.050499),train_time: 0.024369(3.031660)
 3 th batch,total_time: 0.043312(5.322447),data_time: 0.016382(3.041970),train_time: 0.026931(2.280477)
 4 th batch,total_time: 0.037598(4.265477),data_time: 0.012413(2.436059),train_time: 0.025185(1.829419)
 5 th batch,total_time: 0.188321(3.585951),data_time: 0.157784(2.056346),train_time: 0.030537(1.529605)
 6 th batch,total_time: 0.043126(3.079833),data_time: 0.014275(1.764622),train_time: 0.028851(1.315212)
 7 th batch,total_time: 0.043985(2.700352),data_time: 0.017232(1.546198),train_time: 0.026753(1.154154)
 8 th batch,total_time: 0.039447(2.404696),data_time: 0.014334(1.375991),train_time: 0.025113(1.028705)
 9 th batch,total_time: 0.132155(2.177442),data_time: 0.102945(1.248686),train_time: 0.029210(0.928756)
 10 th batch,total_time: 0.076104(1.986411),data_time: 0.045907(1.139343),train_time: 0.030197(0.847069)
 11 th batch,total_time: 0.042904(1.824452),data_time: 0.015449(1.045685),train_time: 0.027455(0.778768)
 12 th batch,total_time: 0.039762(1.687169),data_time: 0.013360(0.966275),train_time: 0.026402(0.720893)
 13 th batch,total_time: 0.138103(1.576521),data_time: 0.106739(0.904880),train_time: 0.031364(0.671641)
 14 th batch,total_time: 0.063203(1.475633),data_time: 0.029115(0.846495),train_time: 0.034088(0.629138)
 15 th batch,total_time: 0.040823(1.385958),data_time: 0.011264(0.794293),train_time: 0.029559(0.591664)
 16 th batch,total_time: 0.078671(1.309058),data_time: 0.051112(0.750577),train_time: 0.027559(0.558481)
 17 th batch,total_time: 0.086140(1.241118),data_time: 0.050933(0.711708),train_time: 0.035207(0.529411)
 18 th batch,total_time: 0.077320(1.179866),data_time: 0.047215(0.676735),train_time: 0.030105(0.503131)
 19 th batch,total_time: 0.045649(1.123155),data_time: 0.013373(0.643566),train_time: 0.032276(0.479589)
 20 th batch,total_time: 0.051841(1.072140),data_time: 0.022500(0.613992),train_time: 0.029341(0.458148)
 21 th batch,total_time: 0.086452(1.027336),data_time: 0.053391(0.588510),train_time: 0.033061(0.438826)
 22 th batch,total_time: 0.090746(0.986615),data_time: 0.059060(0.565490),train_time: 0.031686(0.421124)
 23 th batch,total_time: 0.064555(0.948196),data_time: 0.030118(0.543183),train_time: 0.034437(0.405012)
 24 th batch,total_time: 0.040935(0.911905),data_time: 0.009924(0.521853),train_time: 0.031011(0.390052)
 25 th batch,total_time: 0.122601(0.881547),data_time: 0.088629(0.505190),train_time: 0.033972(0.376357)
 26 th batch,total_time: 0.067729(0.851406),data_time: 0.041658(0.488023),train_time: 0.026070(0.363383)
 27 th batch,total_time: 0.055978(0.822998),data_time: 0.023257(0.471424),train_time: 0.032721(0.351574)
 28 th batch,total_time: 0.054186(0.796487),data_time: 0.020677(0.455881),train_time: 0.033509(0.340606)
 29 th batch,total_time: 0.111887(0.773667),data_time: 0.078681(0.443308),train_time: 0.033206(0.330359)
 30 th batch,total_time: 0.092497(0.751694),data_time: 0.057788(0.430871),train_time: 0.034709(0.320822)
 31 th batch,total_time: 0.042066(0.729518),data_time: 0.012973(0.417812),train_time: 0.029093(0.311706)
 32 th batch,total_time: 0.053340(0.709028),data_time: 0.018807(0.405721),train_time: 0.034534(0.303307)
 33 th batch,total_time: 0.118273(0.691653),data_time: 0.084715(0.396280),train_time: 0.033558(0.295373)
 34 th batch,total_time: 0.093823(0.674572),data_time: 0.058287(0.386623),train_time: 0.035536(0.287949)
 35 th batch,total_time: 0.041735(0.656993),data_time: 0.010291(0.376169),train_time: 0.031445(0.280824)
 36 th batch,total_time: 0.039771(0.640311),data_time: 0.010305(0.366281),train_time: 0.029466(0.274030)
 37 th batch,total_time: 0.119174(0.626597),data_time: 0.084693(0.358871),train_time: 0.034481(0.267726)
 38 th batch,total_time: 0.069860(0.612322),data_time: 0.036071(0.350594),train_time: 0.033789(0.261728)
 39 th batch,total_time: 0.064461(0.598625),data_time: 0.034651(0.342695),train_time: 0.029810(0.255930)
 40 th batch,total_time: 0.043392(0.585083),data_time: 0.015305(0.334710),train_time: 0.028087(0.250373)
 41 th batch,total_time: 0.105433(0.573663),data_time: 0.073107(0.328481),train_time: 0.032326(0.245181)
 42 th batch,total_time: 0.050587(0.561498),data_time: 0.019843(0.321304),train_time: 0.030744(0.240194)
 43 th batch,total_time: 0.080658(0.550570),data_time: 0.047330(0.315077),train_time: 0.033328(0.235493)
 44 th batch,total_time: 0.043796(0.539308),data_time: 0.012177(0.308346),train_time: 0.031619(0.230962)
 45 th batch,total_time: 0.107227(0.529915),data_time: 0.067544(0.303111),train_time: 0.039684(0.226804)
 46 th batch,total_time: 0.037748(0.519444),data_time: 0.008533(0.296844),train_time: 0.029214(0.222600)
 47 th batch,total_time: 0.073847(0.510160),data_time: 0.041236(0.291518),train_time: 0.032612(0.218642)
 48 th batch,total_time: 0.041380(0.500593),data_time: 0.010130(0.285776),train_time: 0.031250(0.214818)
 49 th batch,total_time: 0.098567(0.492553),data_time: 0.062192(0.281304),train_time: 0.036376(0.211249)
 50 th batch,total_time: 0.052065(0.483916),data_time: 0.019679(0.276174),train_time: 0.032387(0.207742)
 51 th batch,total_time: 0.080517(0.476158),data_time: 0.051566(0.271855),train_time: 0.028950(0.204303)
 52 th batch,total_time: 0.041206(0.467952),data_time: 0.012833(0.266968),train_time: 0.028373(0.200984)
 53 th batch,total_time: 0.097499(0.461091),data_time: 0.062792(0.263187),train_time: 0.034707(0.197905)
 54 th batch,total_time: 0.041065(0.453455),data_time: 0.012170(0.258623),train_time: 0.028895(0.194832)
 55 th batch,total_time: 0.105489(0.447241),data_time: 0.079834(0.255430),train_time: 0.025655(0.191811)
 56 th batch,total_time: 0.168071(0.442343),data_time: 0.138827(0.253384),train_time: 0.029244(0.188959)
 57 th batch,total_time: 0.218164(0.438478),data_time: 0.188673(0.252269),train_time: 0.029490(0.186209)
 58 th batch,total_time: 0.037955(0.431689),data_time: 0.012846(0.248211),train_time: 0.025109(0.183479)
 59 th batch,total_time: 0.041311(0.425183),data_time: 0.015568(0.244333),train_time: 0.025743(0.180850)
 60 th batch,total_time: 0.041577(0.418895),data_time: 0.014340(0.240563),train_time: 0.027236(0.178332)
 61 th batch,total_time: 0.146660(0.414504),data_time: 0.116414(0.238560),train_time: 0.030246(0.175943)
 62 th batch,total_time: 0.049000(0.408702),data_time: 0.018682(0.235070),train_time: 0.030318(0.173632)
 63 th batch,total_time: 0.037220(0.402898),data_time: 0.012891(0.231599),train_time: 0.024329(0.171299)
 64 th batch,total_time: 0.043407(0.397367),data_time: 0.017507(0.228305),train_time: 0.025900(0.169062)
 65 th batch,total_time: 0.139389(0.393458),data_time: 0.109760(0.226509),train_time: 0.029629(0.166949)
 66 th batch,total_time: 0.044017(0.388243),data_time: 0.013121(0.223324),train_time: 0.030896(0.164919)
 67 th batch,total_time: 0.049480(0.383261),data_time: 0.016295(0.220279),train_time: 0.033185(0.162981)
 68 th batch,total_time: 0.045659(0.378368),data_time: 0.010744(0.217243),train_time: 0.034915(0.161125)
 69 th batch,total_time: 0.149326(0.375096),data_time: 0.114232(0.215771),train_time: 0.035094(0.159325)
 70 th batch,total_time: 0.040661(0.370386),data_time: 0.010098(0.212874),train_time: 0.030563(0.157511)
 71 th batch,total_time: 0.041322(0.365815),data_time: 0.012944(0.210097),train_time: 0.028378(0.155718)
 72 th batch,total_time: 0.041527(0.361373),data_time: 0.013097(0.207399),train_time: 0.028430(0.153974)
 73 th batch,total_time: 0.152941(0.358556),data_time: 0.120931(0.206230),train_time: 0.032009(0.152326)
 74 th batch,total_time: 0.039907(0.354308),data_time: 0.011617(0.203635),train_time: 0.028289(0.150672)
 75 th batch,total_time: 0.040791(0.350183),data_time: 0.012652(0.201123),train_time: 0.028139(0.149060)
 76 th batch,total_time: 0.039919(0.346153),data_time: 0.013519(0.198686),train_time: 0.026400(0.147467)
 77 th batch,total_time: 0.177978(0.343997),data_time: 0.144228(0.197988),train_time: 0.033750(0.146009)
 78 th batch,total_time: 0.039789(0.340146),data_time: 0.009969(0.195608),train_time: 0.029820(0.144538)
 79 th batch,total_time: 0.038486(0.336376),data_time: 0.011945(0.193312),train_time: 0.026541(0.143063)
 80 th batch,total_time: 0.039568(0.332711),data_time: 0.014046(0.191099),train_time: 0.025522(0.141612)
 81 th batch,total_time: 0.139296(0.330353),data_time: 0.106430(0.190066),train_time: 0.032866(0.140286)
 82 th batch,total_time: 0.042107(0.326880),data_time: 0.011724(0.187918),train_time: 0.030382(0.138962)
 83 th batch,total_time: 0.071835(0.323843),data_time: 0.047238(0.186243),train_time: 0.024596(0.137600)
 84 th batch,total_time: 0.041216(0.320518),data_time: 0.016114(0.184242),train_time: 0.025101(0.136277)
 85 th batch,total_time: 0.120418(0.318192),data_time: 0.089262(0.183137),train_time: 0.031155(0.135055)
 86 th batch,total_time: 0.043978(0.315040),data_time: 0.012081(0.181171),train_time: 0.031897(0.133869)
 87 th batch,total_time: 0.101056(0.312608),data_time: 0.076065(0.179977),train_time: 0.024991(0.132632)
