Use GPU: 1 for training
=> creating model 'resnet18'
worker_num : 32
@@ 非dummy数据集加载
Use GPU: 2 for training
=> creating model 'resnet18'
worker_num : 32
@@ 非dummy数据集加载
Use GPU: 0 for training
=> creating model 'resnet18'
worker_num : 32
@@ 非dummy数据集加载
 0 th batch,total_time: 94.682322(94.682322),data_time: 94.269202(94.269202),train_time: 0.413121(0.413121)
 1 th batch,total_time: 0.030648(47.356485),data_time: 0.001134(47.135168),train_time: 0.029514(0.221317)
 2 th batch,total_time: 0.020445(31.577805),data_time: 0.000582(31.423639),train_time: 0.019863(0.154166)
 3 th batch,total_time: 0.028904(23.690580),data_time: 0.000905(23.567956),train_time: 0.027999(0.122624)
 4 th batch,total_time: 0.028474(18.958159),data_time: 0.000918(18.854548),train_time: 0.027556(0.103610)
 5 th batch,total_time: 0.032815(15.803935),data_time: 0.001081(15.712304),train_time: 0.031734(0.091631)
 6 th batch,total_time: 0.032320(13.550847),data_time: 0.001058(13.467840),train_time: 0.031262(0.083007)
 7 th batch,total_time: 0.029272(11.860650),data_time: 0.000894(11.784472),train_time: 0.028378(0.076178)
 8 th batch,total_time: 0.028428(10.545959),data_time: 0.001099(10.475208),train_time: 0.027329(0.070751)
 9 th batch,total_time: 0.029238(9.494287),data_time: 0.001009(9.427788),train_time: 0.028230(0.066498)
 10 th batch,total_time: 0.028733(8.633782),data_time: 0.000846(8.570793),train_time: 0.027887(0.062988)
 11 th batch,total_time: 0.031921(7.916960),data_time: 0.004355(7.856924),train_time: 0.027566(0.060037)
 12 th batch,total_time: 0.028530(7.310158),data_time: 0.001299(7.252645),train_time: 0.027231(0.057513)
 13 th batch,total_time: 0.029660(6.790122),data_time: 0.002781(6.734797),train_time: 0.026878(0.055325)
 14 th batch,total_time: 0.032258(6.339598),data_time: 0.004541(6.286114),train_time: 0.027718(0.053484)
 15 th batch,total_time: 0.029112(5.945193),data_time: 0.002162(5.893367),train_time: 0.026949(0.051826)
 16 th batch,total_time: 0.030308(5.597258),data_time: 0.004688(5.546974),train_time: 0.025621(0.050284)
 17 th batch,total_time: 0.031228(5.288034),data_time: 0.005246(5.239100),train_time: 0.025982(0.048934)
 18 th batch,total_time: 0.029568(5.011273),data_time: 0.002950(4.963513),train_time: 0.026618(0.047760)
 19 th batch,total_time: 0.031043(4.762261),data_time: 0.003253(4.715500),train_time: 0.027790(0.046761)
 20 th batch,total_time: 0.027780(4.536810),data_time: 0.001673(4.491032),train_time: 0.026106(0.045778)
 21 th batch,total_time: 0.031113(4.332005),data_time: 0.004172(4.287084),train_time: 0.026941(0.044921)
 22 th batch,total_time: 0.029742(4.144951),data_time: 0.001443(4.100752),train_time: 0.028299(0.044199)
 23 th batch,total_time: 0.029016(3.973453),data_time: 0.000992(3.929928),train_time: 0.028024(0.043525)
 24 th batch,total_time: 0.029854(3.815709),data_time: 0.001048(3.772773),train_time: 0.028805(0.042936)
 25 th batch,total_time: 0.029855(3.670099),data_time: 0.001902(3.627740),train_time: 0.027953(0.042360)
 26 th batch,total_time: 0.029324(3.535256),data_time: 0.001795(3.493446),train_time: 0.027529(0.041810)
 27 th batch,total_time: 0.030030(3.410069),data_time: 0.001685(3.368740),train_time: 0.028345(0.041330)
 28 th batch,total_time: 0.029225(3.293488),data_time: 0.001122(3.252615),train_time: 0.028102(0.040873)
 29 th batch,total_time: 0.030799(3.184732),data_time: 0.003852(3.144323),train_time: 0.026946(0.040409)
 30 th batch,total_time: 0.031067(3.083001),data_time: 0.002250(3.042966),train_time: 0.028817(0.040035)
 31 th batch,total_time: 0.029263(2.987572),data_time: 0.001429(2.947918),train_time: 0.027834(0.039654)
 32 th batch,total_time: 0.028201(2.897894),data_time: 0.001061(2.858619),train_time: 0.027140(0.039275)
 33 th batch,total_time: 0.033763(2.813655),data_time: 0.001489(2.774586),train_time: 0.032275(0.039069)
 34 th batch,total_time: 0.032280(2.734187),data_time: 0.001178(2.695346),train_time: 0.031102(0.038841)
 35 th batch,total_time: 0.027894(2.659012),data_time: 0.001142(2.620507),train_time: 0.026752(0.038505)
 36 th batch,total_time: 0.028494(2.587917),data_time: 0.000992(2.549709),train_time: 0.027502(0.038208)
 37 th batch,total_time: 0.030353(2.520613),data_time: 0.001069(2.482639),train_time: 0.029285(0.037973)
 38 th batch,total_time: 0.030389(2.456761),data_time: 0.001044(2.419009),train_time: 0.029345(0.037752)
 39 th batch,total_time: 0.029710(2.396084),data_time: 0.001625(2.358574),train_time: 0.028085(0.037510)
 40 th batch,total_time: 0.032533(2.338437),data_time: 0.001098(2.301075),train_time: 0.031435(0.037362)
 41 th batch,total_time: 0.032302(2.283529),data_time: 0.000932(2.246309),train_time: 0.031370(0.037219)
 42 th batch,total_time: 0.027483(2.231063),data_time: 0.001047(2.194094),train_time: 0.026436(0.036969)
 43 th batch,total_time: 0.029947(2.181037),data_time: 0.003242(2.144302),train_time: 0.026705(0.036735)
 44 th batch,total_time: 0.030549(2.133249),data_time: 0.002501(2.096706),train_time: 0.028048(0.036542)
 45 th batch,total_time: 0.028404(2.087491),data_time: 0.001205(2.051152),train_time: 0.027199(0.036339)
 46 th batch,total_time: 0.029270(2.043699),data_time: 0.002313(2.007560),train_time: 0.026958(0.036140)
 47 th batch,total_time: 0.032475(2.001799),data_time: 0.005810(1.965857),train_time: 0.026665(0.035942)
 48 th batch,total_time: 0.032260(1.961604),data_time: 0.005555(1.925850),train_time: 0.026706(0.035754)
 49 th batch,total_time: 0.028399(1.922940),data_time: 0.002384(1.887381),train_time: 0.026015(0.035559)
 50 th batch,total_time: 0.030535(1.885834),data_time: 0.003517(1.850443),train_time: 0.027018(0.035391)
 51 th batch,total_time: 0.031052(1.850165),data_time: 0.003070(1.814916),train_time: 0.027982(0.035249)
 52 th batch,total_time: 0.028515(1.815794),data_time: 0.001682(1.780704),train_time: 0.026833(0.035090)
 53 th batch,total_time: 0.030852(1.782740),data_time: 0.004281(1.747808),train_time: 0.026571(0.034932)
 54 th batch,total_time: 0.029592(1.750865),data_time: 0.002350(1.716072),train_time: 0.027243(0.034793)
 55 th batch,total_time: 0.031743(1.720166),data_time: 0.005726(1.685530),train_time: 0.026017(0.034636)
 56 th batch,total_time: 0.031725(1.690544),data_time: 0.005456(1.656055),train_time: 0.026269(0.034489)
 57 th batch,total_time: 0.030062(1.661915),data_time: 0.004063(1.627572),train_time: 0.026000(0.034343)
 58 th batch,total_time: 0.028506(1.634230),data_time: 0.003287(1.600042),train_time: 0.025219(0.034188)
 59 th batch,total_time: 0.031224(1.607513),data_time: 0.005005(1.573458),train_time: 0.026218(0.034055)
 60 th batch,total_time: 0.029685(1.581647),data_time: 0.004305(1.547734),train_time: 0.025380(0.033913)
 61 th batch,total_time: 0.034550(1.556694),data_time: 0.003357(1.522825),train_time: 0.031193(0.033869)
 62 th batch,total_time: 0.028917(1.532444),data_time: 0.001010(1.498669),train_time: 0.027907(0.033775)
 63 th batch,total_time: 0.029215(1.508956),data_time: 0.001448(1.475275),train_time: 0.027767(0.033681)
 64 th batch,total_time: 0.029190(1.486190),data_time: 0.001002(1.452594),train_time: 0.028188(0.033596)
 65 th batch,total_time: 0.032017(1.464157),data_time: 0.001032(1.430601),train_time: 0.030986(0.033557)
 66 th batch,total_time: 0.031070(1.442768),data_time: 0.001036(1.409264),train_time: 0.030034(0.033504)
 67 th batch,total_time: 0.028926(1.421976),data_time: 0.001053(1.388555),train_time: 0.027873(0.033421)
 68 th batch,total_time: 0.029123(1.401790),data_time: 0.001328(1.368450),train_time: 0.027795(0.033340)
 69 th batch,total_time: 0.029355(1.382184),data_time: 0.002883(1.348942),train_time: 0.026472(0.033242)
 70 th batch,total_time: 0.028313(1.363115),data_time: 0.002716(1.329981),train_time: 0.025597(0.033134)
 71 th batch,total_time: 0.028419(1.344578),data_time: 0.003597(1.311559),train_time: 0.024822(0.033018)
 72 th batch,total_time: 0.030362(1.326575),data_time: 0.004446(1.293653),train_time: 0.025916(0.032921)
 73 th batch,total_time: 0.030874(1.309065),data_time: 0.003730(1.276222),train_time: 0.027143(0.032843)
 74 th batch,total_time: 0.028287(1.291988),data_time: 0.001347(1.259224),train_time: 0.026940(0.032764)
 75 th batch,total_time: 0.029290(1.275374),data_time: 0.001206(1.242671),train_time: 0.028084(0.032703)
 76 th batch,total_time: 0.031365(1.259218),data_time: 0.003074(1.226572),train_time: 0.028291(0.032645)
 77 th batch,total_time: 0.028299(1.243437),data_time: 0.000957(1.210859),train_time: 0.027343(0.032578)
 78 th batch,total_time: 0.029536(1.228071),data_time: 0.001071(1.195545),train_time: 0.028465(0.032525)
 79 th batch,total_time: 0.030023(1.213095),data_time: 0.001380(1.180618),train_time: 0.028643(0.032477)
 80 th batch,total_time: 0.029627(1.198485),data_time: 0.001675(1.166064),train_time: 0.027952(0.032421)
 81 th batch,total_time: 0.031129(1.184249),data_time: 0.002154(1.151869),train_time: 0.028975(0.032379)
 82 th batch,total_time: 0.029364(1.170334),data_time: 0.001126(1.138005),train_time: 0.028238(0.032329)
 83 th batch,total_time: 0.028866(1.156745),data_time: 0.000913(1.124468),train_time: 0.027953(0.032277)
 84 th batch,total_time: 0.028685(1.143474),data_time: 0.001534(1.111257),train_time: 0.027150(0.032217)
 85 th batch,total_time: 0.029896(1.130525),data_time: 0.000991(1.098347),train_time: 0.028905(0.032178)
 86 th batch,total_time: 0.029776(1.117873),data_time: 0.001026(1.085734),train_time: 0.028750(0.032139)
 87 th batch,total_time: 0.030836(1.105520),data_time: 0.003258(1.073433),train_time: 0.027578(0.032087)
 88 th batch,total_time: 0.036461(1.093509),data_time: 0.005087(1.061430),train_time: 0.031374(0.032079)
 89 th batch,total_time: 0.026438(1.081652),data_time: 0.000926(1.049646),train_time: 0.025513(0.032006)
 90 th batch,total_time: 0.031261(1.070109),data_time: 0.004760(1.038164),train_time: 0.026500(0.031946)
 91 th batch,total_time: 0.030347(1.058808),data_time: 0.003440(1.026917),train_time: 0.026907(0.031891)
 92 th batch,total_time: 0.030210(1.047748),data_time: 0.003151(1.015909),train_time: 0.027059(0.031839)
 93 th batch,total_time: 0.028507(1.036905),data_time: 0.001274(1.005115),train_time: 0.027232(0.031790)
 94 th batch,total_time: 0.030365(1.026309),data_time: 0.002416(0.994560),train_time: 0.027949(0.031749)
 95 th batch,total_time: 0.029684(1.015928),data_time: 0.002142(0.984222),train_time: 0.027542(0.031706)
 96 th batch,total_time: 0.029422(1.005758),data_time: 0.002365(0.974100),train_time: 0.027056(0.031658)
 97 th batch,total_time: 0.031102(0.995812),data_time: 0.002746(0.964188),train_time: 0.028356(0.031624)
 98 th batch,total_time: 0.036051(0.986118),data_time: 0.002532(0.954475),train_time: 0.033519(0.031643)
 99 th batch,total_time: 0.030360(0.976560),data_time: 0.001532(0.944945),train_time: 0.028828(0.031615)
 100 th batch,total_time: 0.029108(0.967179),data_time: 0.001882(0.935608),train_time: 0.027226(0.031571)
 101 th batch,total_time: 0.032201(0.958013),data_time: 0.005187(0.926486),train_time: 0.027014(0.031527)
 102 th batch,total_time: 0.029860(0.949002),data_time: 0.001912(0.917510),train_time: 0.027948(0.031492)
 103 th batch,total_time: 0.029926(0.940164),data_time: 0.003447(0.908721),train_time: 0.026479(0.031444)
 104 th batch,total_time: 0.031220(0.931508),data_time: 0.004383(0.900108),train_time: 0.026837(0.031400)
 105 th batch,total_time: 0.033319(0.923034),data_time: 0.005307(0.891666),train_time: 0.028012(0.031368)
 106 th batch,total_time: 0.030398(0.914692),data_time: 0.005463(0.883384),train_time: 0.024934(0.031308)
 107 th batch,total_time: 0.028396(0.906486),data_time: 0.003841(0.875240),train_time: 0.024555(0.031245)
 108 th batch,total_time: 0.030197(0.898446),data_time: 0.005882(0.867264),train_time: 0.024315(0.031182)
 109 th batch,total_time: 0.028830(0.890541),data_time: 0.004864(0.859424),train_time: 0.023966(0.031116)
 110 th batch,total_time: 0.030343(0.882791),data_time: 0.005488(0.851731),train_time: 0.024854(0.031060)
 111 th batch,total_time: 0.034363(0.875216),data_time: 0.011000(0.844225),train_time: 0.023363(0.030991)
 112 th batch,total_time: 0.027055(0.867710),data_time: 0.005433(0.836802),train_time: 0.021622(0.030908)
 113 th batch,total_time: 0.029444(0.860357),data_time: 0.007436(0.829527),train_time: 0.022008(0.030830)
 114 th batch,total_time: 0.032143(0.853155),data_time: 0.007840(0.822382),train_time: 0.024303(0.030773)
 115 th batch,total_time: 0.028150(0.846043),data_time: 0.004749(0.815333),train_time: 0.023401(0.030710)
 116 th batch,total_time: 0.032406(0.839089),data_time: 0.007288(0.808427),train_time: 0.025118(0.030662)
 117 th batch,total_time: 0.030690(0.832238),data_time: 0.007100(0.801636),train_time: 0.023590(0.030602)
 118 th batch,total_time: 0.027780(0.825478),data_time: 0.005185(0.794943),train_time: 0.022595(0.030535)
 119 th batch,total_time: 0.034540(0.818886),data_time: 0.006792(0.788375),train_time: 0.027748(0.030511)
 120 th batch,total_time: 0.029358(0.812361),data_time: 0.002991(0.781884),train_time: 0.026367(0.030477)
 121 th batch,total_time: 0.028076(0.805933),data_time: 0.003618(0.775505),train_time: 0.024458(0.030428)
 122 th batch,total_time: 0.030204(0.799626),data_time: 0.006145(0.769250),train_time: 0.024059(0.030376)
 123 th batch,total_time: 0.033533(0.793448),data_time: 0.010578(0.763132),train_time: 0.022955(0.030316)
 124 th batch,total_time: 0.033234(0.787366),data_time: 0.010437(0.757110),train_time: 0.022797(0.030256)
 125 th batch,total_time: 0.035407(0.781398),data_time: 0.006836(0.751156),train_time: 0.028571(0.030243)
 126 th batch,total_time: 0.027991(0.775466),data_time: 0.002153(0.745258),train_time: 0.025839(0.030208)
 127 th batch,total_time: 0.031353(0.769653),data_time: 0.005608(0.739479),train_time: 0.025746(0.030173)
 128 th batch,total_time: 0.031356(0.763929),data_time: 0.006881(0.733800),train_time: 0.024476(0.030129)
 129 th batch,total_time: 0.030897(0.758291),data_time: 0.003270(0.728181),train_time: 0.027627(0.030110)
 130 th batch,total_time: 0.031447(0.752742),data_time: 0.001591(0.722634),train_time: 0.029856(0.030108)
 131 th batch,total_time: 0.029469(0.747263),data_time: 0.001058(0.717168),train_time: 0.028411(0.030095)
 132 th batch,total_time: 0.031477(0.741881),data_time: 0.003396(0.711801),train_time: 0.028081(0.030080)
 133 th batch,total_time: 0.030373(0.736571),data_time: 0.002495(0.706508),train_time: 0.027878(0.030063)
 134 th batch,total_time: 0.031288(0.731347),data_time: 0.005289(0.701314),train_time: 0.025999(0.030033)
 135 th batch,total_time: 0.030483(0.726194),data_time: 0.003325(0.696181),train_time: 0.027158(0.030012)
 136 th batch,total_time: 0.029839(0.721111),data_time: 0.003170(0.691123),train_time: 0.026669(0.029988)
 137 th batch,total_time: 0.032189(0.716118),data_time: 0.005291(0.686153),train_time: 0.026898(0.029965)
 138 th batch,total_time: 0.030263(0.711184),data_time: 0.003753(0.681244),train_time: 0.026510(0.029941)
 139 th batch,total_time: 0.028850(0.706310),data_time: 0.002908(0.676398),train_time: 0.025942(0.029912)
 140 th batch,total_time: 0.031177(0.701522),data_time: 0.003775(0.671628),train_time: 0.027402(0.029894)
 141 th batch,total_time: 0.030403(0.696796),data_time: 0.005156(0.666935),train_time: 0.025247(0.029861)
 142 th batch,total_time: 0.029989(0.692133),data_time: 0.007765(0.662325),train_time: 0.022224(0.029808)
 143 th batch,total_time: 0.030303(0.687537),data_time: 0.007814(0.657780),train_time: 0.022490(0.029757)
 144 th batch,total_time: 0.028894(0.682995),data_time: 0.006104(0.653286),train_time: 0.022790(0.029709)
 145 th batch,total_time: 0.030248(0.678524),data_time: 0.006183(0.648853),train_time: 0.024065(0.029671)
 146 th batch,total_time: 0.031168(0.674120),data_time: 0.005697(0.644478),train_time: 0.025471(0.029642)
 147 th batch,total_time: 0.029958(0.669768),data_time: 0.005876(0.640163),train_time: 0.024082(0.029604)
 148 th batch,total_time: 0.030203(0.665475),data_time: 0.005737(0.635905),train_time: 0.024466(0.029570)
 149 th batch,total_time: 0.030815(0.661244),data_time: 0.006185(0.631707),train_time: 0.024630(0.029537)
 150 th batch,total_time: 0.028110(0.657051),data_time: 0.005323(0.627559),train_time: 0.022787(0.029492)
 151 th batch,total_time: 0.032037(0.652939),data_time: 0.006490(0.623473),train_time: 0.025547(0.029466)
 152 th batch,total_time: 0.029413(0.648864),data_time: 0.003933(0.619424),train_time: 0.025481(0.029440)
 153 th batch,total_time: 0.031790(0.644857),data_time: 0.006368(0.615443),train_time: 0.025422(0.029414)
 154 th batch,total_time: 0.028553(0.640881),data_time: 0.004452(0.611501),train_time: 0.024101(0.029380)
 155 th batch,total_time: 0.031426(0.636974),data_time: 0.007126(0.607627),train_time: 0.024301(0.029347)
 156 th batch,total_time: 0.030892(0.633114),data_time: 0.006495(0.603798),train_time: 0.024397(0.029316)
 157 th batch,total_time: 0.030246(0.629298),data_time: 0.007205(0.600022),train_time: 0.023041(0.029276)
 158 th batch,total_time: 0.028939(0.625522),data_time: 0.006406(0.596289),train_time: 0.022533(0.029234)
 159 th batch,total_time: 0.031868(0.621812),data_time: 0.010156(0.592625),train_time: 0.021712(0.029187)
 160 th batch,total_time: 0.033605(0.618158),data_time: 0.012380(0.589021),train_time: 0.021225(0.029137)
 161 th batch,total_time: 0.029719(0.614526),data_time: 0.009490(0.585444),train_time: 0.020229(0.029082)
 162 th batch,total_time: 0.030258(0.610942),data_time: 0.010634(0.581917),train_time: 0.019624(0.029024)
 163 th batch,total_time: 0.031060(0.607406),data_time: 0.012156(0.578443),train_time: 0.018903(0.028962)
 164 th batch,total_time: 0.029596(0.603904),data_time: 0.010766(0.575003),train_time: 0.018830(0.028901)
 165 th batch,total_time: 0.029623(0.600444),data_time: 0.011092(0.571606),train_time: 0.018530(0.028839)
 166 th batch,total_time: 0.028602(0.597020),data_time: 0.010407(0.568245),train_time: 0.018194(0.028775)
 167 th batch,total_time: 0.032035(0.593657),data_time: 0.013905(0.564946),train_time: 0.018130(0.028711)
 168 th batch,total_time: 0.030978(0.590328),data_time: 0.012969(0.561679),train_time: 0.018008(0.028648)
 169 th batch,total_time: 0.031947(0.587043),data_time: 0.013959(0.558458),train_time: 0.017987(0.028585)
 170 th batch,total_time: 0.032229(0.583799),data_time: 0.014281(0.555275),train_time: 0.017948(0.028523)
 171 th batch,total_time: 0.032502(0.580593),data_time: 0.013674(0.552126),train_time: 0.018828(0.028467)
 172 th batch,total_time: 0.030873(0.577416),data_time: 0.012172(0.549005),train_time: 0.018701(0.028410)
 173 th batch,total_time: 0.030476(0.574272),data_time: 0.011338(0.545915),train_time: 0.019138(0.028357)
 174 th batch,total_time: 0.028573(0.571154),data_time: 0.009242(0.542849),train_time: 0.019331(0.028306)
 175 th batch,total_time: 0.033682(0.568100),data_time: 0.011570(0.539830),train_time: 0.022111(0.028270)
 176 th batch,total_time: 0.028839(0.565054),data_time: 0.007988(0.536825),train_time: 0.020851(0.028228)
 177 th batch,total_time: 0.030666(0.562051),data_time: 0.010046(0.533866),train_time: 0.020620(0.028186)
 178 th batch,total_time: 0.031857(0.559089),data_time: 0.009472(0.530936),train_time: 0.022385(0.028153)
 179 th batch,total_time: 0.029376(0.556147),data_time: 0.007746(0.528030),train_time: 0.021630(0.028117)
 180 th batch,total_time: 0.031839(0.553250),data_time: 0.011008(0.525173),train_time: 0.020831(0.028077)
 181 th batch,total_time: 0.033753(0.550395),data_time: 0.013655(0.522363),train_time: 0.020097(0.028033)
 182 th batch,total_time: 0.029260(0.547548),data_time: 0.009056(0.519558),train_time: 0.020203(0.027990)
 183 th batch,total_time: 0.030723(0.544739),data_time: 0.011158(0.516795),train_time: 0.019565(0.027944)
 184 th batch,total_time: 0.030302(0.541958),data_time: 0.010558(0.514058),train_time: 0.019744(0.027900)
 185 th batch,total_time: 0.028109(0.539196),data_time: 0.009141(0.511344),train_time: 0.018968(0.027852)
 186 th batch,total_time: 0.031660(0.536481),data_time: 0.012820(0.508678),train_time: 0.018840(0.027804)
 187 th batch,total_time: 0.031848(0.533797),data_time: 0.013611(0.506044),train_time: 0.018238(0.027753)
 188 th batch,total_time: 0.031907(0.531142),data_time: 0.013836(0.503440),train_time: 0.018071(0.027702)
 189 th batch,total_time: 0.031400(0.528512),data_time: 0.012364(0.500855),train_time: 0.019036(0.027656)
 190 th batch,total_time: 0.030635(0.525905),data_time: 0.010436(0.498288),train_time: 0.020199(0.027617)
 191 th batch,total_time: 0.032736(0.523336),data_time: 0.009216(0.495741),train_time: 0.023521(0.027596)
 192 th batch,total_time: 0.028520(0.520772),data_time: 0.006359(0.493205),train_time: 0.022161(0.027568)
 193 th batch,total_time: 0.031964(0.518253),data_time: 0.007822(0.490703),train_time: 0.024142(0.027550)
 194 th batch,total_time: 0.028754(0.515743),data_time: 0.005008(0.488212),train_time: 0.023746(0.027530)
 195 th batch,total_time: 0.031340(0.513271),data_time: 0.005740(0.485751),train_time: 0.025600(0.027521)
 196 th batch,total_time: 0.033326(0.510835),data_time: 0.006788(0.483319),train_time: 0.026538(0.027516)
 197 th batch,total_time: 0.033583(0.508424),data_time: 0.005423(0.480906),train_time: 0.028160(0.027519)
 198 th batch,total_time: 0.024249(0.505991),data_time: 0.000703(0.478493),train_time: 0.023547(0.027499)
 199 th batch,total_time: 0.032558(0.503624),data_time: 0.005822(0.476129),train_time: 0.026736(0.027495)
 200 th batch,total_time: 0.030292(0.501269),data_time: 0.003543(0.473778),train_time: 0.026749(0.027491)
 201 th batch,total_time: 0.029793(0.498935),data_time: 0.005000(0.471457),train_time: 0.024793(0.027478)
 202 th batch,total_time: 0.031283(0.496632),data_time: 0.007192(0.469170),train_time: 0.024091(0.027461)
 203 th batch,total_time: 0.032082(0.494354),data_time: 0.009799(0.466919),train_time: 0.022284(0.027436)
 204 th batch,total_time: 0.030796(0.492093),data_time: 0.007718(0.464679),train_time: 0.023077(0.027415)
 205 th batch,total_time: 0.032469(0.489862),data_time: 0.006422(0.462454),train_time: 0.026047(0.027408)
 206 th batch,total_time: 0.029572(0.487638),data_time: 0.002476(0.460232),train_time: 0.027096(0.027407)
 207 th batch,total_time: 0.029775(0.485437),data_time: 0.002625(0.458032),train_time: 0.027151(0.027405)
 208 th batch,total_time: 0.030377(0.483260),data_time: 0.004461(0.455862),train_time: 0.025916(0.027398)
 209 th batch,total_time: 0.030083(0.481102),data_time: 0.002227(0.453701),train_time: 0.027856(0.027400)
 210 th batch,total_time: 0.025271(0.478941),data_time: 0.001086(0.451556),train_time: 0.024185(0.027385)
