epoch,phase,gpu_load,memory_used,memory_allocated,memory_cached,duration,batch_size,worker_num,prefetch_factor
0,data_loading,0.0,393.0,61.06640625,84.0,0.5386123657226562,32,8,1
0,data_loading,1.0,1641.0,166.7919921875,1252.0,0.0032906532287597656,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0028815269470214844,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.003452301025390625,32,8,1
0,data_loading,16.0,1641.0,164.9169921875,1252.0,0.0027761459350585938,32,8,1
0,data_loading,1.0,1641.0,164.2919921875,1252.0,0.002902507781982422,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0030274391174316406,32,8,1
0,data_loading,5.0,1641.0,164.2919921875,1252.0,0.003247499465942383,32,8,1
0,data_loading,1.0,1641.0,164.9169921875,1252.0,0.0029845237731933594,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0029914379119873047,32,8,1
0,data_loading,11.0,1641.0,164.9169921875,1252.0,0.002905607223510742,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.003088712692260742,32,8,1
0,data_loading,5.0,1641.0,164.9169921875,1252.0,0.0032873153686523438,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0029752254486083984,32,8,1
0,data_loading,1.0,1641.0,164.9169921875,1252.0,0.0029151439666748047,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.002986907958984375,32,8,1
0,data_loading,21.0,1641.0,164.9169921875,1252.0,0.0033223628997802734,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.003045320510864258,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0031507015228271484,32,8,1
0,data_loading,11.0,1641.0,164.2919921875,1252.0,0.0028672218322753906,32,8,1
0,data_loading,21.0,1641.0,164.9169921875,1252.0,0.0033292770385742188,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0033416748046875,32,8,1
0,data_loading,16.0,1641.0,164.9169921875,1252.0,0.0032966136932373047,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0039179325103759766,32,8,1
0,data_loading,5.0,1641.0,164.9169921875,1252.0,0.0029230117797851562,32,8,1
0,data_loading,21.0,1641.0,164.2919921875,1252.0,0.0033359527587890625,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.002928495407104492,32,8,1
0,data_loading,15.0,1641.0,164.2919921875,1252.0,0.002933025360107422,32,8,1
0,data_loading,1.0,1641.0,164.9169921875,1252.0,0.0029261112213134766,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0033817291259765625,32,8,1
0,data_loading,8.0,1641.0,164.9169921875,1252.0,0.0031287670135498047,32,8,1
0,data_loading,1.0,1641.0,164.2919921875,1252.0,0.002931356430053711,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0029022693634033203,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.003443479537963867,32,8,1
0,data_loading,5.0,1641.0,164.9169921875,1252.0,0.0031855106353759766,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0032889842987060547,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0031671524047851562,32,8,1
0,data_loading,14.000000000000002,1641.0,164.2919921875,1252.0,0.002927541732788086,32,8,1
0,data_loading,1.0,1641.0,164.9169921875,1252.0,0.0029222965240478516,32,8,1
0,data_loading,21.0,1641.0,164.2919921875,1252.0,0.0033512115478515625,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.002924680709838867,32,8,1
0,data_loading,15.0,1641.0,164.2919921875,1252.0,0.0033979415893554688,32,8,1
0,data_loading,21.0,1641.0,164.9169921875,1252.0,0.0031599998474121094,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.002949237823486328,32,8,1
0,data_loading,15.0,1641.0,164.9169921875,1252.0,0.0028383731842041016,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0029392242431640625,32,8,1
0,data_loading,21.0,1641.0,164.9169921875,1252.0,0.0033156871795654297,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.003361940383911133,32,8,1
0,data_loading,13.0,1641.0,164.9169921875,1252.0,0.0030128955841064453,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0029859542846679688,32,8,1
0,data_loading,21.0,1641.0,164.9169921875,1252.0,0.0033981800079345703,32,8,1
0,data_loading,1.0,1641.0,164.2919921875,1252.0,0.0029671192169189453,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0033593177795410156,32,8,1
0,data_loading,1.0,1641.0,164.2919921875,1252.0,0.0031020641326904297,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0030236244201660156,32,8,1
0,data_loading,16.0,1641.0,164.2919921875,1252.0,0.004275321960449219,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0033655166625976562,32,8,1
0,data_loading,10.0,1641.0,164.2919921875,1252.0,0.00307464599609375,32,8,1
0,data_loading,1.0,1641.0,164.9169921875,1252.0,0.004444122314453125,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0029752254486083984,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0033655166625976562,32,8,1
0,data_loading,21.0,1641.0,164.2919921875,1252.0,0.003371715545654297,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0030405521392822266,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.002974987030029297,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0039052963256835938,32,8,1
0,data_loading,21.0,1641.0,164.2919921875,1252.0,0.003413677215576172,32,8,1
0,data_loading,19.0,1641.0,164.9169921875,1252.0,0.0034453868865966797,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0034682750701904297,32,8,1
0,data_loading,3.0,1641.0,164.9169921875,1252.0,0.0032927989959716797,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.003011941909790039,32,8,1
0,data_loading,1.0,1641.0,164.9169921875,1252.0,0.0033249855041503906,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0029501914978027344,32,8,1
0,data_loading,16.0,1641.0,164.9169921875,1252.0,0.0029828548431396484,32,8,1
0,data_loading,1.0,1641.0,164.2919921875,1252.0,0.00335693359375,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0026335716247558594,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.0026335716247558594,32,8,1
0,data_loading,19.0,1641.0,164.9169921875,1252.0,0.0026552677154541016,32,8,1
0,data_loading,20.0,1641.0,164.2919921875,1252.0,0.002711057662963867,32,8,1
0,data_loading,14.000000000000002,1641.0,164.9169921875,1252.0,0.002635955810546875,32,8,1
0,data_loading,21.0,1641.0,164.2919921875,1252.0,0.0026595592498779297,32,8,1
0,data_loading,20.0,1641.0,164.9169921875,1252.0,0.0026602745056152344,32,8,1
0,training,14.000000000000002,1641.0,166.7919921875,1252.0,1.1346724033355713,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.1537785530090332,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.10961365699768066,32,8,1
0,training,5.0,1641.0,164.9169921875,1252.0,0.11195015907287598,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.15777087211608887,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.13953185081481934,32,8,1
0,training,16.0,1641.0,164.2919921875,1252.0,0.11132955551147461,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.16795706748962402,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.16311001777648926,32,8,1
0,training,11.0,1641.0,164.9169921875,1252.0,0.13568830490112305,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.13869333267211914,32,8,1
0,training,16.0,1641.0,164.9169921875,1252.0,0.11078548431396484,32,8,1
0,training,5.0,1641.0,164.2919921875,1252.0,0.13799619674682617,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.13783788681030273,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.11098623275756836,32,8,1
0,training,21.0,1641.0,164.9169921875,1252.0,0.11409521102905273,32,8,1
0,training,1.0,1641.0,164.2919921875,1252.0,0.14246845245361328,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.11217570304870605,32,8,1
0,training,10.0,1641.0,164.2919921875,1252.0,0.16199350357055664,32,8,1
0,training,11.0,1641.0,164.9169921875,1252.0,0.10883116722106934,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.10623788833618164,32,8,1
0,training,6.0,1641.0,164.9169921875,1252.0,0.1399986743927002,32,8,1
0,training,16.0,1641.0,164.2919921875,1252.0,0.10706090927124023,32,8,1
0,training,16.0,1641.0,164.9169921875,1252.0,0.16369199752807617,32,8,1
0,training,5.0,1641.0,164.2919921875,1252.0,0.10968804359436035,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.13644838333129883,32,8,1
0,training,7.000000000000001,1641.0,164.2919921875,1252.0,0.10931181907653809,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.1635277271270752,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.13909435272216797,32,8,1
0,training,14.000000000000002,1641.0,164.9169921875,1252.0,0.14297962188720703,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.11686253547668457,32,8,1
0,training,1.0,1641.0,164.9169921875,1252.0,0.1403059959411621,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.13809943199157715,32,8,1
0,training,16.0,1641.0,164.9169921875,1252.0,0.11008906364440918,32,8,1
0,training,5.0,1641.0,164.2919921875,1252.0,0.13605165481567383,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.11223340034484863,32,8,1
0,training,7.000000000000001,1641.0,164.2919921875,1252.0,0.14245390892028809,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.15743541717529297,32,8,1
0,training,1.0,1641.0,164.2919921875,1252.0,0.13631391525268555,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.13336992263793945,32,8,1
0,training,15.0,1641.0,164.2919921875,1252.0,0.11101889610290527,32,8,1
0,training,7.000000000000001,1641.0,164.9169921875,1252.0,0.11059808731079102,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.1384260654449463,32,8,1
0,training,7.000000000000001,1641.0,164.9169921875,1252.0,0.11014509201049805,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.1384122371673584,32,8,1
0,training,1.0,1641.0,164.9169921875,1252.0,0.10773181915283203,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.10898709297180176,32,8,1
0,training,8.0,1641.0,164.9169921875,1252.0,0.16507387161254883,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.16781234741210938,32,8,1
0,training,1.0,1641.0,164.9169921875,1252.0,0.14417076110839844,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.15828251838684082,32,8,1
0,training,1.0,1641.0,164.9169921875,1252.0,0.11085200309753418,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.13463187217712402,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.14133572578430176,32,8,1
0,training,6.0,1641.0,164.2919921875,1252.0,0.14109444618225098,32,8,1
0,training,16.0,1641.0,164.9169921875,1252.0,0.11463403701782227,32,8,1
0,training,10.0,1641.0,164.2919921875,1252.0,0.1839580535888672,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.13495182991027832,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.13597440719604492,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.11046195030212402,32,8,1
0,training,1.0,1641.0,164.2919921875,1252.0,0.10938906669616699,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.17708182334899902,32,8,1
0,training,1.0,1641.0,164.2919921875,1252.0,0.11469745635986328,32,8,1
0,training,20.0,1641.0,164.9169921875,1252.0,0.10801291465759277,32,8,1
0,training,21.0,1641.0,164.2919921875,1252.0,0.11442041397094727,32,8,1
0,training,2.0,1641.0,164.9169921875,1252.0,0.11502861976623535,32,8,1
0,training,20.0,1641.0,164.2919921875,1252.0,0.14265108108520508,32,8,1
