batch_size,batchnum,worker_num,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train
5,2,3,2.522397756576538,0.0005447864532470703,7.566065549850464,0.0005829334259033203,7.414755897521973,0.30838918685913086,0.028895854949951172,0.8444371223449707,0.0518345832824707,0.8285850715637206
5,2,2,1.7934768199920654,0.0006701946258544922,5.379033803939819,0.0007264614105224609,5.271467657089233,0.2897942860921224,0.029441356658935547,0.7969069480895996,0.04303455352783203,0.7818295001983643
5,2,2,1.6361684799194336,0.0007507801055908203,4.906967401504517,0.0007872581481933594,4.80884379863739,0.20638044675191244,0.028349637985229492,0.5430405139923096,0.04775118827819824,0.5331347274780274
5,2,2,1.724000374476115,0.00048351287841796875,5.1710216999053955,0.00049591064453125,5.067611184120178,0.22032904624938965,0.03293800354003906,0.5656616687774658,0.06238746643066406,0.5555961847305297
5,2,6,4.705697298049927,0.0004277229309082031,14.116163969039917,0.0005002021789550781,13.833850693702697,0.2904352347056071,0.02822589874267578,0.788783073425293,0.05429673194885254,0.7740933465957641
5,2,6,4.810779253641765,0.04732632637023926,14.332828044891357,0.05218338966369629,14.047215151786803,0.23458687464396158,0.04709577560424805,0.5291593074798584,0.12750554084777832,0.5211262321472168
5,4,0,0.08246378898620606,0.04998016357421875,0.20624303817749023,0.05215120315551758,0.2001464557647705,0.12393889427185059,0.015665531158447266,0.5059566497802734,0.026793241500854492,0.48783127784729
5,4,1,0.5867331504821778,0.04050278663635254,2.751110792160034,0.047534942626953125,2.6429920959472657,0.13453001976013185,0.04025149345397949,0.47617220878601074,0.04494810104370117,0.4598331832885742
5,4,2,1.159413719177246,0.04550886154174805,5.596600532531738,0.049588680267333984,5.375087394714355,0.16368160247802735,0.046965599060058594,0.5993118286132812,0.05401968955993652,0.5781011009216308
5,4,6,2.976205062866211,0.03664684295654297,14.667952060699463,0.059384822845458984,14.083789310455321,0.15594782829284667,0.04592156410217285,0.5469076633453369,0.05305624008178711,0.5283788013458252
8,4,0,0.07363905906677246,0.05368351936340332,0.12040519714355469,0.061444759368896484,0.11851327896118163,0.11947140693664551,0.03368234634399414,0.44295787811279297,0.0379185676574707,0.42719554901123047
8,4,1,0.6148376941680909,0.07337260246276855,2.7300939559936523,0.09417581558227539,2.6247443389892577,0.1566697597503662,0.04553341865539551,0.5752742290496826,0.046829938888549805,0.5550217533111572
8,4,2,1.1247750759124755,0.0805361270904541,5.264144659042358,0.09032344818115234,5.057899541854858,0.17274255752563478,0.044648170471191406,0.6495141983032227,0.04845237731933594,0.626539249420166
8,4,4,1.911501169204712,0.08547711372375488,9.143203496932983,0.11337065696716309,8.782578010559082,0.15730466842651367,0.04282021522521973,0.5754015445709229,0.04425978660583496,0.5555927371978759
8,4,8,3.8217821598052977,0.07843399047851562,18.67489242553711,0.12463021278381348,17.93326337814331,0.1463602066040039,0.04146170616149902,0.5330333709716797,0.04671931266784668,0.5144018650054931
768,10,0,6.536523222923279,6.470793008804321,6.602253437042236,6.536523222923279,6.600938832759857,0.7858022451400757,0.6588850021362305,0.9127194881439209,0.7858022451400757,0.910181143283844
768,2000,3,13.79076611995697,11.599698066711426,15.981834173202515,13.79076611995697,15.938012812137604,1.486613154411316,1.3177821636199951,1.6554441452026367,1.486613154411316,1.6520675253868102
768,2000,3,1.901729600320903,0.0356898307800293,16.29153275489807,0.48368847370147705,4.953774147033691,0.2092131710738587,0.19646239280700684,1.4042491912841797,0.20778584480285645,0.2178284764289856
512,2000,2,1.9891036063742389,0.024014711380004883,9.416990756988525,1.9829930067062378,3.833521120548248,0.1430542261289845,0.13321948051452637,0.8471872806549072,0.14283668994903564,0.1455585217475891
12,5,6,3.165418187777201,0.1918628215789795,17.73604917526245,0.2606922388076782,16.86401174068451,0.16591970125834146,0.023940086364746094,0.8426423072814941,0.031343698501586914,0.8023227572441103
12,5,12,5.976105968157451,0.18610787391662598,34.66268277168274,0.24907362461090088,32.94358733892442,0.14875435829162598,0.0333554744720459,0.6580319404602051,0.035202741622924805,0.6299952149391175
24,5,6,3.3547662496566772,0.24987554550170898,17.94239640235901,0.48793208599090576,17.070228242874148,0.10147090752919515,0.028382301330566406,0.4413638114929199,0.03305959701538086,0.42143316268920905
24,5,12,6.1805630922317505,0.27603721618652344,35.079859018325806,0.4336642026901245,33.34839956760407,0.14925841490427652,0.03230118751525879,0.6886959075927734,0.03608584403991699,0.6576688885688783
48,5,6,3.6728474696477256,0.48423147201538086,17.894993543624878,0.9219210147857666,17.05096915960312,0.1876202424367269,0.0230405330657959,0.8941671848297119,0.03142046928405762,0.8554966330528261
48,5,12,6.706003665924072,0.5655159950256348,35.542102336883545,1.0080095529556274,33.82059445381165,0.14121770858764648,0.03417062759399414,0.6055753231048584,0.0355072021484375,0.580402708053589
12,5,6,3.1820423205693564,0.270216703414917,17.551828861236572,0.32457435131073,16.69105043411255,0.14902289708455405,0.043503761291503906,0.6580765247344971,0.04517197608947754,0.628084707260132
