batch_size,worker_num,epoch,total_time,data_time,data_whole_time,training_time
16,0,0,6.9183855056762695,3.058828592300415,3.330930709838867,3.5874547958374023
32,0,0,7.164692640304565,3.4574475288391113,3.8005757331848145,3.364116907119751
64,0,0,6.529861927032471,3.070960283279419,3.4319570064544678,3.097904920578003
128,0,0,6.209404945373535,2.964980125427246,3.275763511657715,2.9336414337158203
256,0,0,5.82960844039917,2.8255321979522705,3.0984139442443848,2.731194496154785
512,0,0,5.879303216934204,2.782740592956543,3.05320405960083,2.826099157333374
16,0,0,7.419660329818726,3.39098858833313,3.696831703186035,3.7228286266326904
32,0,0,6.6367809772491455,2.987886667251587,3.28835391998291,3.3484270572662354
64,0,0,6.36725378036499,3.001161813735962,3.3352468013763428,3.0320069789886475
128,0,0,6.308243274688721,3.1311469078063965,3.485990047454834,2.8222532272338867
256,0,0,7.044031620025635,3.932680606842041,4.208086252212524,2.8359453678131104
512,0,0,6.290294647216797,3.085602283477783,3.357506513595581,2.932788133621216
16,0,0,6.275390386581421,2.577221155166626,2.7559561729431152,3.5194342136383057
32,0,0,6.211646795272827,2.7573039531707764,3.0006911754608154,3.2109556198120117
64,0,0,6.3906166553497314,3.076206922531128,3.425597667694092,2.9650189876556396
128,0,0,6.23107385635376,3.062993049621582,3.405574083328247,2.8254997730255127
256,0,0,5.832439422607422,2.813075542449951,3.1023366451263428,2.730102777481079
512,0,0,6.245429754257202,3.0405044555664062,3.3141517639160156,2.9312779903411865
