batch_size,worker_num,epoch,total_time,data_time,data_whole_time,training_time
16,1,0,0.6493399143218994,0.2781410217285156,0.28942441940307617,0.35991549491882324
32,1,0,0.6503174304962158,0.28444528579711914,0.29588937759399414,0.3544280529022217
64,1,0,0.6470036506652832,0.3348269462585449,0.34560465812683105,0.30139899253845215
128,1,0,0.7365596294403076,0.3515892028808594,0.36418581008911133,0.3723738193511963
256,1,0,0.6414003372192383,0.32728123664855957,0.3385486602783203,0.30285167694091797
512,1,0,0.6337230205535889,0.3193204402923584,0.3307065963745117,0.30301642417907715
16,1,0,3.7854623794555664,0.2093343734741211,0.7460989952087402,3.039363384246826
32,1,0,3.471539258956909,0.16395068168640137,0.7078297138214111,2.763709545135498
64,1,0,3.2623250484466553,0.1530163288116455,0.6877646446228027,2.5745604038238525
128,1,0,3.199988603591919,0.2308821678161621,0.7625930309295654,2.4373955726623535
256,1,0,3.1927106380462646,0.31049680709838867,0.8445611000061035,2.348149538040161
512,1,0,3.5814719200134277,0.5816359519958496,1.1220791339874268,2.459392786026001
16,1,0,18.321993827819824,13.472555875778198,14.655713558197021,3.6662802696228027
32,1,0,17.155845880508423,13.454080820083618,14.312991380691528,2.8428544998168945
64,1,0,19.04346776008606,15.620621681213379,16.343769788742065,2.699697971343994
128,1,0,18.814239501953125,15.636251211166382,16.361748933792114,2.4524905681610107
256,1,0,19.442230224609375,16.29704761505127,17.00573992729187,2.436490297317505
512,1,0,18.987764596939087,15.865653991699219,16.54111409187317,2.446650505065918
16,1,0,3.790783166885376,0.20711374282836914,0.745833158493042,3.044950008392334
32,1,0,3.4778099060058594,0.16457629203796387,0.7087271213531494,2.76908278465271
64,1,0,3.2640464305877686,0.15688776969909668,0.6940648555755615,2.569981575012207
128,1,0,3.17436146736145,0.1996021270751953,0.7336628437042236,2.4406986236572266
256,1,0,3.1850640773773193,0.30004429817199707,0.8374483585357666,2.3476157188415527
512,1,0,3.515289545059204,0.531782865524292,1.0609893798828125,2.4543001651763916
16,1,0,3.798008918762207,0.21256470680236816,0.7520947456359863,3.0459141731262207
32,1,0,3.494016170501709,0.16283917427062988,0.7322938442230225,2.7617223262786865
64,1,0,3.2601072788238525,0.15659403800964355,0.6908318996429443,2.569275379180908
128,1,0,3.163007974624634,0.18886590003967285,0.7215759754180908,2.441431999206543
256,1,0,3.185380458831787,0.2973203659057617,0.8353221416473389,2.3500583171844482
512,1,0,3.6069178581237793,0.5915563106536865,1.1529901027679443,2.453927755355835
16,1,0,11.791768074035645,7.307398319244385,8.349117517471313,3.442650556564331
32,1,0,3.97595477104187,0.532731294631958,1.1157166957855225,2.8602380752563477
64,1,0,3.2653770446777344,0.16735315322875977,0.6882507801055908,2.5771262645721436
128,1,0,3.164807081222534,0.2532525062561035,0.733271598815918,2.431535482406616
256,1,0,3.200188398361206,0.3408675193786621,0.8474252223968506,2.3527631759643555
