batch_size,worker_num,epoch,total_time,data_time,data_whole_time,training_time
16,1,0,16.97447943687439,11.848517894744873,12.941148519515991,4.033330917358398
16,2,0,9.30947208404541,4.550761699676514,5.456437349319458,3.853034734725952
16,4,0,5.263757705688477,0.7196645736694336,1.52262282371521,3.7411348819732666
16,8,0,4.915832042694092,0.531090259552002,1.257570743560791,3.658261299133301
16,16,0,5.073746681213379,0.6225447654724121,1.369673728942871,3.704072952270508
32,1,0,17.370607614517212,12.971435785293579,13.833940505981445,3.5366671085357666
32,2,0,9.048969507217407,4.8300065994262695,5.647493124008179,3.4014763832092285
32,4,0,4.3278608322143555,0.4347853660583496,0.9700489044189453,3.35781192779541
32,8,0,4.307270526885986,0.40016937255859375,0.9574418067932129,3.3498287200927734
32,16,0,4.166224241256714,0.4066488742828369,0.9168031215667725,3.2494211196899414
64,1,0,17.27788257598877,13.46312952041626,14.164750337600708,3.1131322383880615
64,2,0,8.609081983566284,4.904729127883911,5.5630059242248535,3.0460760593414307
64,4,0,4.980437517166138,1.1929469108581543,1.854560136795044,3.1258773803710938
64,8,0,4.310738801956177,0.49758243560791016,1.1735084056854248,3.137230396270752
64,16,0,4.402312517166138,0.6182093620300293,1.2683820724487305,3.1339304447174072
128,1,0,17.665517330169678,14.1051766872406,14.76511287689209,2.900404453277588
128,2,0,9.022118330001831,5.343007564544678,6.016660690307617,3.005457639694214
128,4,0,5.166143178939819,1.5256400108337402,2.1780290603637695,2.98811411857605
128,8,0,4.438165664672852,0.8477761745452881,1.4318819046020508,3.006283760070801
128,16,0,4.26255989074707,0.7123327255249023,1.2969274520874023,2.965632438659668
256,1,0,18.178571462631226,14.801774740219116,15.38786506652832,2.7907063961029053
256,2,0,8.766634702682495,5.471628665924072,5.989411115646362,2.777223587036133
256,4,0,6.032622814178467,2.495271682739258,3.1418776512145996,2.890745162963867
256,8,0,4.804652214050293,1.3714213371276855,1.9194536209106445,2.8851985931396484
256,16,0,4.810301780700684,1.3437600135803223,1.89650297164917,2.9137988090515137
512,1,0,18.557542324066162,15.179426431655884,15.734501361846924,2.8230409622192383
512,2,0,11.016632795333862,7.652740955352783,8.204521894454956,2.8121109008789062
512,4,0,7.564294338226318,4.198623895645142,4.729267835617065,2.835026502609253
512,8,0,6.560767412185669,3.1476805210113525,3.7301764488220215,2.8305909633636475
512,16,0,6.931085586547852,3.5771560668945312,4.091799020767212,2.8392865657806396
512,16,0,6.7757720947265625,3.4089038372039795,3.9337053298950195,2.842066764831543
512,16,0,6.756213426589966,3.388328790664673,3.902876615524292,2.853336811065674
512,16,0,6.91952109336853,3.570610284805298,4.073876142501831,2.845644950866699
512,16,0,7.470015525817871,3.795182704925537,4.192328214645386,3.2776873111724854
512,16,0,7.7377049922943115,4.500308513641357,4.899319887161255,2.8383851051330566
32,1,0,16.52115797996521,12.150107860565186,13.030467987060547,3.490689992904663
32,2,0,9.124388456344604,4.885728120803833,5.743732213973999,3.3806562423706055
32,4,0,5.148867130279541,1.0003926753997803,1.77327299118042,3.375594139099121
32,8,0,4.613436222076416,0.5022728443145752,1.2340130805969238,3.379423141479492
32,16,0,4.5741190910339355,0.5624880790710449,1.226701259613037,3.3474178314208984
16,8,0,4.890895128250122,0.44643449783325195,1.1830952167510986,3.7077999114990234
16,16,0,5.146844148635864,0.6424884796142578,1.4338698387145996,3.7129743099212646
32,8,0,4.59560489654541,0.47447681427001953,1.2023050785064697,3.3932998180389404
32,16,0,4.47320294380188,0.4735376834869385,1.0981450080871582,3.3750579357147217
64,8,0,4.299487590789795,0.5468885898590088,1.1517109870910645,3.1477766036987305
64,16,0,4.399877071380615,0.6403622627258301,1.271963357925415,3.1279137134552
128,8,0,4.221981763839722,0.8538224697113037,1.3337342739105225,2.888247489929199
128,16,0,4.323552370071411,0.7284965515136719,1.3699331283569336,2.9536192417144775
256,8,0,5.1351637840271,1.6981110572814941,2.2604923248291016,2.874671459197998
256,16,0,5.182992458343506,1.7068450450897217,2.2544972896575928,2.928495168685913
512,8,0,6.906429290771484,3.5721435546875,4.0859668254852295,2.820462465286255
512,16,0,6.750169992446899,3.4194180965423584,3.9252445697784424,2.824925422668457
