batch_size,worker_num,epoch,total_time,data_time,data_whole_time,training_time
16,0,0,10.229000329971313,6.127590656280518,6.3999011516571045,3.829099178314209
32,0,0,9.94231629371643,6.114501953125,6.437684059143066,3.5046322345733643
64,0,0,9.97513484954834,6.312022686004639,6.725686311721802,3.249448537826538
128,0,0,9.274263858795166,6.149544954299927,6.452455520629883,2.821808338165283
256,0,0,9.149723768234253,6.125333786010742,6.410685300827026,2.7390384674072266
512,0,0,9.135887861251831,6.0614728927612305,6.32406759262085,2.8118202686309814
16,0,0,9.905766487121582,6.0518975257873535,6.3335278034210205,3.5722386837005615
32,0,0,9.800389528274536,6.134652376174927,6.458029270172119,3.342360258102417
64,0,0,10.0029878616333,6.393403053283691,6.767883539199829,3.2351043224334717
128,0,0,9.273299932479858,6.107025861740112,6.440340280532837,2.8329596519470215
256,0,0,9.38785171508789,6.224313735961914,6.55383825302124,2.8340134620666504
512,0,0,9.191359758377075,6.105677127838135,6.373439311981201,2.817920446395874
16,0,0,9.84761118888855,6.085623741149902,6.331281900405884,3.516329288482666
32,0,0,9.735024213790894,6.0570056438446045,6.377835035324097,3.357189178466797
64,0,0,10.037306547164917,6.341238737106323,6.781773567199707,3.25553297996521
128,0,0,9.552014112472534,6.2927305698394775,6.723371982574463,2.8286421298980713
256,0,0,9.520209789276123,6.224722862243652,6.652605772018433,2.8676040172576904
512,0,0,9.164984703063965,6.07959771156311,6.350656986236572,2.8143277168273926
