batch_size,worker_num,epoch,total_time,data_time,data_whole_time,training_time
16,0,0,15.391367197036743,11.15336275100708,11.498562097549438,3.8928050994873047
32,0,0,15.880948781967163,11.998393058776855,12.358538150787354,3.5224106311798096
64,0,0,15.514219284057617,11.801639795303345,12.268407583236694,3.245811700820923
128,0,0,8.551992416381836,5.428251266479492,5.715262413024902,2.8367300033569336
256,0,0,10.89484977722168,7.760239362716675,8.0530366897583,2.841813087463379
512,0,0,11.49807357788086,8.407467365264893,8.679080247879028,2.818993330001831
16,0,0,10.378212451934814,6.533303737640381,6.796017646789551,3.5821948051452637
32,0,0,14.240042448043823,10.377479314804077,10.72507095336914,3.5149714946746826
64,0,0,15.32402515411377,11.625162601470947,12.070777654647827,3.2532474994659424
128,0,0,16.932069540023804,13.531267404556274,13.970420122146606,2.9616494178771973
256,0,0,16.228970050811768,12.977357864379883,13.375056982040405,2.8539130687713623
512,0,0,16.781260013580322,13.47635293006897,13.831214427947998,2.950045585632324
16,0,0,14.413263320922852,10.235861778259277,10.567294836044312,3.84596848487854
32,0,0,15.739338159561157,11.841549634933472,12.214889287948608,3.524448871612549
64,0,0,12.569377660751343,8.881489753723145,9.32055401802063,3.248823642730713
128,0,0,10.960014343261719,7.650966167449951,8.006760120391846,2.953254222869873
256,0,0,11.171581745147705,8.038868188858032,8.329367637634277,2.8422141075134277
512,0,0,15.71190333366394,12.469770669937134,12.792073249816895,2.919830083847046
16,0,0,16.744022130966187,12.378343105316162,12.748642921447754,3.9953792095184326
16,0,0,15.590384483337402,11.26883053779602,11.614171266555786,3.976213216781616
16,0,0,15.612364053726196,11.298922538757324,11.68825387954712,3.924110174179077
32,0,0,12.773653984069824,8.946467876434326,9.288444757461548,3.4852092266082764
32,0,0,15.753107786178589,11.868638515472412,12.230846405029297,3.522261381149292
32,0,0,13.29826807975769,9.4345703125,9.7940673828125,3.5042006969451904
64,0,0,15.3167724609375,11.586615800857544,12.051161289215088,3.265611171722412
64,0,0,14.334697246551514,10.764006853103638,11.217665672302246,3.1170315742492676
64,0,0,14.344603061676025,10.761168003082275,11.211716890335083,3.1328861713409424
128,0,0,16.636059045791626,13.238236904144287,13.678335428237915,2.957723617553711
128,0,0,13.101016998291016,9.700160026550293,10.143551588058472,2.957465410232544
128,0,0,16.2811439037323,12.884183883666992,13.324115514755249,2.957028388977051
256,0,0,16.557955026626587,13.298530101776123,13.692930459976196,2.8650245666503906
256,0,0,15.062545776367188,11.801634311676025,12.210338830947876,2.8522069454193115
256,0,0,15.287095069885254,12.044874668121338,12.414863348007202,2.8722317218780518
512,0,0,10.299571514129639,7.1994123458862305,7.476144790649414,2.8234267234802246
512,0,0,10.03296947479248,6.837591648101807,7.120879888534546,2.9120895862579346
512,0,0,9.671023845672607,6.596887826919556,6.856024265289307,2.814999580383301
16,0,0,15.854232788085938,11.765686273574829,12.08277702331543,3.771455764770508
16,0,0,15.722671031951904,11.360010623931885,11.695989847183228,4.026681184768677
16,0,0,14.426178455352783,10.027743101119995,10.354427814483643,4.071750640869141
32,0,0,14.117383480072021,10.226131200790405,10.591418743133545,3.5259647369384766
32,0,0,14.093089580535889,10.246024131774902,10.581339359283447,3.5117502212524414
32,0,0,14.1591157913208,10.29874563217163,10.649549007415771,3.5095667839050293
64,0,0,15.600330352783203,11.930729150772095,12.377825021743774,3.2225053310394287
64,0,0,14.812694549560547,11.21806788444519,11.707147598266602,3.1055469512939453
64,0,0,9.461901664733887,6.153729438781738,6.4963719844818115,2.965529680252075
128,0,0,16.36436414718628,12.978794574737549,13.406962871551514,2.9574012756347656
128,0,0,10.96925973892212,7.796411991119385,8.140908241271973,2.8283514976501465
128,0,0,13.076703548431396,9.700457572937012,10.118631601333618,2.9580719470977783
256,0,0,14.263864040374756,11.013736963272095,11.407211065292358,2.8566529750823975
256,0,0,16.060195684432983,12.813170433044434,13.20552682876587,2.8546688556671143
256,0,0,13.521805047988892,10.266826391220093,10.660136938095093,2.861668109893799
512,0,0,16.261890649795532,12.944496870040894,13.29885721206665,2.963033437728882
512,0,0,16.557055234909058,13.274050235748291,13.626358032226562,2.930697202682495
512,0,0,16.52600884437561,13.236220359802246,13.587645292282104,2.938363552093506
