batch_size,worker_num,epoch,total_time,data_time,data_whole_time,training_time
16,0,0,0.8936986923217773,0.1650404930114746,0.1682279109954834,0.725470781326294
32,0,0,1.0962018966674805,0.2622494697570801,0.2689969539642334,0.8272049427032471
64,0,0,1.2965126037597656,0.47339534759521484,0.4847097396850586,0.811802864074707
128,0,0,1.7810397148132324,0.9094064235687256,0.9330487251281738,0.8479909896850586
256,0,0,2.554786205291748,1.5628771781921387,1.6043095588684082,0.9504766464233398
512,0,0,4.99540638923645,3.6912498474121094,3.761476755142212,1.2339296340942383
16,1,0,0.9882409572601318,0.1938788890838623,0.20009374618530273,0.7881472110748291
32,1,0,1.0546801090240479,0.3240840435028076,0.33437061309814453,0.7203094959259033
64,1,0,1.3225300312042236,0.5703716278076172,0.5889701843261719,0.7335598468780518
128,1,0,1.8477561473846436,1.0880472660064697,1.1236865520477295,0.7240695953369141
256,1,0,2.6577963829040527,1.7613646984100342,1.831869125366211,0.8259272575378418
512,1,0,4.85217547416687,3.5247061252593994,3.643247365951538,1.208928108215332
16,1,0,0.4675016403198242,0.14516305923461914,0.1504530906677246,0.3170485496520996
32,1,0,0.5936703681945801,0.26592445373535156,0.27618980407714844,0.31748056411743164
64,1,0,0.8580052852630615,0.510218620300293,0.5289318561553955,0.329073429107666
128,1,0,1.412217378616333,1.0097339153289795,1.046217441558838,0.3659999370574951
256,1,0,2.3695974349975586,1.8800761699676514,1.9318623542785645,0.43773508071899414
512,1,0,4.816857099533081,3.927555799484253,4.046564102172852,0.7702929973602295
16,1,0,0.45152878761291504,0.1521015167236328,0.15785455703735352,0.2936742305755615
