batch_size,epoch,total_time,data_time,data_whole_time,training_time
512,0,23.644651412963867,20.82343101501465,21.14330792427063,2.5013434886932373
512,0,20.835976362228394,18.032009840011597,18.33003878593445,2.5059375762939453
512,0,20.329875230789185,17.451188325881958,17.830798387527466,2.4990768432617188
512,0,19.721890211105347,16.905667781829834,17.221787929534912,2.5001022815704346
512,1,19.15367078781128,16.760975122451782,17.076964378356934,2.0767064094543457
512,2,19.70128107070923,17.297635793685913,17.61463761329651,2.0866434574127197
512,3,18.78553795814514,16.38141393661499,16.704291343688965,2.0812466144561768
512,4,18.401990175247192,16.00440287590027,16.322360277175903,2.079629898071289
512,5,18.73944640159607,16.284522533416748,16.650773286819458,2.0886731147766113
512,6,18.91751980781555,16.531705856323242,16.838234901428223,2.079284906387329
512,7,19.412920475006104,17.00622296333313,17.321731328964233,2.09118914604187
512,8,18.65908145904541,16.262630939483643,16.579532861709595,2.0795485973358154
512,9,18.86561417579651,16.467248916625977,16.777689218521118,2.0879249572753906
256,0,19.035707712173462,16.24126362800598,16.61527919769287,2.420428514480591
256,1,18.58198571205139,16.142130851745605,16.478267431259155,2.1037182807922363
256,2,19.610584497451782,17.152412176132202,17.507415771484375,2.1031687259674072
256,3,18.3295419216156,15.871416330337524,16.226196765899658,2.1033451557159424
256,4,18.84753108024597,16.390265703201294,16.744916677474976,2.102614402770996
256,5,19.3685040473938,16.872997760772705,17.264248847961426,2.104255199432373
256,6,18.69464087486267,16.237311601638794,16.5917911529541,2.1028497219085693
256,7,18.805092096328735,16.339523315429688,16.702263593673706,2.1028285026550293
256,8,19.77901530265808,17.284245252609253,17.67642593383789,2.1025893688201904
256,9,19.57158589363098,17.107752799987793,17.468722581863403,2.102863311767578
256,1,0,19.077964067459106,16.09012460708618,16.65159797668457,2.426366090774536
256,2,0,9.61616563796997,6.77947473526001,7.272494316101074,2.3436713218688965
256,4,0,5.9325268268585205,3.01908278465271,3.597677707672119,2.3348491191864014
256,8,0,4.915338039398193,1.8576273918151855,2.494032144546509,2.4213058948516846
256,16,0,4.801726579666138,1.8583335876464844,2.3891992568969727,2.412527322769165
256,32,0,4.96027684211731,1.994805097579956,2.533977746963501,2.4262990951538086
256,64,0,5.084966659545898,2.077141761779785,2.627512216567993,2.4574544429779053
256,128,0,6.102816343307495,3.0981194972991943,3.6200709342956543,2.482745409011841
256,1,0,18.64418864250183,15.703047275543213,16.28529381752014,2.3588948249816895
256,2,0,9.477044582366943,6.473420143127441,7.049244403839111,2.427800178527832
256,4,0,6.109594821929932,3.134121894836426,3.6830692291259766,2.426525592803955
256,8,0,4.686067342758179,1.7213597297668457,2.2707555294036865,2.415311813354492
256,16,0,4.784336805343628,1.8492217063903809,2.3719756603240967,2.4123611450195312
256,32,0,4.855550289154053,1.8959391117095947,2.43036150932312,2.4251887798309326
256,64,0,5.320692777633667,2.2890005111694336,2.8739941120147705,2.4466986656188965
256,128,0,5.999985694885254,2.9841341972351074,3.514296770095825,2.4856889247894287
128,1,0,18.460291862487793,15.3600492477417,15.957412719726562,2.5028791427612305
128,40,0,4.149343967437744,1.1148035526275635,1.6891658306121826,2.4601781368255615
128,1,0,17.32273817062378,14.30262017250061,14.873421907424927,2.4493162631988525
128,2,0,8.901033401489258,5.829926490783691,6.394421100616455,2.5066123008728027
128,4,0,4.883039236068726,1.7830724716186523,2.3858895301818848,2.497149705886841
128,8,0,4.144039154052734,1.0209739208221436,1.6113133430480957,2.5327258110046387
128,16,0,3.7858262062072754,0.8095526695251465,1.3570172786712646,2.4288089275360107
128,32,0,4.059427976608276,1.0184721946716309,1.6109321117401123,2.448495864868164
128,40,0,4.031814813613892,1.0466535091400146,1.5842669010162354,2.4475479125976562
128,64,0,4.383001804351807,1.3204028606414795,1.8660731315612793,2.5169286727905273
128,128,0,5.1071083545684814,1.9228577613830566,2.523585319519043,2.5835230350494385
64,1,0,18.143187761306763,14.758543252944946,15.412211179733276,2.7309765815734863
64,2,0,9.664402723312378,6.323551654815674,7.00428581237793,2.6601169109344482
64,4,0,4.94215989112854,1.6597707271575928,2.291433811187744,2.650726079940796
64,8,0,3.9255826473236084,0.6896059513092041,1.2706077098846436,2.654974937438965
64,16,0,3.9620561599731445,0.655148983001709,1.247314453125,2.7147417068481445
64,32,0,3.9586541652679443,0.7196929454803467,1.3370041847229004,2.621649980545044
64,40,0,4.1767613887786865,0.9390075206756592,1.5467395782470703,2.630021810531616
64,64,0,4.568270206451416,1.2761335372924805,1.92165207862854,2.646618127822876
