batch_size,worker_num,prefetch_factor,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
512,1,1,4.163019461418266,2.3248915672302246,5.081970691680908,4.2172839641571045,4.438053369522095,0.1439252718171077,0.1378188133239746,0.7319161891937256,0.13874006271362305,0.14841461181640625,0.0237803815016106,0.02373790740966797,0.0245819091796875,0.023772001266479492,0.02384328842163086
16,1,1,0.08292830224130668,0.001035451889038086,0.26090288162231445,0.07909893989562988,0.20123910903930664,0.032498775743970684,0.022130727767944336,0.4855926036834717,0.02323174476623535,0.2574111223220825,0.0008900866788976333,0.0008063316345214844,0.0011875629425048828,0.0008826255798339844,0.0010488033294677734
16,1,2,0.11276659311032762,0.0009613037109375,0.32417821884155273,0.11104822158813477,0.2534799575805664,0.030730439167396695,0.015702486038208008,0.4628157615661621,0.022228002548217773,0.2456742525100708,0.0008823591120102827,0.0007944107055664062,0.0011360645294189453,0.0008771419525146484,0.0010200738906860352
16,1,3,0.10852301821989171,0.0009405612945556641,0.3492913246154785,0.10873579978942871,0.26387667655944824,0.0321655694176169,0.016446590423583984,0.4755890369415283,0.02357172966003418,0.2511957883834839,0.0009456241832059972,0.0007941722869873047,0.004095792770385742,0.0008804798126220703,0.0026394128799438477
16,1,4,0.1057892032698089,0.0009336471557617188,0.35174012184143066,0.1070854663848877,0.26405203342437744,0.03214446703592936,0.015295982360839844,0.49759888648986816,0.02285623550415039,0.26317620277404785,0.0008899885065415327,0.0007941722869873047,0.0011682510375976562,0.0008885860443115234,0.0010474920272827148
16,2,1,0.05601912853764553,0.0009691715240478516,0.42450618743896484,0.04462885856628418,0.2910839319229126,0.031203541101193895,0.016046762466430664,0.46253538131713867,0.022449016571044922,0.24500000476837158,0.0008777777353922526,0.0008006095886230469,0.0011487007141113281,0.00087738037109375,0.0010294914245605469
16,2,2,0.0447693151586196,0.0009324550628662109,0.3698244094848633,0.038339853286743164,0.2522693872451782,0.032065882402307844,0.016453027725219727,0.4818904399871826,0.023414134979248047,0.254591703414917,0.000881807476866479,0.0007944107055664062,0.0011513233184814453,0.0008797645568847656,0.0010304450988769531
16,2,3,0.04763997769823261,0.0010309219360351562,0.43399572372436523,0.0014951229095458984,0.29467809200286865,0.032419433780744966,0.01587843894958496,0.53680419921875,0.022704601287841797,0.28158116340637207,0.0008835465300316904,0.00080108642578125,0.0011816024780273438,0.0008730888366699219,0.001067042350769043
16,2,4,0.04468286271188773,0.0010302066802978516,0.4041578769683838,0.010596990585327148,0.27816617488861084,0.03397926629758349,0.018929481506347656,0.6142711639404297,0.02210235595703125,0.3204171657562256,0.0008791848724963618,0.0008130073547363281,0.0014467239379882812,0.0008699893951416016,0.001241445541381836
16,4,1,0.01866437407100902,0.03125632977953144,0.37388042698454366,0.0009381771087646484,0.41558313369750977,0.0023851394653320312,0.24334073066711426,0.016142845153808594,0.4744720458984375,0.02265763282775879,0.2512056827545166,0.0009394019257788564,0.0007965564727783203,0.004622936248779297,0.0008702278137207031,0.002890944480895996
16,4,2,0.012148520525764017,0.03196016479940975,0.27542241252950234,0.0009756088256835938,0.3916304111480713,0.0013554096221923828,0.21417629718780518,0.015790700912475586,0.5089626312255859,0.021962642669677734,0.26993608474731445,0.0008649685803581687,0.0007960796356201172,0.00119781494140625,0.0008459091186523438,0.0011212825775146484
16,4,3,0.013018505246031518,0.03284390299927955,0.2838600445139624,0.0009446144104003906,0.42092180252075195,0.0013833045959472656,0.23152458667755127,0.01583242416381836,0.572094202041626,0.02284550666809082,0.3003183603286743,0.0008556328567804075,0.0007920265197753906,0.0011820793151855469,0.0008525848388671875,0.0010946989059448242
16,4,4,0.009381340999229281,0.03341450410730699,0.21921149064530232,0.000985860824584961,0.40946364402770996,0.001287698745727539,0.2084057331085205,0.0161435604095459,0.6392214298248291,0.021889686584472656,0.3317596912384033,0.0008512244505040786,0.0007975101470947266,0.001272439956665039,0.0008380413055419922,0.001172184944152832
16,8,1,0.010110097772934857,0.031585922428205904,0.2424715290371587,0.0009281635284423828,0.44968223571777344,0.001331329345703125,0.2257554531097412,0.0161285400390625,0.4632298946380615,0.023624897003173828,0.245428204536438,0.0008474237778607537,0.0007948875427246094,0.0011985301971435547,0.0008394718170166016,0.0010858774185180664
16,8,2,0.01123486313165403,0.03267503719703824,0.2558617315811299,0.000934600830078125,0.5072555541992188,0.0013179779052734375,0.25466346740722656,0.01617741584777832,0.5718593597412109,0.022507190704345703,0.2983851432800293,0.0008444739323036343,0.0007956027984619141,0.0012066364288330078,0.0008361339569091797,0.0010564327239990234
16,8,3,0.01090387269562366,0.03405593423282399,0.2425249003621587,0.0009593963623046875,0.491455078125,0.001313924789428711,0.2466278076171875,0.016615629196166992,0.6095075607299805,0.02303910255432129,0.31835973262786865,0.0008441747403612323,0.000797271728515625,0.0011844635009765625,0.0008380413055419922,0.0010491609573364258
16,8,4,0.010862551483453489,0.03380526748358035,0.24318517748695925,0.0009200572967529297,0.4871792793273926,0.0013260841369628906,0.24585914611816406,0.015815019607543945,0.6557071208953857,0.02226114273071289,0.3416484594345093,0.0008433659871419271,0.0007920265197753906,0.0012438297271728516,0.0008375644683837891,0.001106858253479004
16,16,1,0.0129091552659577,0.03157767595029345,0.2901792488479592,0.0009260177612304688,0.5945994853973389,0.0013282299041748047,0.29813289642333984,0.011612176895141602,0.571826696395874,0.021892786026000977,0.2993577718734741,0.0008458109462962431,0.0007808208465576172,0.0011899471282958984,0.0008382797241210938,0.0010834932327270508
16,16,2,0.012396078483731138,0.03681675125570858,0.25188713084297165,0.0009391307830810547,0.5648713111877441,0.0013241767883300781,0.28353118896484375,0.016388654708862305,0.743668794631958,0.022752761840820312,0.38696765899658203,0.0008701062669941023,0.000797271728515625,0.0014181137084960938,0.0008478164672851562,0.0012545585632324219
16,16,3,0.015349925733080097,0.03685732448802275,0.294019042720535,0.000926971435546875,0.7190208435058594,0.0013082027435302734,0.3602989912033081,0.01593017578125,0.8079771995544434,0.021534442901611328,0.4179253578186035,0.0008504156972847733,0.0007915496826171875,0.001271963119506836,0.0008378028869628906,0.0012710094451904297
16,16,4,0.01152790761461445,0.043131290697583965,0.21090517187555863,0.0010304450988769531,0.5195317268371582,0.0013456344604492188,0.26085329055786133,0.019939899444580078,1.0308241844177246,0.022233009338378906,0.5404373407363892,0.0008605554992077398,0.0008177757263183594,0.0014009475708007812,0.0008423328399658203,0.0012122392654418945
16,32,1,0.014725399952308805,0.03845846886728324,0.2768771862434388,0.0009453296661376953,0.6819553375244141,0.0013451576232910156,0.342418909072876,0.015899181365966797,0.8575959205627441,0.021500349044799805,0.4445430040359497,0.0008878754634483188,0.0007967948913574219,0.002294778823852539,0.0008363723754882812,0.0017908811569213867
16,32,2,0.016233196445539885,0.04358608582440544,0.2713706321698186,0.0010123252868652344,0.7590699195861816,0.0013713836669921875,0.3804659843444824,0.01965951919555664,0.9726860523223877,0.02259230613708496,0.5190069675445557,0.0008608266419055415,0.0008103847503662109,0.0014252662658691406,0.0008432865142822266,0.0012063980102539062
16,32,3,0.01598850418539608,0.05010300056607116,0.2419146643054928,0.0009832382202148438,0.7448701858520508,0.001386880874633789,0.3733806610107422,0.018852949142456055,0.9897751808166504,0.024608373641967773,0.5282629728317261,0.0008737620185403263,0.0008084774017333984,0.0013318061828613281,0.0008478164672851562,0.0011862516403198242
16,32,4,0.01609235183865416,0.05388528692956064,0.2299642017353066,0.0011057853698730469,0.7311246395111084,0.0015420913696289062,0.36989259719848633,0.020191192626953125,0.9322271347045898,0.04065871238708496,0.4975411891937256,0.0008721632115981158,0.0008304119110107422,0.0012340545654296875,0.0008592605590820312,0.0011720657348632812
32,1,1,0.25136369817397175,0.03279419038809982,0.8845916593973556,0.0017769336700439453,0.518547773361206,0.25086355209350586,0.4318455457687378,0.02201700210571289,0.48540210723876953,0.02371072769165039,0.2601304054260254,0.001641694237204159,0.0015423297882080078,0.002387523651123047,0.0016291141510009766,0.0020183324813842773
32,1,2,0.21048390164094813,0.03231423041399788,0.8669090649894907,0.0020503997802734375,0.48982667922973633,0.21108126640319824,0.3876986503601074,0.0188906192779541,0.5175023078918457,0.02193307876586914,0.2777644395828247,0.0016396793664670457,0.0015904903411865234,0.002398967742919922,0.0016217231750488281,0.002026677131652832
32,1,3,0.21475536215539073,0.03238532589931114,0.8689599589844024,0.00176239013671875,0.5181794166564941,0.21765995025634766,0.3925185203552246,0.020926952362060547,0.5083708763122559,0.022710800170898438,0.2721376419067383,0.0016451302696676815,0.0015575885772705078,0.002373933792114258,0.0016269683837890625,0.0020177364349365234
32,1,4,0.22247988102482816,0.03270494236665614,0.8718382154079641,0.0017292499542236328,0.4895634651184082,0.2251133918762207,0.3839975595474243,0.02003955841064453,0.5254364013671875,0.02292037010192871,0.28028225898742676,0.001714327756096335,0.001535654067993164,0.005388975143432617,0.0016252994537353516,0.00389707088470459
32,2,1,0.11493664161831725,0.03212315895978142,0.7815639703474108,0.0016644001007080078,0.5407428741455078,0.08756065368652344,0.3893437385559082,0.01984858512878418,0.49870824813842773,0.022966623306274414,0.266537070274353,0.0016387490665211396,0.001519918441772461,0.003114461898803711,0.0016224384307861328,0.0023823976516723633
32,2,2,0.09191417694091797,0.03312166999368107,0.7351026061269804,0.0016169548034667969,0.5179870128631592,0.013923883438110352,0.3648413419723511,0.02017045021057129,0.5633409023284912,0.022536039352416992,0.2987396717071533,0.0016121490328919654,0.0015108585357666016,0.002489805221557617,0.0016200542449951172,0.0020742416381835938
32,2,3,0.09256785991145115,0.03305195359622731,0.7368890091991178,0.0016028881072998047,0.535698413848877,0.08208656311035156,0.35951340198516846,0.01986527442932129,0.5796091556549072,0.02172064781188965,0.30705106258392334,0.0016561676474178538,0.0015113353729248047,0.003675699234008789,0.0016283988952636719,0.0026656389236450195
32,2,4,0.09860916698680204,0.03223472950505275,0.7536397923837479,0.0016112327575683594,0.5438094139099121,0.0020720958709716797,0.4116014242172241,0.019005298614501953,0.5750539302825928,0.020732402801513672,0.3047384023666382,0.0016119947620466643,0.0015120506286621094,0.0024590492248535156,0.0015976428985595703,0.0020598173141479492
32,4,1,0.04646757537243413,0.03172781888176413,0.5942495183460158,0.0016477108001708984,0.5286755561828613,0.00820302963256836,0.3453274965286255,0.019531726837158203,0.5254256725311279,0.021512269973754883,0.2799941301345825,0.0016008451873180912,0.0015194416046142578,0.0024302005767822266,0.0015769004821777344,0.002034783363342285
