batch_size,batchnum,worker_num,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train
8,3000,4,0.016137801818313778,0.0005657672882080078,11.834248304367065,0.018462419509887695,0.025774717330932617,0.023596404354320453,0.008561849594116211,16.07701802253723,0.01018524169921875,0.03333687782287598
8,3000,8,0.013242362777776061,0.0006532669067382812,22.995208263397217,0.0013475418090820312,0.024312734603881836,0.031092449014721534,0.008601188659667969,16.995407342910767,0.028492450714111328,0.03442072868347168
8,3000,16,0.023794324586328686,0.0005543231964111328,45.421700954437256,0.009057998657226562,0.016558408737182617,0.022822851818508006,0.017945051193237305,0.3889427185058594,0.02201986312866211,0.029773712158203125
8,3000,32,0.03850281306085329,0.0005822181701660156,94.2692015171051,0.0071523189544677734,0.015981674194335938,0.02349106425724201,0.01539754867553711,0.41312074661254883,0.023125886917114258,0.031193017959594727
16,3000,4,0.012123761594950934,0.0011186599731445312,11.44513988494873,0.007223844528198242,0.02565932273864746,0.031455986899401656,0.013404607772827148,16.26160502433777,0.02659773826599121,0.03292512893676758
16,3000,8,0.013338591010917706,0.0011577606201171875,22.23020648956299,0.003545999526977539,0.02396988868713379,0.028607989660464538,0.010804414749145508,6.36872124671936,0.02806234359741211,0.034938812255859375
16,3000,16,0.025576665694615874,0.0010302066802978516,48.523640871047974,0.010128974914550781,0.017235279083251953,0.024016810829978672,0.010985612869262695,0.7872722148895264,0.022325992584228516,0.03379487991333008
16,3000,32,0.042162247714659484,0.0010755062103271484,95.53326606750488,0.010760307312011719,0.022565126419067383,0.026425221489890738,0.01066446304321289,11.359033584594727,0.021648645401000977,0.03285932540893555
32,3000,4,0.04556030609018999,0.0017914772033691406,12.146762609481812,0.0342562198638916,0.11809539794921875,0.029240227111058805,0.015327930450439453,9.023099184036255,0.026098012924194336,0.03358912467956543
32,3000,8,0.026251997164351587,0.0016486644744873047,24.173813104629517,0.015106201171875,0.025869131088256836,0.025091929739215143,0.015109777450561523,9.91448450088501,0.02483844757080078,0.0296323299407959
32,3000,16,0.032339883621276835,0.0016596317291259766,46.19185423851013,0.015293598175048828,0.025899648666381836,0.023984765736352043,0.01531672477722168,0.8148720264434814,0.02503657341003418,0.030213594436645508
32,3000,32,0.04535276990697925,0.0016684532165527344,91.73038649559021,0.014631032943725586,0.021826744079589844,0.025619451064580443,0.01538991928100586,1.2666449546813965,0.02514934539794922,0.0281524658203125
64,3000,4,0.10244022532726518,0.0033690929412841797,12.32463026046753,0.04527401924133301,0.327193021774292,0.038037421503928213,0.02373647689819336,8.800429821014404,0.03526020050048828,0.03998613357543945
64,3000,8,0.04191535347821275,0.0031404495239257812,25.005749225616455,0.03358912467956543,0.0419766902923584,0.03527247345634239,0.024711132049560547,1.2493095397949219,0.03455209732055664,0.040239810943603516
64,3000,16,0.050851908575412,0.0032024383544921875,49.88534331321716,0.03409981727600098,0.043718814849853516,0.03449437785887472,0.024162769317626953,0.7936887741088867,0.034149885177612305,0.04042458534240723
64,3000,32,0.06560802594775639,0.003614664077758789,94.77096390724182,0.034066200256347656,0.043303728103637695,0.03465922845677112,0.02418804168701172,1.359095573425293,0.03403878211975098,0.04057478904724121
128,3000,4,0.20741284461626805,0.006090641021728516,13.708327293395996,0.10226726531982422,0.6832029819488525,0.05079776213511512,0.04053473472595215,0.6298563480377197,0.049941301345825195,0.05544853210449219
128,3000,8,0.08199979304790656,0.0060939788818359375,25.089120626449585,0.07315635681152344,0.08274626731872559,0.05027762153711926,0.04014229774475098,0.8184669017791748,0.05031561851501465,0.05672574043273926
128,3000,16,0.09188431638433552,0.00610661506652832,51.85005068778992,0.0734708309173584,0.08353447914123535,0.049557098425535,0.039846181869506836,1.397981882095337,0.050140380859375,0.0547633171081543
128,3000,32,0.1084494255495564,0.006383419036865234,102.91212010383606,0.0733184814453125,0.08342838287353516,0.05028773672935844,0.040270090103149414,1.4270038604736328,0.05044078826904297,0.05580496788024902
256,3000,4,0.41240965601048124,0.012077808380126953,15.471453666687012,0.21503138542175293,1.2810087203979492,0.08220202149807791,0.07109260559082031,0.7178258895874023,0.08165287971496582,0.08651351928710938
256,3000,8,0.16171746355658648,0.01211690902709961,27.57057285308838,0.15184640884399414,0.16185379028320312,0.08166611079413348,0.07162690162658691,1.3427200317382812,0.08172845840454102,0.08787298202514648
256,3000,16,0.16889021675493748,0.012028694152832031,53.17713260650635,0.15138912200927734,0.1609973907470703,0.08282317745014256,0.07175731658935547,1.5590128898620605,0.08209347724914551,0.08960914611816406
256,3000,32,0.18316707345733083,0.012186765670776367,95.45770120620728,0.15040135383605957,0.16146016120910645,0.08393390637086018,0.0715477466583252,4.744847297668457,0.08282041549682617,0.0887138843536377
512,3000,4,0.8168327493919171,0.02387213706970215,17.32670307159424,0.3142033815383911,2.6629321956634513,0.1455314554851785,0.1338047981262207,1.238342523574829,0.1447056531906128,0.1498984909057617
512,3000,8,0.32392622765114937,0.023865461349487305,28.673264503479004,0.31279075145721436,0.32035677433013915,0.14601393702695314,0.1343364715576172,2.9734182357788086,0.1443995237350464,0.15069337844848632
512,3000,16,0.3359756577405617,0.024203777313232422,57.181434631347656,0.3123307228088379,0.3234507727622986,0.14690532730065947,0.13405442237854004,4.903899908065796,0.144844651222229,0.15056912422180174
512,3000,32,0.35920084809227815,0.024096250534057617,111.59573316574097,0.312811017036438,0.32195021629333487,0.14545415393073113,0.13407611846923828,2.447904109954834,0.1442776918411255,0.1504246830940246
8,2000,0,0.0665563687510874,0.04749798774719238,0.3113718032836914,0.06575989723205566,0.09325575828552246,0.021442401653406086,0.008959770202636719,0.5703949928283691,0.021515607833862305,0.033434391021728516
8,2000,1,0.054388038519916984,0.0008728504180908203,2.8209779262542725,0.053023576736450195,0.06954455375671387,0.024484022446479396,0.017198801040649414,0.3746330738067627,0.024695873260498047,0.031726837158203125
8,2000,2,0.011663082419247224,0.0007512569427490234,5.428720712661743,0.007902145385742188,0.0274045467376709,0.028766392946600734,0.015280961990356445,0.37780094146728516,0.028911113739013672,0.034165382385253906
16,2000,0,0.12574309459154395,0.07869076728820801,0.4189591407775879,0.12404441833496094,0.16121768951416016,0.024482259507300794,0.011812448501586914,0.34853696823120117,0.025600433349609375,0.034288644790649414
