batch_size,worker_num,batch_idx,batch_time,avg_batch,data_time,avg_data,train_time,avg_train
512,2,1,11.911953687667847,11.911953687667847,11.171546697616577,11.171546697616577,0.7404069900512695,0.7404069900512695
512,2,2,0.4530777931213379,6.182515740394592,0.02384781837463379,5.5976972579956055,0.4292299747467041,0.5848184823989868
512,2,3,3.0244343280792236,5.129821936289469,2.8698222637176514,4.688405593236287,0.15461206436157227,0.44141634305318195
512,2,4,0.7767989635467529,4.04156619310379,0.6333253383636475,3.6746355295181274,0.14347362518310547,0.36693066358566284
512,2,5,3.1741907596588135,3.868091106414795,3.0288586616516113,3.545480155944824,0.14533209800720215,0.3226109504699707
512,2,6,0.8415529727935791,3.3636680841445923,0.6958959102630615,3.0705494483311973,0.14565706253051758,0.2931186358133952
512,2,7,3.079362392425537,3.323052985327584,2.9307382106781006,3.0505764143807546,0.14862418174743652,0.27247657094682964
512,2,8,0.9094099998474121,3.021347612142563,0.760096549987793,2.7642664313316345,0.14931344985961914,0.25708118081092834
512,2,9,3.080331802368164,3.0279014110565186,2.9332852363586426,2.7830462985568576,0.14704656600952148,0.2448551124996609
512,2,10,0.9391171932220459,2.819022989273071,0.7903962135314941,2.583781290054321,0.14872097969055176,0.23524169921875
512,2,11,3.005445718765259,2.8359705101359975,2.859781503677368,2.6088722185655073,0.14566421508789062,0.22709829157049005
512,2,12,0.9922771453857422,2.6823293964068093,0.8451054096221924,2.4618916511535645,0.1471717357635498,0.22043774525324503
512,2,13,2.713395833969116,2.6847191223731404,2.568441390991211,2.4700877849872294,0.14495444297790527,0.2146313373859112
512,2,14,1.100557565689087,2.5715647254671365,0.9547920227050781,2.361852373395647,0.1457655429840088,0.2097123520714896
512,2,15,2.7527644634246826,2.58364470799764,2.6082801818847656,2.3782808939615885,0.144484281539917,0.20536381403605145
512,2,16,1.493110179901123,2.5154862999916077,1.3487193584442139,2.3139332979917526,0.14439082145690918,0.20155300199985504
512,2,17,2.727891445159912,2.5279807202956253,2.582568407058716,2.3297353632309856,0.1453230381011963,0.19824535706463983
512,2,18,1.7260849475860596,2.483430955145094,1.580761194229126,2.288125687175327,0.1453237533569336,0.19530526796976724
512,2,19,2.787395477294922,2.4994290878898218,2.6432504653930664,2.3068164649762606,0.14414501190185547,0.19261262291356138
512,2,20,0.9070303440093994,2.4198091506958006,0.7615170478820801,2.2295514941215515,0.14551329612731934,0.19025765657424926
512,2,21,2.9068331718444824,2.4430007707504995,2.762164354324341,2.254914011274065,0.1446688175201416,0.1880867594764346
512,2,22,0.8790059089660645,2.3719100952148438,0.7327277660369873,2.185723727399653,0.14627814292907715,0.1861863678151911
512,2,23,2.958589553833008,2.3974178977634595,2.814835548400879,2.213076415269271,0.1437540054321289,0.18434148249418839
512,2,24,0.8943324089050293,2.3347893357276917,0.7498326301574707,2.152107924222946,0.1444997787475586,0.18268141150474548
512,2,25,2.9384427070617676,2.358935470581055,2.7939114570617676,2.177780065536499,0.14453125,0.18115540504455566
512,2,26,0.9238531589508057,2.303739997056814,0.7783360481262207,2.1239552956361036,0.14551711082458496,0.17978470142071062
512,2,27,2.9298853874206543,2.3269305670702902,2.7855353355407715,2.1484582600770175,0.1443500518798828,0.17847230699327257
512,2,28,0.8535950183868408,2.274311440331595,0.7084653377532959,2.0970299414225986,0.14512968063354492,0.17728149890899658
512,2,29,2.962284564971924,2.2980346515260894,2.817988395690918,2.1218905777766786,0.14429616928100586,0.17614407374941068
512,2,30,0.8711256980895996,2.250471019744873,0.7260432243347168,2.0753623326619466,0.1450824737548828,0.17510868708292643
512,2,31,2.903313636779785,2.271530459004064,2.7586915493011475,2.09740521061805,0.1446220874786377,0.1741252483860139
512,2,32,0.8481056690216064,2.227048434317112,0.704240083694458,2.0538688004016876,0.14386558532714844,0.17317963391542435
512,2,33,2.9212374687194824,2.2480844656626386,2.776594877243042,2.0757695906090015,0.14464259147644043,0.17231487505363696
512,2,34,0.8693509101867676,2.2075334787368774,0.7241101264953613,2.036014900488012,0.14524078369140625,0.17151857824886546
512,2,35,2.9261486530303955,2.2280653408595494,2.7812724113464355,2.057307972226824,0.14487624168395996,0.1707573686327253
512,2,36,0.8470313549041748,2.1897032856941223,0.7020144462585449,2.019660929838816,0.14501690864562988,0.170042355855306
512,2,37,2.8461315631866455,2.2074445904912174,2.7021093368530273,2.038105481379741,0.14402222633361816,0.1693391091114766
512,2,38,0.8628091812133789,2.1720594481418005,0.7194511890411377,2.003404052633988,0.1433579921722412,0.1686553955078125
512,2,39,2.8493669033050537,2.1894263059664993,2.704280376434326,2.0213752404237404,0.14508652687072754,0.16805106554275903
512,2,40,0.857985258102417,2.1561402797698976,0.7134232521057129,1.9886764407157898,0.1445620059967041,0.16746383905410767
512,2,41,2.9322469234466553,2.175069710103477,2.7870514392852783,2.008149001656509,0.14519548416137695,0.16692070844696788
512,2,42,0.7109763622283936,2.1402103446778797,0.5676746368408203,1.9738519929704212,0.14330172538757324,0.1663583517074585
512,2,43,3.006863594055176,2.1603650714075844,2.863543748855591,1.994542498921239,0.14331984519958496,0.16582257248634516
512,2,44,0.6949377059936523,2.127059904011813,0.5519487857818604,1.9617562781680713,0.142988920211792,0.16530362584374167
512,2,45,3.139767646789551,2.149564520517985,2.988798141479492,1.9845794306861029,0.1509695053100586,0.16498508983188206
512,2,46,0.7371640205383301,2.118860161822775,0.5929970741271973,1.9543276403261267,0.1441669464111328,0.16453252149664838
512,2,47,3.2328453063964844,2.1425619734094496,3.088047742843628,1.9784493446350098,0.14479756355285645,0.16411262877444002
512,2,48,0.6528279781341553,2.111525848507881,0.5091373920440674,1.9478386789560318,0.1436905860900879,0.16368716955184937
512,2,49,3.0863616466522217,2.131420456633276,2.941359519958496,1.9681146144866943,0.14500212669372559,0.16330584214658153
512,2,50,0.6051852703094482,2.1008957529067995,0.4609236717224121,1.9379707956314087,0.14426159858703613,0.16292495727539064
512,2,51,3.147523880004883,2.1214178730459774,3.001565456390381,1.9588255929011924,0.14595842361450195,0.16259228014478497
512,2,52,0.6111788749694824,2.0923748153906603,0.4675869941711426,1.9301479275409992,0.14359188079833984,0.16222688784966102
512,2,53,3.062252998352051,2.110674403748422,2.917196273803711,1.9487714812440693,0.14505672454833984,0.16190292250435306
512,2,54,0.5821313858032227,2.082368051564252,0.43746066093444824,1.9207842438309282,0.14467072486877441,0.16158380773332384
512,2,55,3.1226248741149902,2.1012818119742653,2.978567361831665,1.9400166641582142,0.1440575122833252,0.16126514781605114
512,2,56,0.5676956176757812,2.073896344218935,0.4243342876434326,1.912950907434736,0.14336133003234863,0.1609454367841993
512,2,57,3.0717568397521973,2.091402668701975,2.926121950149536,1.9307258380086798,0.14563488960266113,0.16067683069329514
512,2,58,0.5445640087127686,2.0647330366331955,0.4009408950805664,1.904350235544402,0.14362311363220215,0.16038280108879352
512,2,59,3.032536029815674,2.0811364771956105,2.8880608081817627,1.9210232960975777,0.14447522163391113,0.1601131810980328
512,2,60,0.6455972194671631,2.0572108229001365,0.5004363059997559,1.897346846262614,0.14516091346740723,0.1598639766375224
512,2,61,3.0313706398010254,2.0731806559640855,2.8865976333618164,1.9135640722806337,0.14477300643920898,0.15961658368345166
512,2,62,0.560990571975708,2.0487904933191112,0.4175534248352051,1.8894348682895783,0.14343714714050293,0.15935562502953313
512,2,63,2.98675799369812,2.0636788663410006,2.84183406829834,1.904552315908765,0.14492392539978027,0.15912655043223548
512,2,64,0.46224355697631836,2.0386564396321774,0.31690120697021484,1.8797452673316002,0.14534235000610352,0.15891117230057716
512,2,65,3.126659870147705,2.055394953947801,2.981816053390503,1.8967002025017372,0.14484381675720215,0.1586947514460637
512,2,66,0.4529733657836914,2.0311158389756176,0.30939221382141113,1.8726500814611262,0.14358115196228027,0.1584657575144912
512,2,67,3.1978468894958496,2.0485297352520386,3.0532219409942627,1.8902705569765461,0.14462494850158691,0.15825917827549266
512,2,68,0.452897310256958,2.0250645525315227,0.3084142208099365,1.8670079637976253,0.14448308944702148,0.1580565887338975
512,2,69,3.3581299781799316,2.044384341309036,3.210820198059082,1.886483503424603,0.1473097801208496,0.15790083788443302
512,2,70,0.44991397857666016,2.021606193270002,0.3071141242980957,1.8639210837227957,0.14279985427856445,0.15768510954720633
512,2,71,3.076549530029297,2.0364645501257668,2.9317781925201416,1.8789613246917725,0.14477133750915527,0.15750322543399434
512,2,72,0.45098400115966797,2.014443986945682,0.3080894947052002,1.8571436603864033,0.14289450645446777,0.1573003265592787
512,2,73,3.141453266143799,2.029882470222369,2.9954779148101807,1.8727372803100168,0.14597535133361816,0.15714518991235185
512,2,74,0.4508097171783447,2.0085436492352873,0.30756211280822754,1.8515862645329655,0.1432476043701172,0.15695738470232165
512,2,75,3.2359189987182617,2.0249086538950603,3.092202663421631,1.8681278165181479,0.14371633529663086,0.15678083737691242
512,2,76,0.4522590637207031,2.004215896129608,0.3093869686126709,1.8476180685193915,0.14287209510803223,0.15659782761021665
512,2,77,3.3027007579803467,2.0210793358939037,3.1569626331329346,1.8646225433845025,0.1457381248474121,0.156456792509401
512,2,78,0.4513401985168457,2.0009544751583,0.3081502914428711,1.8446677709237123,0.1431899070739746,0.15628670423458785
512,2,79,3.156961441040039,2.0155874747264235,3.010969877243042,1.8594310887252228,0.14599156379699707,0.1561563860012006
512,2,80,0.45098161697387695,1.9960299015045166,0.3068864345550537,1.8400242805480957,0.14409518241882324,0.1560056209564209
512,2,81,3.245950698852539,2.0114610224594305,3.099943161010742,1.8555788346278814,0.14600753784179688,0.155882187831549
512,2,82,0.451519250869751,1.9924373423180928,0.30805492401123047,1.8367065918154832,0.1434643268585205,0.15573075050260962
512,2,83,3.2522730827331543,2.0076160861785155,3.1067469120025635,1.852008282420147,0.14552617073059082,0.15560780375836844
512,2,84,0.45122861862182617,1.9890876639456976,0.3078935146331787,1.8336259637560164,0.14333510398864746,0.15546170018968128
512,2,85,3.2338168621063232,2.003731536865234,3.088344097137451,1.8483873535605038,0.14547276496887207,0.15534418330473057
512,2,86,0.45102953910827637,1.9856768624727117,0.3078286647796631,1.8304738804351453,0.14320087432861328,0.15520298203756644
512,2,87,3.1956708431243896,1.9995848392618114,3.051807403564453,1.8445121967929534,0.14386343955993652,0.15507264246885805
512,2,88,0.4516029357910156,1.9819941358132795,0.30893516540527344,1.8270624577999115,0.1426677703857422,0.15493167801336807
512,2,89,3.183579921722412,1.995495099699899,3.038861036300659,1.8406781721650884,0.14471888542175293,0.1548169275348106
512,2,90,0.45207738876342773,1.978346014022827,0.30882716178894043,1.8236576053831313,0.1432502269744873,0.1546884086396959
512,2,91,3.251988410949707,1.992342084318727,3.1067793369293213,1.8377578441913311,0.14520907402038574,0.1545842401273958
512,2,92,0.45136117935180664,1.9755922918734343,0.30830812454223633,1.8211333907168845,0.1430530548095703,0.15445890115654987
512,2,93,3.2128820419311523,1.98889648273427,3.0678212642669678,1.834538636669036,0.14506077766418457,0.15435784606523412
512,2,94,0.45227813720703125,1.9725494790584484,0.30875229835510254,1.8183068671125047,0.1435258388519287,0.15424261194594363
512,2,95,3.297391176223755,1.9864951811338727,3.1518359184265137,1.8323440150210732,0.1455552577972412,0.1541511661127994
512,2,96,0.45125246047973633,1.970503069460392,0.3086891174316406,1.8164726098378499,0.1425633430480957,0.15403045962254205
512,2,97,3.169346332550049,1.9828622783582235,3.023344039916992,1.8289145833438205,0.14600229263305664,0.15394769501440303
512,2,98,0.45117640495300293,1.9672328306704152,0.3080434799194336,1.8133954904517349,0.14313292503356934,0.15383734021868026
512,2,99,3.084728479385376,1.9785206655059198,2.940610647201538,1.8247815021360763,0.1441178321838379,0.15373916336984345
512,2,100,0.5715205669403076,1.9644506645202637,0.427959680557251,1.8108132839202882,0.14356088638305664,0.1536373805999756
512,2,101,2.9413232803344727,1.9741226706174342,2.7959275245666504,1.8205668902633214,0.14539575576782227,0.1535557803541127
512,2,102,0.7704627513885498,1.9623220831740138,0.6264996528625488,1.8088603487201766,0.14396309852600098,0.15346173445383707
512,2,103,2.863346576690674,1.9710698937906803,2.7183759212493896,1.8176905969971593,0.14497065544128418,0.15337929679352102
512,2,104,0.7243442535400391,1.9590821472498088,0.5794472694396973,1.8057844111552606,0.1448969841003418,0.15329773609454816
512,2,105,3.0250790119171143,1.9692344983418784,2.880197763442993,1.8160169192722866,0.1448812484741211,0.15321757906959171
512,2,106,0.5330688953399658,1.9556857662380867,0.3894951343536377,1.8025591665843748,0.14357376098632812,0.15312659965371186
512,2,107,2.9934234619140625,1.9653842493752454,2.8493826389312744,1.8123425635221964,0.14404082298278809,0.15304168585304903
512,2,108,0.5159225463867188,1.951963307680907,0.37156081199645996,1.7990019917488098,0.1443617343902588,0.15296131593209725
