batch_size,worker_num,batch_idx,batch_time,avg_batch,data_time,avg_data,train_time,avg_train
512,16,1,62.08533453941345,62.08533453941345,57.181434631347656,57.181434631347656,4.903899908065796,4.903899908065796
512,16,2,2.694960832595825,32.39014768600464,2.056910991668701,29.61917281150818,0.638049840927124,2.77097487449646
512,16,3,0.1686415672302246,21.649645646413166,0.024203777313232422,19.754183133443195,0.1444377899169922,1.8954625129699707
512,16,4,0.45392394065856934,16.350715219974518,0.309511661529541,14.893015265464783,0.14441227912902832,1.457699954509735
512,16,5,0.4527397155761719,13.171120119094848,0.3093078136444092,11.976273775100708,0.1434319019317627,1.1948463439941406
512,16,6,0.4547388553619385,11.05172324180603,0.30995726585388184,10.031887690226236,0.14478158950805664,1.0198355515797932
512,16,7,0.45250797271728516,9.53754963193621,0.3082921504974365,8.642802613122123,0.14421582221984863,0.8947470188140869
512,16,8,0.46267271041870117,8.403190016746521,0.3104374408721924,7.601256966590881,0.1522352695465088,0.8019330501556396
512,16,9,0.4529683589935303,7.519832054773966,0.30153989791870117,6.790177292293972,0.1514284610748291,0.7296547624799941
512,16,10,0.45520591735839844,6.8133694410324095,0.3030669689178467,6.14146625995636,0.15213894844055176,0.6719031810760498
512,16,11,0.4478647708892822,6.234687198292125,0.3033912181854248,5.610732165249911,0.14447355270385742,0.6239550330422141
512,16,12,0.4559972286224365,5.753129700819652,0.31064867973327637,5.169058541456859,0.14534854888916016,0.584071159362793
512,16,13,0.4549250602722168,5.345575497700619,0.3079366683959961,4.795126089682946,0.1469883918762207,0.5504494080176721
512,16,14,0.45392942428588867,4.996172206742423,0.3090205192565918,4.474689977509635,0.14490890502929688,0.5214822292327881
512,16,15,0.4537529945373535,4.693344259262085,0.3089568614959717,4.196974436442058,0.14479613304138184,0.4963698228200277
512,16,16,0.45312929153442383,4.428330823779106,0.30909252166748047,3.9539818167686462,0.14403676986694336,0.4743490070104599
512,16,17,0.45500969886779785,4.1946060517255,0.3100414276123047,3.739632382112391,0.14496827125549316,0.4549736696131089
512,16,18,0.4534175395965576,3.9867622454961142,0.30847883224487305,3.5490127404530845,0.14493870735168457,0.4377495050430298
512,16,19,0.4559957981109619,3.800932432475843,0.31005001068115234,3.378541017833509,0.14594578742980957,0.422391414642334
512,16,20,0.4555678367614746,3.6336642026901242,0.3102071285247803,3.2251243233680724,0.14536070823669434,0.408539879322052
512,16,21,0.45436692237854004,3.4822690941038585,0.3087289333343506,3.086248352414086,0.14563798904418945,0.39602074168977286
512,16,22,0.4546172618865967,3.3446485562758013,0.30828189849853516,2.959977149963379,0.14633536338806152,0.3846714063124223
512,16,23,0.45386385917663574,3.2189622650975767,0.30959129333496094,2.8447429822838823,0.1442725658416748,0.37421928281369415
512,16,24,0.45427823066711426,3.1037670969963074,0.3096141815185547,2.739112615585327,0.14466404914855957,0.3646544814109802
512,16,25,0.4587528705596924,2.9979665279388428,0.31374287605285645,2.6420978260040284,0.14500999450683594,0.35586870193481446
512,16,26,0.4544656276702881,2.900139570236206,0.3093373775482178,2.5523762702941895,0.1451282501220703,0.3477632999420166
512,16,27,0.4534792900085449,2.809522522820367,0.3089783191680908,2.469287457289519,0.1445009708404541,0.34023506553084765
512,16,28,0.4541764259338379,2.725403019360134,0.30975794792175293,2.3921614033835277,0.14441847801208496,0.3332416159766061
512,16,29,0.45489978790283203,2.6471098044822954,0.31006932258605957,2.3203651247353387,0.14483046531677246,0.32674467974695665
512,16,30,0.4556589126586914,2.5740614414215086,0.310788631439209,2.253379241625468,0.14487028121948242,0.32068219979604085
512,16,31,0.4527883529663086,2.5056332772777927,0.3083770275115967,2.1906372347185687,0.14441132545471191,0.3149960425592238
512,16,32,0.4561598300933838,2.44158723205328,0.31032395362854004,2.1318774446845055,0.14583587646484375,0.3097097873687744
512,16,33,0.45300841331481934,2.381327267849084,0.3089470863342285,2.076637130795103,0.14406132698059082,0.30469013705398096
512,16,34,0.4535031318664551,2.3246265579672425,0.30972814559936523,2.024669219465817,0.14377498626708984,0.29995733850142536
512,16,35,0.45562195777893066,2.2712264265332904,0.31110715866088867,1.9757103034428187,0.144514799118042,0.29551612309047154
512,16,36,0.45613574981689453,2.220807241068946,0.3104569911956787,1.9294532669915094,0.14567875862121582,0.2913539740774367
512,16,37,0.4538767337799072,2.1730523624935665,0.3076200485229492,1.8856199367626294,0.146256685256958,0.28743242573093725
512,16,38,0.4548335075378418,2.127836076836837,0.3100459575653076,1.8441574636258578,0.14478754997253418,0.28367861321097926
512,16,39,0.4556117057800293,2.0849585288610215,0.31112194061279297,1.8048488604716766,0.14448976516723633,0.2801096683893448
512,16,40,0.454937219619751,2.0442079961299897,0.30939364433288574,1.7674624800682068,0.14554357528686523,0.2767455160617828
512,16,41,0.4539196491241455,2.0054204754713103,0.3095662593841553,1.7319040356612787,0.14435338973999023,0.2735164398100318
512,16,42,0.4542090892791748,1.9684868710381642,0.3097574710845947,1.6980434031713576,0.14445161819458008,0.27044346786680673
512,16,43,0.45525527000427246,1.9332954384559808,0.309495210647583,1.6657515847405722,0.14576005935668945,0.2675438537154087
