Method,Directory, ThreadNum, IOSIZE, Total Time(s),IOPS,Throughput(GBytes/s),Filenum,Avg_latancy(ms),
Baseline,/mnt/beegfs/test_dir_1MB_1024,32,512KB,0.09,11377.8,5.55556,1024,0.0878906
Baseline,/mnt/beegfs/test_dir_1MB_1024,64,512KB,0.11,9309.09,4.54545,1024,0.107422
Baseline,/mnt/beegfs/test_dir_1MB_1024,128,512KB,0.18,5688.89,2.77778,1024,0.175781
Baseline,/mnt/beegfs/test_dir_1MB_1024,256,512KB,0.207,4946.86,2.41546,1024,0.202148
Baseline,/mnt/beegfs/test_dir_1MB_1024,512,512KB,0.159,6440.25,3.14465,1024,0.155273
Baseline,/mnt/beegfs/test_dir_1MB_1024,1024,512KB,0.108,9481.48,4.62963,1024,0.105469
Baseline,/mnt/beegfs/test_dir_1MB_1024,1,1MB,1.808,566.372,0.553097,1024,1.76562
Baseline,/mnt/beegfs/test_dir_1MB_1024,2,1MB,0.87,1177.01,1.14943,1024,0.849609
Baseline,/mnt/beegfs/test_dir_1MB_1024,4,1MB,0.475,2155.79,2.10526,1024,0.463867
Baseline,/mnt/beegfs/test_dir_1MB_1024,8,1MB,0.249,4112.45,4.01606,1024,0.243164
Baseline,/mnt/beegfs/test_dir_1MB_1024,16,1MB,0.166,6168.67,6.0241,1024,0.162109
Baseline,/mnt/beegfs/test_dir_1MB_1024,32,1MB,0.172,5953.49,5.81395,1024,0.167969
Baseline,/mnt/beegfs/test_dir_1MB_1024,64,1MB,0.206,4970.87,4.85437,1024,0.201172
Baseline,/mnt/beegfs/test_dir_1MB_1024,128,1MB,0.32,3200,3.125,1024,0.3125
Baseline,/mnt/beegfs/test_dir_1MB_1024,256,1MB,0.649,1577.81,1.54083,1024,0.633789
Baseline,/mnt/beegfs/test_dir_1MB_1024,512,1MB,1.426,718.093,0.701262,1024,1.39258
Baseline,/mnt/beegfs/test_dir_1MB_1024,1024,1MB,1.996,513.026,0.501002,1024,1.94922
Baseline,/mnt/beegfs/test_dir_512B_10428,1,512B,9.045,1152.9,0.000549747,10428,0.867376
Baseline,/mnt/beegfs/test_dir_512B_10428,2,512B,5.094,2047.11,0.00097614,10428,0.488493
Baseline,/mnt/beegfs/test_dir_512B_10428,4,512B,3.085,3380.23,0.00161182,10428,0.295838
Baseline,/mnt/beegfs/test_dir_512B_10428,8,512B,1.485,7022.22,0.00334846,10428,0.142405
Baseline,/mnt/beegfs/test_dir_512B_10428,16,512B,0.753,13848.6,0.00660353,10428,0.0722094
Baseline,/mnt/beegfs/test_dir_512B_10428,32,512B,0.425,24536.5,0.0116999,10428,0.0407557
Baseline,/mnt/beegfs/test_dir_512B_10428,64,512B,0.389,26807.2,0.0127827,10428,0.0373034
Baseline,/mnt/beegfs/test_dir_512B_10428,128,512B,0.731,14265.4,0.00680227,10428,0.0700997
Baseline,/mnt/beegfs/test_dir_512B_10428,256,512B,1.438,7251.74,0.0034579,10428,0.137898
Baseline,/mnt/beegfs/test_dir_512B_10428,512,512B,3.14,3321.02,0.00158359,10428,0.301112
Baseline,/mnt/beegfs/test_dir_512B_10428,1024,512B,7.881,1323.18,0.000630943,10428,0.755754
Baseline,/mnt/beegfs/test_dir_1KB_10428,1,1KB,5.463,1909.02,0.00182059,10429,0.523828
Baseline,/mnt/beegfs/test_dir_1KB_10428,2,1KB,5.785,1802.77,0.00171925,10429,0.554703
Baseline,/mnt/beegfs/test_dir_1KB_10428,4,1KB,3.062,3405.94,0.00324816,10429,0.293604
Baseline,/mnt/beegfs/test_dir_1KB_10428,8,1KB,1.532,6807.44,0.00649208,10429,0.146898
Baseline,/mnt/beegfs/test_dir_1KB_10428,16,1KB,0.665,15682.7,0.0149562,10429,0.0637645
Baseline,/mnt/beegfs/test_dir_1KB_10428,32,1KB,0.406,25687.2,0.0244972,10429,0.0389299
Baseline,/mnt/beegfs/test_dir_1KB_10428,64,1KB,0.371,28110.5,0.0268083,10429,0.0355739
Baseline,/mnt/beegfs/test_dir_1KB_10428,128,1KB,0.735,14189.1,0.0135318,10429,0.0704766
Baseline,/mnt/beegfs/test_dir_1KB_10428,256,1KB,1.496,6971.26,0.00664831,10429,0.143446
Baseline,/mnt/beegfs/test_dir_1KB_10428,512,1KB,3.562,2927.85,0.00279221,10429,0.341548
Baseline,/mnt/beegfs/test_dir_1KB_10428,1024,1KB,7.644,1364.34,0.00130113,10429,0.732956
Baseline,/mnt/beegfs/test_dir_2KB_10428,1,2KB,6.255,1667.15,0.00317983,10428,0.599827
Baseline,/mnt/beegfs/test_dir_2KB_10428,2,2KB,5.918,1762.08,0.0033609,10428,0.567511
Baseline,/mnt/beegfs/test_dir_2KB_10428,4,2KB,2.798,3726.95,0.00710859,10428,0.268316
Baseline,/mnt/beegfs/test_dir_2KB_10428,8,2KB,1.589,6562.62,0.0125172,10428,0.152378
Baseline,/mnt/beegfs/test_dir_2KB_10428,16,2KB,0.794,13133.5,0.0250502,10428,0.0761412
Baseline,/mnt/beegfs/test_dir_2KB_10428,32,2KB,0.417,25007.2,0.0476974,10428,0.0399885
Baseline,/mnt/beegfs/test_dir_2KB_10428,64,2KB,0.408,25558.8,0.0487496,10428,0.0391254
Baseline,/mnt/beegfs/test_dir_2KB_10428,128,2KB,0.718,14523.7,0.0277017,10428,0.0688531
Baseline,/mnt/beegfs/test_dir_2KB_10428,256,2KB,1.687,6181.39,0.0117901,10428,0.161776
Baseline,/mnt/beegfs/test_dir_2KB_10428,512,2KB,2.918,3573.68,0.00681625,10428,0.279824
Baseline,/mnt/beegfs/test_dir_2KB_10428,1024,2KB,7.978,1307.09,0.00249308,10428,0.765056
Baseline,/mnt/beegfs/test_dir_4KB_10428,1,4KB,7.994,1304.48,0.00497619,10428,0.76659
Baseline,/mnt/beegfs/test_dir_4KB_10428,2,4KB,5.676,1837.21,0.0070084,10428,0.544304
Baseline,/mnt/beegfs/test_dir_4KB_10428,4,4KB,3.008,3466.76,0.0132246,10428,0.288454
Baseline,/mnt/beegfs/test_dir_4KB_10428,8,4KB,1.512,6896.83,0.0263093,10428,0.144994
Baseline,/mnt/beegfs/test_dir_4KB_10428,16,4KB,0.736,14168.5,0.0540485,10428,0.0705792
Baseline,/mnt/beegfs/test_dir_4KB_10428,32,4KB,0.42,24828.6,0.0947135,10428,0.0402762
Baseline,/mnt/beegfs/test_dir_4KB_10428,64,4KB,0.373,27957.1,0.106648,10428,0.0357691
Baseline,/mnt/beegfs/test_dir_4KB_10428,128,4KB,0.744,14016.1,0.0534673,10428,0.0713464
Baseline,/mnt/beegfs/test_dir_4KB_10428,256,4KB,1.469,7098.71,0.0270794,10428,0.140871
Baseline,/mnt/beegfs/test_dir_4KB_10428,512,4KB,3.199,3259.77,0.012435,10428,0.30677
Baseline,/mnt/beegfs/test_dir_4KB_10428,1024,4KB,7.712,1352.18,0.00515815,10428,0.739547
Baseline,/mnt/beegfs/test_dir_8KB_10428,1,8KB,8.978,1161.51,0.00886159,10428,0.860951
Baseline,/mnt/beegfs/test_dir_8KB_10428,2,8KB,5.509,1892.9,0.0144417,10428,0.528289
Baseline,/mnt/beegfs/test_dir_8KB_10428,4,8KB,3.069,3397.85,0.0259235,10428,0.294304
Baseline,/mnt/beegfs/test_dir_8KB_10428,8,8KB,1.602,6509.36,0.0496625,10428,0.153625
Baseline,/mnt/beegfs/test_dir_8KB_10428,16,8KB,0.775,13455.5,0.102657,10428,0.0743191
Baseline,/mnt/beegfs/test_dir_8KB_10428,32,8KB,0.509,20487.2,0.156305,10428,0.0488109
Baseline,/mnt/beegfs/test_dir_8KB_10428,64,8KB,0.368,28337,0.216194,10428,0.0352896
Baseline,/mnt/beegfs/test_dir_8KB_10428,128,8KB,0.726,14363.6,0.109586,10428,0.0696203
Baseline,/mnt/beegfs/test_dir_8KB_10428,256,8KB,1.54,6771.43,0.0516619,10428,0.147679
Baseline,/mnt/beegfs/test_dir_8KB_10428,512,8KB,3.161,3298.96,0.025169,10428,0.303126
Baseline,/mnt/beegfs/test_dir_8KB_10428,1024,8KB,6.955,1499.35,0.0114392,10428,0.666954
Baseline,/mnt/beegfs/test_dir_16KB_10428,1,16KB,9.26,1126.13,0.0171834,10428,0.887994
Baseline,/mnt/beegfs/test_dir_16KB_10428,2,16KB,5.736,1817.99,0.0277404,10428,0.550058
Baseline,/mnt/beegfs/test_dir_16KB_10428,4,16KB,3.09,3374.76,0.0514947,10428,0.296318
Baseline,/mnt/beegfs/test_dir_16KB_10428,8,16KB,1.554,6710.42,0.102393,10428,0.149022
Baseline,/mnt/beegfs/test_dir_16KB_10428,16,16KB,0.736,14168.5,0.216194,10428,0.0705792
Baseline,/mnt/beegfs/test_dir_16KB_10428,32,16KB,0.435,23972.4,0.36579,10428,0.0417146
Baseline,/mnt/beegfs/test_dir_16KB_10428,64,16KB,0.384,27156.2,0.414371,10428,0.0368239
Baseline,/mnt/beegfs/test_dir_16KB_10428,128,16KB,0.73,14284.9,0.217971,10428,0.0700038
Baseline,/mnt/beegfs/test_dir_16KB_10428,256,16KB,1.598,6525.66,0.0995736,10428,0.153241
Baseline,/mnt/beegfs/test_dir_16KB_10428,512,16KB,3.323,3138.13,0.047884,10428,0.318661
Baseline,/mnt/beegfs/test_dir_16KB_10428,1024,16KB,7.675,1358.7,0.0207321,10428,0.735999
