batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,data_whole_time,training_time
16,0,1,0,16.713994026184082,12.495243072509766,13.003911256790161,3.710082769393921
16,0,2,0,16.192423582077026,11.991909980773926,12.502382040023804,3.6900415420532227
16,0,3,0,17.000983238220215,12.801093101501465,13.3108389377594,3.6901443004608154
16,0,1,0,17.580055713653564,13.389888048171997,13.896717548370361,3.683338165283203
16,0,1,1,16.142884254455566,12.595434188842773,13.104528188705444,3.038356065750122
16,0,2,0,17.089356660842896,12.86577844619751,13.376795053482056,3.71256160736084
16,0,2,1,15.754333972930908,12.202433586120605,12.709578514099121,3.044755458831787
16,0,3,0,16.979426860809326,12.765338897705078,13.277451276779175,3.7019755840301514
16,0,3,1,15.8673255443573,12.315611124038696,12.822661876678467,3.044663667678833
32,0,1,0,16.33955192565918,12.415788650512695,12.918626308441162,3.4209256172180176
32,0,1,1,15.690674304962158,12.425731182098389,12.92640495300293,2.7642693519592285
32,1,1,0,14.140034675598145,10.236866474151611,10.7249276638031,3.415107011795044
32,1,1,1,13.27967119216919,10.026577234268188,10.514399528503418,2.7652716636657715
32,2,1,0,6.942760705947876,3.1958799362182617,3.6828811168670654,3.2598795890808105
32,2,1,1,6.4134299755096436,3.324373722076416,3.8106586933135986,2.602771282196045
32,4,1,0,4.125916957855225,0.37288641929626465,0.8600733280181885,3.265843629837036
32,4,1,1,3.3561453819274902,0.2590210437774658,0.74521803855896,2.6109273433685303
32,8,1,0,4.1427061557769775,0.38382506370544434,0.8691940307617188,3.273512125015259
32,8,1,1,3.2834932804107666,0.19318628311157227,0.6781208515167236,2.605372428894043
32,16,1,0,4.226380109786987,0.442249059677124,0.9276411533355713,3.298738956451416
32,16,1,1,3.2968854904174805,0.20680856704711914,0.6919076442718506,2.60497784614563
32,32,1,0,4.638545274734497,0.7443013191223145,1.2295348644256592,3.409010410308838
32,32,1,1,3.385737895965576,0.30144238471984863,0.7863559722900391,2.599381923675537
64,0,1,0,16.543500900268555,12.972015380859375,13.518671989440918,3.0248289108276367
64,0,1,1,15.355692386627197,12.407705068588257,12.95165729522705,2.4040350914001465
64,1,1,0,14.291686534881592,10.820991039276123,11.306050539016724,2.985635995864868
64,1,1,1,13.826092720031738,10.928717851638794,11.413581371307373,2.4125113487243652
64,2,1,0,7.1659934520721436,3.693901538848877,4.17852520942688,2.9874682426452637
64,2,1,1,6.440369367599487,3.551116466522217,4.035658597946167,2.4047107696533203
64,4,1,0,4.17049241065979,0.6882073879241943,1.17252779006958,2.99796462059021
64,4,1,1,3.4226572513580322,0.5337915420532227,1.0176935195922852,2.404963731765747
64,8,1,0,4.0119242668151855,0.4877767562866211,0.971498966217041,3.0404253005981445
64,8,1,1,3.2431206703186035,0.3540031909942627,0.8376541137695312,2.4054665565490723
64,16,1,0,4.248162746429443,0.5432236194610596,1.0375409126281738,3.2106218338012695
64,16,1,1,3.384746789932251,0.49603772163391113,0.9794001579284668,2.405346632003784
64,32,1,0,4.8690266609191895,1.000441074371338,1.4857227802276611,3.3833038806915283
64,32,1,1,3.7016327381134033,0.8157594203948975,1.299025297164917,2.4026074409484863
128,0,1,0,16.063425540924072,12.626872777938843,13.184475183486938,2.878950357437134
128,0,1,1,14.889034509658813,12.057260990142822,12.609757900238037,2.2792766094207764
128,1,1,0,14.38829493522644,11.041352272033691,11.525073289871216,2.8632216453552246
128,1,1,1,14.001776456832886,11.239528894424438,11.723080158233643,2.278696298599243
128,2,1,0,7.454721212387085,4.110491037368774,4.593898296356201,2.860822916030884
128,2,1,1,6.820352077484131,4.0595386028289795,4.542566776275635,2.277785301208496
128,4,1,0,4.461510419845581,1.052330732345581,1.5356180667877197,2.9258923530578613
128,4,1,1,3.6760683059692383,0.9140806198120117,1.397003173828125,2.2790651321411133
128,8,1,0,4.380497455596924,0.952564001083374,1.452887773513794,2.92760968208313
128,8,1,1,3.3187308311462402,0.5562281608581543,1.0393381118774414,2.279392719268799
128,16,1,0,5.0978405475616455,1.6973190307617188,2.197866201400757,2.8999743461608887
128,16,1,1,3.54166316986084,0.7824156284332275,1.265143871307373,2.276519298553467
128,32,1,0,5.298064470291138,1.8476741313934326,2.3307552337646484,2.9673092365264893
128,32,1,1,3.7837913036346436,1.0277419090270996,1.5102477073669434,2.2735435962677
256,0,1,0,16.13831853866577,12.808704376220703,13.361110210418701,2.7772083282470703
256,0,1,1,14.964439392089844,12.224073648452759,12.777807235717773,2.1866321563720703
256,1,1,0,14.597551345825195,11.391789436340332,11.874789714813232,2.722761631011963
