batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,data_whole_time,training_time
16,0,1,0,16.47326683998108,12.75537919998169,12.755446910858154,3.717819929122925
16,0,1,1,16.061920404434204,13.011515617370605,13.01159143447876,3.0503289699554443
16,1,1,0,14.120620250701904,10.353669166564941,10.353768348693848,3.7668519020080566
16,1,1,1,13.075318336486816,9.965872764587402,9.965967893600464,3.1093504428863525
16,2,1,0,6.985220909118652,3.413348436355591,3.4134132862091064,3.571807622909546
16,2,1,1,6.238222122192383,3.3107893466949463,3.3108487129211426,2.9273734092712402
16,4,1,0,4.079464912414551,0.5084400177001953,0.5084934234619141,3.5709714889526367
16,4,1,1,3.3010637760162354,0.3775055408477783,0.377561092376709,2.9235026836395264
16,8,1,0,3.947702646255493,0.36374711990356445,0.36380958557128906,3.583893060684204
16,8,1,1,3.0732197761535645,0.1505296230316162,0.15057730674743652,2.922642469406128
16,16,1,0,4.051713466644287,0.46735477447509766,0.4674112796783447,3.5843021869659424
16,16,1,1,3.09360671043396,0.1785750389099121,0.17862558364868164,2.9149811267852783
16,32,1,0,4.317544221878052,0.740013599395752,0.7400619983673096,3.577482223510742
16,32,1,1,3.18208384513855,0.2690412998199463,0.2690865993499756,2.912997245788574
32,0,1,0,16.30889129638672,12.881261348724365,12.881310224533081,3.4275810718536377
32,0,1,1,15.447249412536621,12.677744150161743,12.677787065505981,2.7694623470306396
32,1,1,0,13.404534578323364,10.024832248687744,10.024861574172974,3.3796730041503906
32,1,1,1,13.06344223022461,10.248788118362427,10.248820304870605,2.814621925354004
32,2,1,0,7.222866535186768,3.9131007194519043,3.9131295680999756,3.309736967086792
32,2,1,1,6.604996681213379,3.9351906776428223,3.935218095779419,2.66977858543396
32,4,1,0,4.013842582702637,0.686396598815918,0.6864233016967773,3.3274192810058594
32,4,1,1,3.258898973464966,0.5877780914306641,0.5878069400787354,2.6710920333862305
32,8,1,0,3.7466583251953125,0.43889737129211426,0.4389214515686035,3.307736873626709
32,8,1,1,2.848381996154785,0.1883230209350586,0.18834614753723145,2.6600358486175537
32,16,1,0,3.948402166366577,0.6343815326690674,0.6344068050384521,3.313995361328125
32,16,1,1,2.878883123397827,0.21758103370666504,0.21760797500610352,2.6612751483917236
32,32,1,0,4.396371126174927,1.0594778060913086,1.0595018863677979,3.336869239807129
32,32,1,1,3.0436971187591553,0.38131237030029297,0.3813362121582031,2.662360906600952
64,0,1,0,16.052351474761963,13.022879838943481,13.022904396057129,3.029447078704834
64,0,1,1,15.131835222244263,12.725663185119629,12.72568655014038,2.406148672103882
64,4,1,0,4.1871747970581055,1.096287727355957,1.0963046550750732,3.0908701419830322
64,4,1,1,3.3619441986083984,0.8802599906921387,0.880274772644043,2.4816694259643555
64,8,1,0,3.773745536804199,0.70064377784729,0.7006561756134033,3.073089361190796
64,8,1,1,2.890742063522339,0.39653873443603516,0.39655113220214844,2.4941909313201904
64,16,1,0,4.083407163619995,0.9935970306396484,0.9936094284057617,3.0897977352142334
64,16,1,1,2.8703129291534424,0.3774290084838867,0.3774409294128418,2.4928719997406006
64,32,1,0,4.815371513366699,1.699404239654541,1.6994152069091797,3.1159563064575195
64,32,1,1,3.182738780975342,0.7067911624908447,0.7068014144897461,2.4759373664855957
128,0,1,0,15.433960199356079,12.540574073791504,12.540585041046143,2.8933751583099365
128,0,1,1,15.135997295379639,12.855259895324707,12.85527229309082,2.2807250022888184
128,4,1,0,4.452089786529541,1.5383810997009277,1.5383877754211426,2.9137020111083984
128,4,1,1,3.8134653568267822,1.4598772525787354,1.459887981414795,2.3535773754119873
128,8,1,0,4.119539976119995,1.209263563156128,1.2092692852020264,2.9102706909179688
128,8,1,1,3.121974229812622,0.7708375453948975,0.7708461284637451,2.351128101348877
128,16,1,0,4.675879716873169,1.7577424049377441,1.7577474117279053,2.9181323051452637
128,16,1,1,3.286001682281494,0.9360437393188477,0.936049222946167,2.349952459335327
128,32,1,0,5.062003135681152,2.117905616760254,2.117910385131836,2.9440927505493164
128,32,1,1,3.3228888511657715,0.9742648601531982,0.9742693901062012,2.3486194610595703
256,0,1,0,16.18729066848755,13.413817167282104,13.413822889328003,2.773467779159546
256,0,1,1,15.551631927490234,13.361454486846924,13.361459970474243,2.190171957015991
256,4,1,0,4.861801862716675,2.1206161975860596,2.120619058609009,2.741182804107666
256,4,1,1,4.37205958366394,2.1546173095703125,2.154620885848999,2.2174386978149414
256,8,1,0,4.953368425369263,2.2079782485961914,2.207981586456299,2.745386838912964
256,8,1,1,3.769099473953247,1.5511517524719238,1.551154613494873,2.217944860458374
256,16,1,0,5.278188705444336,2.4817521572113037,2.481754779815674,2.796433925628662
256,16,1,1,3.712982177734375,1.446413516998291,1.4464163780212402,2.2665657997131348
256,32,1,0,5.43208909034729,2.62041974067688,2.620421886444092,2.8116672039031982
256,32,1,1,3.774787187576294,1.5600991249084473,1.5601022243499756,2.2146849632263184
512,0,1,0,16.588515281677246,13.878040313720703,13.87804388999939,2.7104713916778564
512,0,1,1,14.885725259780884,12.72737455368042,12.727377653121948,2.1583476066589355
512,4,1,0,6.683976173400879,4.017606258392334,4.017608165740967,2.666368007659912
512,4,1,1,5.9270548820495605,3.754732370376587,3.7547342777252197,2.172320604324341
512,8,1,0,6.3471856117248535,3.622305154800415,3.622307538986206,2.7248780727386475
512,8,1,1,4.716885805130005,2.536076068878174,2.5360777378082275,2.1808080673217773
512,16,1,0,6.286226034164429,3.558060884475708,3.5580625534057617,2.728163480758667
512,16,1,1,5.125931262969971,2.844834804534912,2.844836473464966,2.281094789505005
512,32,1,0,6.537419080734253,3.812629222869873,3.812631368637085,2.724787712097168
512,32,1,1,4.671060562133789,2.3943533897399902,2.3943543434143066,2.2767062187194824
//0626 下午测试的，没有开启MPS的测试结果，感觉没开MPS 数据加载民心概念变慢了，而且这还是开启了各种参数优化的结果，之前的测试结果从来没有数据加载时间比训练时间长的
16,0,1,0,24.217491149902344,18.359285831451416,18.750624895095825,5.4668662548065186
16,0,1,0,21.890860080718994,16.45422887802124,16.880034923553467,5.010825157165527
16,0,1,0,21.02023673057556,16.225515604019165,16.604058742523193,4.416177988052368
16,8,1,0,4.53643274307251,0.45656275749206543,0.5897166728973389,3.946716070175171
512,8,1,0,8.087059736251831,5.538414001464844,5.659413576126099,2.4276461601257324
512,8,1,0,8.119623899459839,5.572466135025024,5.6935014724731445,2.4261224269866943
512,8,1,0,8.182216167449951,5.632164001464844,5.753214359283447,2.429001808166504
512,8,1,1,6.271444320678711,3.9983999729156494,4.118729829788208,2.152714490890503
512,8,1,2,6.074378728866577,3.8024609088897705,3.922802686691284,2.151576042175293
512,8,1,0,6.596489667892456,5.101271152496338,5.22218656539917,1.3743031024932861
512,8,1,1,3.9705312252044678,3.7629799842834473,3.8833320140838623,0.08719921112060547
512,8,1,2,4.224609613418579,4.018314599990845,4.138579845428467,0.0860297679901123
512,8,1,0,6.536453485488892,4.979503154754639,5.100628137588501,1.4358253479003906
512,8,1,1,3.7915844917297363,3.58982253074646,3.710228204727173,0.08135628700256348
