batch_size,worker_num,prefetch_factor,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
64,32,1,0.028845025102297465,0.003045797348022461,2.5051333904266357,0.003076314926147461,0.7700878453254677,0.02965763012568156,0.024328947067260742,0.4644639492034912,0.027271270751953125,0.033280081748962353,0.0030103931824366254,0.0029838085174560547,0.004076957702636719,0.0029942989349365234,0.0031903004646301266
128,32,1,0.07778843641281127,0.006015300750732422,2.436871290206909,0.006044149398803711,1.5503515815734867,0.04693626165390015,0.0365900993347168,0.48877739906311035,0.04350638389587402,0.10357968330383316,0.005969220399856567,0.0059413909912109375,0.0068204402923583984,0.0059511661529541016,0.0062186789512634275
128,64,1,0.08010116418202719,0.006013393402099609,3.26298189163208,0.0060405731201171875,1.4298511791229251,0.04781182408332825,0.03894853591918945,0.4541130065917969,0.04364824295043945,0.09996286153793349,0.005972951650619507,0.005934953689575195,0.0069959163665771484,0.005952715873718262,0.006228983402252197
256,32,1,0.243032968044281,0.011932373046875,3.7530417442321777,0.011953115463256836,2.8241473221778817,0.0828692595163981,0.0679163932800293,0.5298149585723877,0.0749359130859375,0.3444430518150319,0.011880985895792643,0.011843204498291016,0.012747049331665039,0.011849284172058105,0.012320265769958493
256,64,1,0.2605223496754964,0.011931419372558594,4.0074827671051025,0.011980891227722168,3.014490067958826,0.0835408608118693,0.06802010536193848,0.5382812023162842,0.07553017139434814,0.3475268149375904,0.01190190315246582,0.01184535026550293,0.013015031814575195,0.011859297752380371,0.012513976097106931
512,32,1,0.8459665775299072,0.023736953735351562,5.531000137329102,0.023808836936950684,5.089556713104249,0.1673943837483724,0.13733863830566406,0.7132256031036377,0.13817274570465088,0.6303316473960879,0.023708367347717287,0.023645401000976562,0.024588823318481445,0.023656606674194336,0.024357614517211915
512,64,1,0.82944282690684,0.023746967315673828,5.68527626991272,0.023802876472473145,5.229221196174623,0.1681544303894043,0.13814139366149902,0.7096946239471436,0.13892483711242676,0.6278383421897891,0.023720439275105795,0.023647546768188477,0.024550914764404297,0.023658275604248047,0.024366583824157715
64,64,1,0.03644551833470663,0.0030455589294433594,3.1048858165740967,0.0030603408813476562,0.9830692386627191,0.029893070459365845,0.025289297103881836,0.467632532119751,0.02775430679321289,0.03939701557159402,0.0030038992563883463,0.002982616424560547,0.0040912628173828125,0.0029916763305664062,0.0031620383262634276
32,32,1,0.00938437161622224,0.0015707015991210938,1.4393494129180908,0.0016753673553466797,0.32190232276916486,0.021128127604355045,0.015175342559814453,0.47359561920166016,0.01970517635345459,0.025247132778167716,0.0015358949394383057,0.0015063285827636719,0.002466917037963867,0.0015246868133544922,0.00171661376953125
512,128,1,0.8480401674906413,0.023699283599853516,6.321110010147095,0.023819804191589355,5.6339446616172815,0.17506908575693766,0.13702893257141113,0.944460391998291,0.13810837268829346,0.7942927646636967,0.02370734214782715,0.023627042770385742,0.024571657180786133,0.02365422248840332,0.02435296297073364
