batch_size,worker_num,prefetch_factor,epoch,total_time,data_time,training_time,data_todevice_time
16,0,1,0,21.212019681930542,17.16820502281189,4.043814659118652,0.42731261253356934
16,0,1,1,20.72851872444153,17.342539310455322,3.385979413986206,0.4207954406738281
16,0,1,2,20.71513032913208,17.329285144805908,3.385845184326172,0.42889404296875
16,0,1,3,21.027076244354248,17.664281129837036,3.362795114517212,0.4254777431488037
16,0,1,4,21.146886348724365,17.76418137550354,3.382704973220825,0.43373870849609375
16,0,1,5,20.962422132492065,17.60422420501709,3.3581979274749756,0.43173980712890625
16,0,1,6,19.01088857650757,15.79909634590149,3.211792230606079,0.4401886463165283
16,0,1,7,20.05335831642151,16.77467656135559,3.278681755065918,0.44895100593566895
16,4,1,0,5.493683099746704,1.133049726486206,4.360633373260498,0.13904142379760742
16,4,1,1,5.075563669204712,1.3998448848724365,3.6757187843322754,0.13856959342956543
16,4,1,2,4.950183629989624,1.2641088962554932,3.686074733734131,0.13832736015319824
16,4,1,3,5.0262603759765625,1.4136793613433838,3.6125810146331787,0.138336181640625
16,4,1,4,4.95842170715332,1.3029241561889648,3.6554975509643555,0.13855671882629395
16,4,1,5,4.910785675048828,1.2589256763458252,3.651859998703003,0.13858604431152344
16,4,1,6,4.835103750228882,1.1880865097045898,3.647017240524292,0.13871335983276367
16,4,1,7,4.8470618724823,1.2201640605926514,3.6268978118896484,0.138380765914917
16,8,1,0,4.421352386474609,0.5968179702758789,3.8245344161987305,0.13602375984191895
16,8,1,1,3.892705202102661,0.3528444766998291,3.539860725402832,0.13660550117492676
16,8,1,2,3.860553026199341,0.34024953842163086,3.52030348777771,0.13658404350280762
16,8,1,3,3.854844331741333,0.35538434982299805,3.499459981918335,0.13645291328430176
16,8,1,4,3.653135061264038,0.34700560569763184,3.3061294555664062,0.1359412670135498
16,8,1,5,3.902599334716797,0.38171815872192383,3.520881175994873,0.13660550117492676
16,8,1,6,3.7904059886932373,0.3515584468841553,3.438847541809082,0.13605451583862305
16,8,1,7,3.79793119430542,0.34114980697631836,3.4567813873291016,0.13641881942749023
16,16,1,0,4.039997339248657,0.6518793106079102,3.388118028640747,0.13482999801635742
16,16,1,1,3.8079710006713867,0.3923783302307129,3.415592670440674,0.13623714447021484
16,16,1,2,3.880683183670044,0.4087178707122803,3.4719653129577637,0.13729572296142578
16,16,1,3,3.8532841205596924,0.3794872760772705,3.473796844482422,0.13640522956848145
16,16,1,4,3.8949015140533447,0.40854310989379883,3.486358404159546,0.13610458374023438
16,16,1,5,3.8968119621276855,0.3948221206665039,3.5019898414611816,0.13675928115844727
16,16,1,6,3.973942756652832,0.41198301315307617,3.561959743499756,0.1395893096923828
16,16,1,7,3.913638114929199,0.40922975540161133,3.504408359527588,0.13672351837158203
32,0,1,0,18.489049911499023,16.510974645614624,1.9780752658843994,0.36859560012817383
32,0,1,1,17.817715883255005,16.242061853408813,1.5756540298461914,0.36806607246398926
32,0,1,2,18.08581256866455,16.51166081428528,1.5741517543792725,0.37447214126586914
32,0,1,3,18.307583808898926,16.739145517349243,1.5684382915496826,0.38849711418151855
32,0,1,4,17.15312957763672,15.590517044067383,1.562612533569336,0.3494875431060791
32,0,1,5,17.30341863632202,15.708146572113037,1.5952720642089844,0.37552976608276367
32,0,1,6,17.409352779388428,15.82674241065979,1.5826103687286377,0.3737006187438965
32,0,1,7,17.627480506896973,16.059728622436523,1.5677518844604492,0.39144206047058105
32,4,1,0,4.9013471603393555,2.492981433868408,2.4083657264709473,0.1292424201965332
32,4,1,1,4.376217842102051,2.3973147869110107,1.97890305519104,0.12966203689575195
32,4,1,2,4.070771932601929,2.226815700531006,1.8439562320709229,0.12951970100402832
32,4,1,3,3.8974878787994385,2.2813374996185303,1.6161503791809082,0.12860512733459473
32,4,1,4,3.8638699054718018,2.2512216567993164,1.6126482486724854,0.12810540199279785
32,4,1,5,3.8922555446624756,2.1233091354370117,1.7689464092254639,0.12949657440185547
32,4,1,6,3.9702200889587402,2.192387580871582,1.7778325080871582,0.12968111038208008
32,4,1,7,3.907170295715332,2.1121633052825928,1.7950069904327393,0.13170933723449707
32,8,1,0,2.8665452003479004,0.7226037979125977,2.1439414024353027,0.12547516822814941
32,8,1,1,1.6201539039611816,0.3913094997406006,1.228844404220581,0.1244356632232666
32,8,1,2,1.4923202991485596,0.3892538547515869,1.1030664443969727,0.12420058250427246
32,8,1,3,1.521707534790039,0.3892674446105957,1.1324400901794434,0.12472057342529297
32,8,1,4,2.1264452934265137,0.4104475975036621,1.7159976959228516,0.12471437454223633
32,8,1,5,1.997370958328247,0.349712610244751,1.647658348083496,0.1245729923248291
32,8,1,6,2.1079869270324707,0.42853617668151855,1.6794507503509521,0.12483525276184082
32,8,1,7,2.0933477878570557,0.4199643135070801,1.6733834743499756,0.1248629093170166
32,16,1,0,3.125636100769043,0.9851272106170654,2.1405088901519775,0.1253962516784668
32,16,1,1,2.096367597579956,0.3965015411376953,1.6998660564422607,0.12466955184936523
32,16,1,2,2.163133382797241,0.4633958339691162,1.699737548828125,0.1250143051147461
32,16,1,3,2.151547908782959,0.44301390647888184,1.7085340023040771,0.12483429908752441
32,16,1,4,2.134737968444824,0.4024641513824463,1.732273817062378,0.1246039867401123
32,16,1,5,2.215449810028076,0.4909670352935791,1.724482774734497,0.1251835823059082
32,16,1,6,2.141991376876831,0.42806434631347656,1.7139270305633545,0.12415385246276855
32,16,1,7,2.1559205055236816,0.4364485740661621,1.7194719314575195,0.12426447868347168
64,0,1,0,20.15457034111023,18.552533626556396,1.602036714553833,0.30568957328796387
64,0,1,1,18.756168127059937,17.60106372833252,1.155104398727417,0.31146812438964844
64,0,1,2,19.138270378112793,17.972164392471313,1.1661059856414795,0.3185441493988037
64,0,1,3,19.015847206115723,17.83067774772644,1.1851694583892822,0.30419182777404785
64,0,1,4,19.856704473495483,18.6690890789032,1.1876153945922852,0.3020024299621582
64,0,1,5,19.770815134048462,18.5791335105896,1.1916816234588623,0.31972169876098633
