batch_size,worker_num,prefetch_factor,AVG_data,MIN_data,MAX_data,Median_data,p99_data,AVG_train,MIN_train,MAX_train,Median_train,p99_train,AVG_todevice,MIN_todevice,MAX_todevice,Median_todevice,p99_todevice
16,0,1,0.13646861485072545,0.11466455459594727,0.2853429317474365,0.13049817085266113,0.24566349744796717,0.03024111475263323,0.017930269241333008,0.40882349014282227,0.020247697830200195,0.2558576536178575,0.0024711801892235165,0.0023260116577148438,0.0027008056640625,0.002458810806274414,0.0026660060882568357
16,4,1,0.030596670650300525,0.0009067058563232422,0.5167760848999023,0.0024350881576538086,0.4488739991188043,0.03294884023212251,0.015896320343017578,0.4594755172729492,0.022037386894226074,0.291267368793486,0.0008576427187238421,0.0007846355438232422,0.0012447834014892578,0.0008454322814941406,0.0011371588706970204
16,8,1,0.023903034982227143,0.0009009838104248047,0.6193766593933105,0.0012820959091186523,0.5031551671028127,0.031847516695658364,0.01578998565673828,0.4568300247192383,0.02206289768218994,0.2801846408843978,0.0008390120097569057,0.0007834434509277344,0.0012326240539550781,0.0008304119110107422,0.0011081862449645985
16,16,1,0.025632676624116443,0.0009424686431884766,0.6891207695007324,0.0012483596801757812,0.544672129154204,0.032997693334306986,0.015622615814208984,0.5273036956787109,0.021004676818847656,0.331291370391844,0.0008422590437389555,0.0007915496826171875,0.0012557506561279297,0.0008274316787719727,0.0011295533180236805
32,0,1,0.25563323497772217,0.21820402145385742,0.4241335391998291,0.25108635425567627,0.3736480545997615,0.029626102674575078,0.01748347282409668,0.4232211112976074,0.01961541175842285,0.2640856814384446,0.0050124724706013995,0.0042819976806640625,0.005521059036254883,0.0050199031829833984,0.005443150997161864
32,4,1,0.057245368049258276,0.0016107559204101562,0.653494119644165,0.002545595169067383,0.6223933672904965,0.032196027891976495,0.019237279891967773,0.45740699768066406,0.02091538906097412,0.28607939958572237,0.0016022409711565291,0.0015091896057128906,0.0024216175079345703,0.0015717744827270508,0.00212562561035156
32,8,1,0.03547960803622291,0.0015947818756103516,0.7911531925201416,0.0016703605651855469,0.7241642045974725,0.030805389086405437,0.019280195236206055,0.46020054817199707,0.0198214054107666,0.28549592494964443,0.0015506290254138765,0.0015096664428710938,0.0024504661560058594,0.0015243291854858398,0.0021259307861328097
32,16,1,0.04330862703777495,0.001596689224243164,1.045802116394043,0.001676321029663086,0.9058279585838305,0.03152797903333392,0.019018173217773438,0.4587428569793701,0.020107626914978027,0.28561281681060635,0.0015492893400646391,0.0015094280242919922,0.0024526119232177734,0.0015223026275634766,0.002125828266143796
64,0,1,0.546317248117356,0.5053446292877197,0.7217669486999512,0.543136477470398,0.6855302286148068,0.03941770962306431,0.02806878089904785,0.40900111198425293,0.0298159122467041,0.2673356556892382,0.008389524051121302,0.007355213165283203,0.015856027603149414,0.00859689712524414,0.013127975463867163
64,4,1,0.1176854655856178,0.0030946731567382812,1.1925172805786133,0.004297852516174316,1.1052715182304373,0.03676658584958031,0.0209653377532959,0.4298670291900635,0.02756953239440918,0.2793764591217027,0.0030658585684640066,0.0029938220977783203,0.003952503204345703,0.0030232667922973633,0.003621516227722165
64,8,1,0.06388844762529645,0.0030875205993652344,1.2301733493804932,0.003241419792175293,1.1980351591110228,0.039064850125994,0.025590181350708008,0.41701197624206543,0.028542757034301758,0.27167320966720454,0.003041698819115048,0.002991199493408203,0.003932476043701172,0.0030138492584228516,0.003642642498016355
64,16,1,0.06948226406460717,0.0030930042266845703,1.6289756298065186,0.003183722496032715,1.3957478952407816,0.03829529739561535,0.027353763580322266,0.4188404083251953,0.027904272079467773,0.27302138805389276,0.0030400242124285016,0.002989530563354492,0.003930091857910156,0.0030078887939453125,0.0036813139915466285
128,0,1,1.0095376684552146,0.9288942813873291,1.15171217918396,1.0048370361328125,1.1287297964096068,0.055190966242835635,0.03873705863952637,0.4485917091369629,0.04516744613647461,0.3137186217308032,0.014477928479512533,0.01376962661743164,0.016388416290283203,0.014254093170166016,0.016366519927978516
128,4,1,0.2393071481159755,0.00610041618347168,2.2702603340148926,0.011331319808959961,2.041970522403715,0.054628179186866396,0.03700137138366699,0.4507758617401123,0.044950127601623535,0.313043735027312,0.006038007282075428,0.005949497222900391,0.006882429122924805,0.005991697311401367,0.0065773463249206516
128,8,1,0.11807311148870558,0.006114959716796875,2.111600160598755,0.0062580108642578125,2.0994863891601563,0.057022991634550546,0.04454922676086426,0.45407605171203613,0.045560240745544434,0.31630042552947873,0.006013330959138416,0.005952358245849609,0.006877899169921875,0.00597691535949707,0.006566853523254392
128,16,1,0.13297344389415922,0.0060939788818359375,2.7925689220428467,0.006274700164794922,2.6887472224235527,0.05653661205655053,0.04385781288146973,0.45313405990600586,0.04486274719238281,0.31538355588912836,0.006008840742565337,0.005947589874267578,0.0068607330322265625,0.005973219871520996,0.006615180969238279
256,0,1,2.0223599729083834,1.8397326469421387,2.2922418117523193,2.01550555229187,2.253359053134918,0.09090094906943184,0.07624626159667969,0.5368289947509766,0.0764472484588623,0.4057842516899097,0.028696661903744654,0.02585768699645996,0.03137707710266113,0.027398109436035156,0.03133944272994995
256,4,1,0.4793899456659953,0.012048721313476562,4.524840593338013,0.04718780517578125,3.9769705390930126,0.09207827136630103,0.07208132743835449,0.5369548797607422,0.07773101329803467,0.4050591111183155,0.011958985101609003,0.011860132217407227,0.012757062911987305,0.011949658393859863,0.012507991790771483
256,8,1,0.23367836929502941,0.012064695358276367,4.299201011657715,0.01247560977935791,4.053537609577177,0.09031173161097936,0.06985831260681152,0.5401535034179688,0.07605361938476562,0.40704923152923467,0.011944100970313662,0.011867284774780273,0.012813568115234375,0.01190805435180664,0.012503890991210935
256,16,1,0.2309971366609846,0.012032032012939453,4.92163348197937,0.012227773666381836,4.5858843398094145,0.09100609733944848,0.07525777816772461,0.563300609588623,0.07596981525421143,0.42131276845931875,0.01190883205050514,0.011851072311401367,0.012778282165527344,0.011879444122314453,0.012467432022094724
512,0,1,3.946730852127075,3.6886584758758545,4.460517644882202,3.938555359840393,4.42003674507141,0.15978283541543142,0.13185477256774902,0.7331421375274658,0.13854503631591797,0.6062768626213062,0.04900731359209333,0.04678797721862793,0.06878066062927246,0.047319889068603516,0.06300960063934322
512,4,1,0.9684447958355858,0.023926258087158203,8.827490329742432,0.06312191486358643,7.556416859626759,0.16070301759810673,0.13393282890319824,0.7201135158538818,0.14045798778533936,0.5986399269103992,0.023755578767685664,0.023671627044677734,0.024568557739257812,0.02374434471130371,0.024251255989074703
512,8,1,0.44798707962036133,0.023893117904663086,8.745445728302002,0.02413487434387207,8.106403815746301,0.15873801140558153,0.13730573654174805,0.7156164646148682,0.13797402381896973,0.5960833430290211,0.023709132557823545,0.02364945411682129,0.024804115295410156,0.023666977882385254,0.024425914287567137
