BatchSize,BaselineDataTime(s),OursDataTime(s),BaselineTrainTime(s),OursTrainTime(s)
16,0.001356369,0.002937,0.021620671,0.015497
32,0.00496969,0.003733,0.020869678,0.019205
64,0.01492066,0.006692,0.028545328,0.027707
128,0.028603378,0.013216,0.044903727,0.043684
256,0.076399502,0.023753,0.076486923,0.076646
512,0.157854138,0.051714,0.139896617,0.139913
