BatchSize,BaselineDataTime(s),OursDataTime(s),BaselineTrainTime(s),OursTrainTime(s)
8,0.011139786,0.003588945,0.026679072,0.024131116
16,0.011072473,0.006138337,0.028420401,0.023283135
32,0.021733313,0.007042786,0.026001323,0.024841894
64,0.04180397,0.006000062,0.034509953,0.033344382
128,0.081569892,0.011435493,0.050482699,0.048680659
256,0.16110957,0.033179436,0.081954406,0.082664044
