batch_size,worker_num,batch_idx,batch_time,avg_batch,data_time,avg_data,train_time,avg_train
512,8,1,28.46296525001526,28.46296525001526,27.13183617591858,27.13183617591858,1.3311290740966797,1.3311290740966797
512,8,2,0.5253269672393799,14.49414610862732,0.09304094314575195,13.612438559532166,0.43228602409362793,0.8817075490951538
512,8,3,0.2395339012145996,9.742608706156412,0.09324145317077637,9.10603952407837,0.14629244804382324,0.6365691820780436
512,8,4,0.48828125,7.42902684211731,0.34247612953186035,6.915148675441742,0.14580512046813965,0.5138781666755676
512,8,5,0.49286556243896484,6.0417945861816404,0.34564685821533203,5.60124831199646,0.1472187042236328,0.44054627418518066
512,8,6,0.48662233352661133,5.115932544072469,0.3357417583465576,4.723663886388143,0.1508805751800537,0.39226865768432617
512,8,7,0.483262300491333,4.454122509275163,0.3325066566467285,4.096355710710798,0.1507556438446045,0.35776679856436594
512,8,8,0.4848027229309082,3.957957535982132,0.3305506706237793,3.6256300806999207,0.1542520523071289,0.3323274552822113
512,8,9,0.4906134605407715,3.5726970831553144,0.33864688873291016,3.2604097260369196,0.15196657180786133,0.3122873571183946
512,8,10,0.4700746536254883,3.2624348402023315,0.3324601650238037,2.967614769935608,0.13761448860168457,0.29482007026672363
512,8,11,0.49280595779418945,3.010650396347046,0.3479299545288086,2.729461604898626,0.14487600326538086,0.28118879144841974
512,8,12,0.5063748359680176,2.80196076631546,0.36085963249206543,2.5320781071980796,0.14551520347595215,0.2698826591173808
512,8,13,0.5024521350860596,2.625075486990122,0.35181713104248047,2.3643657244168796,0.1506350040435791,0.2607097625732422
512,8,14,0.4812960624694824,2.4719483852386475,0.33402299880981445,2.2193412440163747,0.14727306365966797,0.2526071412222726
512,8,15,0.48598170280456543,2.3395506064097087,0.33675098419189453,2.093835226694743,0.1492307186126709,0.24571537971496582
512,8,16,0.47438859939575195,2.2229779809713364,0.3295884132385254,1.9835698008537292,0.14480018615722656,0.23940818011760712
512,8,17,0.48368215560913086,2.120666461832383,0.3388686180114746,1.8868226724512436,0.14481353759765625,0.23384378938113942
512,8,18,0.48502016067504883,2.0297972228791976,0.3400552272796631,1.800891147719489,0.14496493339538574,0.22890607515970865
512,8,19,0.49591922760009766,1.9490668020750346,0.3498811721801758,1.7245222016384727,0.14603805541992188,0.224544600436562
512,8,20,0.4880409240722656,1.8760155081748964,0.3385927677154541,1.6552257299423219,0.14944815635681152,0.22078977823257445
512,8,21,0.48772239685058594,1.809906312397548,0.33823227882385254,1.5925117560795374,0.1494901180267334,0.2173945563180106
512,8,22,0.4979550838470459,1.7502721656452527,0.35062265396118164,1.5360622514377942,0.14733242988586426,0.2142099142074585
512,8,23,0.4891834259033203,1.6954422204390818,0.34188270568847656,1.4841414016226064,0.14730072021484375,0.21130081881647525
512,8,24,0.49924492835998535,1.6456006666024525,0.35950469970703125,1.4372815390427907,0.1397402286529541,0.20831912755966187
512,8,25,0.4882540702819824,1.5993068027496338,0.3433365821838379,1.3935237407684327,0.14491748809814453,0.20578306198120117
512,8,26,0.4877948760986328,1.5565563440322876,0.33964109420776367,1.3529897928237915,0.14815378189086914,0.2035665512084961
512,8,27,0.4996650218963623,1.517412220990216,0.3527817726135254,1.3159450513345223,0.14688324928283691,0.2014671696556939
512,8,28,0.48360133171081543,1.4804904035159518,0.33673095703125,1.2809731193951197,0.14687037467956543,0.19951728412083217
512,8,29,0.4887998104095459,1.4462941761674553,0.3402738571166992,1.2485352137993122,0.14852595329284668,0.19775896236814303
512,8,30,0.5004794597625732,1.4147670189539592,0.3532991409301758,1.218694011370341,0.14718031883239746,0.19607300758361818
512,8,31,0.501380443572998,1.3853029358771538,0.35199880599975586,1.190736101519677,0.1493816375732422,0.19456683435747701
512,8,32,0.49645137786865234,1.3575263246893883,0.35137510299682617,1.1645060703158379,0.14507627487182617,0.19302025437355042
512,8,33,0.47971653938293457,1.3309260281649502,0.33641839027404785,1.1394125042539653,0.14329814910888672,0.19151352391098486
512,8,34,0.4906172752380371,1.3062110648435705,0.34476423263549805,1.116040496265187,0.14585304260253906,0.1901705685783835
512,8,35,0.4937858581542969,1.2829989160810198,0.3503835201263428,1.09416458266122,0.1434023380279541,0.1888343334197998
512,8,36,0.48055005073547363,1.2607086698214214,0.3364415168762207,1.0731167197227478,0.14410853385925293,0.1875919500986735
512,8,37,0.4878113269805908,1.2398195524473448,0.3425416946411133,1.0533714487745955,0.14526963233947754,0.18644810367274928
512,8,38,0.4970686435699463,1.2202734758979397,0.3534524440765381,1.034952527598331,0.1436161994934082,0.18532094829960874
512,8,39,0.4967164993286133,1.2017207329089823,0.3520066738128662,1.0174410954499855,0.14470982551574707,0.1842796374589969
512,8,40,0.4998493194580078,1.1841739475727082,0.3561980724334717,1.0009100198745728,0.14365124702453613,0.18326392769813538
512,8,41,0.48311328887939453,1.1670749071167736,0.3387618064880371,0.9847600634505109,0.14435148239135742,0.18231484366626274
