测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/beegfs/test_dir_4KB_10428,64,32KB,4968.08,2.10,19.41,10428,10428,40.73,5.46
/mnt/beegfs/test_dir_8KB_10428,64,32KB,4956.27,2.10,38.72,10428,10428,81.47,5.45
/mnt/beegfs/test_dir_16KB_10428,64,32KB,4987.09,2.09,77.92,10428,10428,162.94,5.40
/mnt/beegfs/test_dir_512B_10428,128,32KB,5025.54,2.08,2.45,10428,10428,5.09,9.99
/mnt/beegfs/test_dir_1KB_10428,128,32KB,5001.44,2.08,4.88,10429,10428,10.18,10.05
/mnt/beegfs/test_dir_2KB_10428,128,32KB,5037.68,2.07,9.84,10428,10428,20.37,9.89
/mnt/beegfs/test_dir_4KB_10428,128,32KB,4932.83,2.11,19.27,10428,10428,40.73,10.17
/mnt/beegfs/test_dir_8KB_10428,128,32KB,4963.35,2.10,38.78,10428,10428,81.47,10.17
/mnt/beegfs/test_dir_16KB_10428,128,32KB,4893.48,2.13,76.46,10428,10428,162.94,10.27
/mnt/beegfs/test_dir_512B_10428,256,32KB,4759.47,2.19,2.32,10428,10428,5.09,20.46
/mnt/beegfs/test_dir_1KB_10428,256,32KB,4942.18,2.11,4.83,10429,10428,10.18,19.40
/mnt/beegfs/test_dir_2KB_10428,256,32KB,4790.08,2.18,9.36,10428,10428,20.37,20.08
/mnt/beegfs/test_dir_4KB_10428,256,32KB,4638.79,2.25,18.12,10428,10428,40.73,21.36
/mnt/beegfs/test_dir_8KB_10428,256,32KB,4718.55,2.21,36.86,10428,10428,81.47,21.23
/mnt/beegfs/test_dir_16KB_10428,256,32KB,4868.35,2.14,76.07,10428,10428,162.94,19.94
/mnt/beegfs/test_dir_512B_10428,512,32KB,4661.60,2.24,2.28,10428,10428,5.09,39.68
/mnt/beegfs/test_dir_1KB_10428,512,32KB,4693.07,2.22,4.58,10429,10428,10.18,39.58
/mnt/beegfs/test_dir_2KB_10428,512,32KB,4794.48,2.17,9.36,10428,10428,20.37,37.50
/mnt/beegfs/test_dir_4KB_10428,512,32KB,4796.69,2.17,18.74,10428,10428,40.73,38.34
/mnt/beegfs/test_dir_8KB_10428,512,32KB,4757.30,2.19,37.17,10428,10428,81.47,38.63
/mnt/beegfs/test_dir_16KB_10428,512,32KB,4832.25,2.16,75.50,10428,10428,162.94,37.93
/mnt/beegfs/test_dir_512B_10428,1024,32KB,4524.08,2.31,2.21,10428,10428,5.09,76.97
/mnt/beegfs/test_dir_1KB_10428,1024,32KB,4597.88,2.27,4.49,10429,10428,10.18,74.06
/mnt/beegfs/test_dir_2KB_10428,1024,32KB,4551.72,2.29,8.89,10428,10428,20.37,77.29
/mnt/beegfs/test_dir_4KB_10428,1024,32KB,4473.62,2.33,17.48,10428,10428,40.73,78.17
/mnt/beegfs/test_dir_8KB_10428,1024,32KB,4575.69,2.28,35.75,10428,10428,81.47,76.30
/mnt/beegfs/test_dir_16KB_10428,1024,32KB,4387.04,2.38,68.55,10428,10428,162.94,81.97
/mnt/beegfs/test_dir_512B_10428,1,32KB,1418.78,7.35,0.69,10428,10428,5.09,0.61
/mnt/beegfs/test_dir_1KB_10428,1,32KB,0.23,44674.76,0.00,10429,10428,10.18,0.70
/mnt/beegfs/test_dir_2KB_10428,1,32KB,1229.14,8.48,2.40,10428,10428,20.37,0.70
/mnt/beegfs/test_dir_4KB_10428,1,32KB,1360.47,7.67,5.31,10428,10428,40.73,0.62
/mnt/beegfs/test_dir_8KB_10428,1,32KB,1224.37,8.52,9.57,10428,10428,81.47,0.69
/mnt/beegfs/test_dir_16KB_10428,1,32KB,1097.34,9.50,17.15,10428,10428,162.94,0.76
/mnt/beegfs/test_dir_512B_10428,2,32KB,2312.71,4.51,1.13,10428,10428,5.09,0.69
/mnt/beegfs/test_dir_1KB_10428,2,32KB,2438.16,4.28,2.38,10429,10428,10.18,0.69
/mnt/beegfs/test_dir_2KB_10428,2,32KB,2308.10,4.52,4.51,10428,10428,20.37,0.73
/mnt/beegfs/test_dir_4KB_10428,2,32KB,2262.53,4.61,8.84,10428,10428,40.73,0.74
/mnt/beegfs/test_dir_8KB_10428,2,32KB,2174.31,4.80,16.99,10428,10428,81.47,0.79
/mnt/beegfs/test_dir_16KB_10428,2,32KB,2122.96,4.91,33.17,10428,10428,162.94,0.80
/mnt/beegfs/test_dir_512B_10428,4,32KB,4303.76,2.42,2.10,10428,10428,5.09,0.75
/mnt/beegfs/test_dir_1KB_10428,4,32KB,4293.12,2.43,4.19,10429,10428,10.18,0.75
/mnt/beegfs/test_dir_2KB_10428,4,32KB,4270.27,2.44,8.34,10428,10428,20.37,0.75
/mnt/beegfs/test_dir_4KB_10428,4,32KB,4337.77,2.40,16.94,10428,10428,40.73,0.74
/mnt/beegfs/test_dir_8KB_10428,4,32KB,3768.70,2.77,29.44,10428,10428,81.47,0.87
/mnt/beegfs/test_dir_1KB_10428,4,32KB,3033.44,0.30,2.96,907,907,0.89,1.12
/mnt/beegfs/test_dir_1KB_10428,4,32KB,2273.18,0.40,2.22,907,907,0.89,1.58
/mnt/beegfs/test_dir_1KB_10428,4,32KB,3747.04,2.78,3.66,10429,10428,10.18,0.82
/mnt/beegfs/test_dir_1KB_10428,4,32KB,3747.04,2.78,3.66,10429,10428,10.18,0.82
/mnt/beegfs/test_dir_16KB_10428,4,32KB,1149.60,9.07,17.96,10428,10428,162.94,1.96
/mnt/beegfs/test_dir_1KB_10428,4,32KB,4122.73,0.22,4.03,907,907,0.89,0.77
/mnt/beegfs/test_dir_16KB_10428,4,32KB,3978.07,0.23,62.16,907,907,14.17,0.81
