开始GDS批量测试
GPU设备: 0
基础目录: /mnt/beegfs
======================================
正在测试: 1KB 文件大小
目录路径: /mnt/beegfs/test_dir_1KB_10428_1000
输出文件: output_multi.csv
设置IOSIZE: 32KB = 32768 字节
使用线程数: 1
找到 1000 个文件
预分配文件资源...
资源预分配完成，耗时: 2308 ms
成功分配资源文件数: 1000/1000
开始多线程读操作测试...
完成: file_1049.txt (1 KB, 0.41 ms)
完成: file_10154.txt (1 KB, 10.19 ms)
完成: file_10365.txt (1 KB, 8.12 ms)
完成: file_1436.txt (1 KB, 18.20 ms)
完成: file_10356.txt (1 KB, 7.86 ms)
完成: file_1159.txt (1 KB, 7.99 ms)
完成: file_10309.txt (1 KB, 25.73 ms)
完成: file_1336.txt (1 KB, 0.80 ms)
完成: file_133.txt (1 KB, 14.27 ms)
完成: file_1308.txt (1 KB, 0.72 ms)
完成: file_1352.txt (1 KB, 19.05 ms)
完成: file_127.txt (1 KB, 19.12 ms)
完成: file_10097.txt (1 KB, 0.37 ms)
完成: file_1099.txt (1 KB, 19.05 ms)
完成: file_10194.txt (1 KB, 0.32 ms)
完成: file_10190.txt (1 KB, 7.44 ms)
完成: file_10077.txt (1 KB, 7.33 ms)
完成: file_121.txt (1 KB, 0.60 ms)
完成: file_1290.txt (1 KB, 47.47 ms)
完成: file_1141.txt (1 KB, 7.74 ms)
完成: file_1139.txt (1 KB, 11.02 ms)
完成: file_1014.txt (1 KB, 10.69 ms)
完成: file_1232.txt (1 KB, 11.39 ms)
完成: file_10085.txt (1 KB, 17.81 ms)
完成: file_10374.txt (1 KB, 10.76 ms)
完成: file_1035.txt (1 KB, 10.68 ms)
完成: file_10364.txt (1 KB, 11.97 ms)
完成: file_10334.txt (1 KB, 7.38 ms)
完成: file_10150.txt (1 KB, 0.31 ms)
完成: file_1271.txt (1 KB, 0.95 ms)
完成: file_10192.txt (1 KB, 0.87 ms)
完成: file_1265.txt (1 KB, 0.66 ms)
完成: file_1074.txt (1 KB, 7.46 ms)
完成: file_10340.txt (1 KB, 9.86 ms)
完成: file_1135.txt (1 KB, 10.72 ms)
完成: file_1477.txt (1 KB, 39.79 ms)
完成: file_10075.txt (1 KB, 19.64 ms)
完成: file_10040.txt (1 KB, 8.97 ms)
完成: file_10247.txt (1 KB, 16.21 ms)
完成: file_1333.txt (1 KB, 0.50 ms)
完成: file_1053.txt (1 KB, 7.55 ms)
完成: file_1315.txt (1 KB, 29.01 ms)
完成: file_1143.txt (1 KB, 7.51 ms)
完成: file_1255.txt (1 KB, 7.58 ms)
完成: file_10067.txt (1 KB, 10.78 ms)
完成: file_10390.txt (1 KB, 10.64 ms)
完成: file_1356.txt (1 KB, 18.76 ms)
完成: file_10315.txt (1 KB, 0.62 ms)
完成: file_1435.txt (1 KB, 0.85 ms)
完成: file_1097.txt (1 KB, 0.97 ms)
完成: file_10385.txt (1 KB, 15.22 ms)
完成: file_10103.txt (1 KB, 18.16 ms)
完成: file_10144.txt (1 KB, 9.96 ms)
完成: file_1194.txt (1 KB, 15.36 ms)
完成: file_10019.txt (1 KB, 8.37 ms)
完成: file_1341.txt (1 KB, 56.13 ms)
完成: file_10115.txt (1 KB, 7.19 ms)
完成: file_10177.txt (1 KB, 8.59 ms)
完成: file_10182.txt (1 KB, 7.32 ms)
完成: file_1497.txt (1 KB, 21.36 ms)
完成: file_1128.txt (1 KB, 15.36 ms)
完成: file_1006.txt (1 KB, 8.62 ms)
完成: file_1454.txt (1 KB, 8.34 ms)
完成: file_10208.txt (1 KB, 0.75 ms)
完成: file_10054.txt (1 KB, 18.12 ms)
完成: file_10059.txt (1 KB, 0.77 ms)
完成: file_1420.txt (1 KB, 15.30 ms)
完成: file_10270.txt (1 KB, 7.96 ms)
完成: file_1240.txt (1 KB, 8.08 ms)
完成: file_1380.txt (1 KB, 62.64 ms)
完成: file_10102.txt (1 KB, 32.67 ms)
完成: file_1166.txt (1 KB, 0.61 ms)
完成: file_10426.txt (1 KB, 0.34 ms)
完成: file_10217.txt (1 KB, 0.38 ms)
完成: file_1086.txt (1 KB, 0.65 ms)
完成: file_10167.txt (1 KB, 0.40 ms)
完成: file_10008.txt (1 KB, 0.57 ms)
完成: file_1202.txt (1 KB, 0.58 ms)
完成: file_10205.txt (1 KB, 24.59 ms)
完成: file_10090.txt (1 KB, 24.60 ms)
完成: file_1042.txt (1 KB, 51.78 ms)
完成: file_10255.txt (1 KB, 7.89 ms)
完成: file_1302.txt (1 KB, 33.05 ms)
完成: file_1368.txt (1 KB, 0.58 ms)
完成: file_1029.txt (1 KB, 7.72 ms)
完成: file_1474.txt (1 KB, 8.13 ms)
完成: file_10206.txt (1 KB, 7.67 ms)
完成: file_10213.txt (1 KB, 8.11 ms)
完成: file_1094.txt (1 KB, 19.17 ms)
完成: file_10415.txt (1 KB, 26.20 ms)
完成: file_10387.txt (1 KB, 0.40 ms)
完成: file_1257.txt (1 KB, 10.92 ms)
完成: file_10416.txt (1 KB, 7.50 ms)
完成: file_1066.txt (1 KB, 7.83 ms)
完成: file_1206.txt (1 KB, 14.90 ms)
完成: file_107.txt (1 KB, 0.55 ms)
完成: file_111.txt (1 KB, 14.73 ms)
完成: file_1510.txt (1 KB, 8.20 ms)
完成: file_1375.txt (1 KB, 7.68 ms)
完成: file_10175.txt (1 KB, 15.22 ms)
完成: file_1338.txt (1 KB, 40.65 ms)
完成: file_10411.txt (1 KB, 28.97 ms)
完成: file_10378.txt (1 KB, 7.99 ms)
完成: file_10155.txt (1 KB, 9.61 ms)
完成: file_1000.txt (1 KB, 0.51 ms)
完成: file_1120.txt (1 KB, 8.18 ms)
完成: file_10036.txt (1 KB, 0.37 ms)
完成: file_10248.txt (1 KB, 0.35 ms)
完成: file_1386.txt (1 KB, 39.70 ms)
完成: file_10223.txt (1 KB, 7.46 ms)
