测试目录,线程数,IOSIZE,平均IOPS,总耗时(秒),平均带宽(MB/s),处理文件数,总操作数,总数据量(MB),平均延迟(ms)
/mnt/nvme0/test_dir_1KB_10428,2,32KB,30138.73,0.35,29.43,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,15564.18,0.67,15.20,10428,10428,10.18,0.06
/mnt/nvme0/test_dir_1KB_10428,8,32KB,18230.77,0.57,17.80,10428,10428,10.18,0.11
/mnt/nvme0/test_dir_1KB_10428,16,32KB,12069.44,0.86,11.79,10428,10428,10.18,0.36
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8632.45,1.21,8.43,10428,10428,10.18,1.04
/mnt/nvme0/test_dir_1KB_10428,64,32KB,7911.99,1.32,7.73,10428,10428,10.18,2.28
/mnt/nvme0/test_dir_1KB_10428,128,32KB,8547.54,1.22,8.35,10428,10428,10.18,3.98
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7662.01,1.36,7.48,10428,10428,10.18,8.98
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7448.57,1.40,7.27,10428,10428,10.18,18.21
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7050.71,1.48,6.89,10428,10428,10.18,34.80
/mnt/nvme0/test_dir_1KB_10428,1,32KB,14833.57,0.70,14.49,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,31504.53,0.33,30.77,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,4,32KB,17179.57,0.61,16.78,10428,10428,10.18,0.05
/mnt/nvme0/test_dir_1KB_10428,8,32KB,18994.54,0.55,18.55,10428,10428,10.18,0.12
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9099.48,1.15,8.89,10428,10428,10.18,0.51
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8484.95,1.23,8.29,10428,10428,10.18,1.06
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8230.47,1.27,8.04,10428,10428,10.18,2.15
/mnt/nvme0/test_dir_1KB_10428,128,32KB,8748.32,1.19,8.54,10428,10428,10.18,3.87
/mnt/nvme0/test_dir_1KB_10428,256,32KB,8172.41,1.28,7.98,10428,10428,10.18,8.12
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7448.57,1.40,7.27,10428,10428,10.18,17.85
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7127.82,1.46,6.96,10428,10428,10.18,34.54
/mnt/nvme0/test_dir_1KB_10428,1,32KB,23486.49,0.44,22.94,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,31315.32,0.33,30.58,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,4,32KB,17011.42,0.61,16.61,10428,10428,10.18,0.05
/mnt/nvme0/test_dir_1KB_10428,8,32KB,19029.20,0.55,18.58,10428,10428,10.18,0.12
/mnt/nvme0/test_dir_1KB_10428,16,32KB,9252.88,1.13,9.04,10428,10428,10.18,0.51
/mnt/nvme0/test_dir_1KB_10428,32,32KB,8533.55,1.22,8.33,10428,10428,10.18,1.08
/mnt/nvme0/test_dir_1KB_10428,64,32KB,8309.16,1.25,8.11,10428,10428,10.18,2.21
/mnt/nvme0/test_dir_1KB_10428,128,32KB,7960.31,1.31,7.77,10428,10428,10.18,4.50
/mnt/nvme0/test_dir_1KB_10428,256,32KB,7799.55,1.34,7.62,10428,10428,10.18,8.76
/mnt/nvme0/test_dir_1KB_10428,512,32KB,7422.06,1.41,7.25,10428,10428,10.18,17.99
/mnt/nvme0/test_dir_1KB_10428,1024,32KB,7328.18,1.42,7.16,10428,10428,10.18,33.77
/mnt/nvme0/test_dir_1KB_10428,1,32KB,24536.47,0.42,23.96,10428,10428,10.18,0.02
/mnt/nvme0/test_dir_1KB_10428,2,32KB,30402.33,0.34,29.69,10428,10428,10.18,0.03
/mnt/nvme0/test_dir_1KB_10428,4,32KB,31987.73,0.33,31.24,10428,10428,10.18,0.04
/mnt/nvme0/test_dir_1KB_10428,8,32KB,20447.06,0.51,19.97,10428,10428,10.18,0.10
